1,松村 康太,松村 康太.1,2,大場 敏,大場 敏.1,3,内山 文典,内山 文典.1,4,藤井 公人,藤井 公人.1,5,喜多　那由夏,喜多　那由夏.1,6,小澤 学,小澤 学.1
2.0,3.0,7.0,1.0,3.0,26.1,1.0,2.0,93.2,1.0,2.0,36.6,1.0,2.0,281.8,1.0,2.0,1175.0
2.0,4.0,4.9,1.0,4.0,17.1,1.0,4.0,109.3,1.0,3.0,85.0,1.0,3.0,501.3,1.0,3.0,2147.0
2.0,5.0,16.3,1.0,5.0,47.0,1.0,5.0,160.6,1.0,5.0,49.1,1.0,4.0,329.6,1.0,4.0,1366.0
2.0,6.0,45.4,1.0,6.0,109.4,1.0,6.0,455.3,1.0,6.0,87.1,1.0,6.0,624.7,1.0,5.0,1853.0
3.0,2.0,15.8,3.0,1.0,108.6,2.0,1.0,202.9,2.0,1.0,60.5,2.0,1.0,411.3,2.0,1.0,1606.0
3.0,4.0,18.8,3.0,4.0,168.8,2.0,4.0,287.2,2.0,3.0,171.8,2.0,3.0,964.8,2.0,3.0,2468.0
3.0,5.0,40.5,3.0,5.0,294.4,2.0,5.0,444.9,2.0,5.0,104.1,2.0,4.0,590.9,2.0,4.0,1779.0
3.0,6.0,100.6,3.0,6.0,550.8,2.0,6.0,809.2,2.0,6.0,181.9,2.0,6.0,938.5,2.0,5.0,2538.0
4.0,2.0,8.7,4.0,1.0,57.6,4.0,1.0,251.2,3.0,1.0,210.4,3.0,1.0,877.6,3.0,1.0,3333.0
4.0,3.0,17.7,4.0,3.0,157.2,4.0,2.0,364.6,3.0,2.0,335.1,3.0,2.0,1636.0,3.0,2.0,2998.0
4.0,5.0,23.8,4.0,5.0,171.8,4.0,5.0,506.4,3.0,5.0,415.5,3.0,4.0,1698.0,3.0,4.0,3237.0
4.0,6.0,50.7,4.0,6.0,288.3,4.0,6.0,857.4,3.0,6.0,553.5,3.0,6.0,1758.0,3.0,5.0,3260.0
5.0,2.0,54.3,5.0,1.0,208.4,5.0,1.0,598.0,5.0,1.0,78.0,4.0,1.0,360.2,4.0,1.0,1636.0
5.0,3.0,94.4,5.0,3.0,427.9,5.0,2.0,787.8,5.0,2.0,103.1,4.0,2.0,495.8,4.0,2.0,1853.0
5.0,4.0,69.7,5.0,4.0,360.8,5.0,4.0,830.3,5.0,3.0,262.7,4.0,3.0,1024.0,4.0,3.0,2774.0
5.0,6.0,168.5,5.0,6.0,662.8,5.0,6.0,1445.0,5.0,6.0,128.1,4.0,6.0,562.6,4.0,5.0,1765.0
6.0,2.0,196.0,6.0,1.0,595.6,6.0,1.0,1751.0,6.0,1.0,204.8,6.0,1.0,1383.0,5.0,1.0,3284.0
6.0,3.0,353.1,6.0,3.0,1237.0,6.0,2.0,1711.0,6.0,2.0,302.2,6.0,2.0,1692.0,5.0,2.0,3237.0
6.0,4.0,211.2,6.0,4.0,897.0,6.0,4.0,1892.0,6.0,3.0,594.8,6.0,3.0,2919.0,5.0,3.0,3661.0
6.0,5.0,331.6,6.0,5.0,1227.0,6.0,5.0,2363.0,6.0,5.0,248.7,6.0,4.0,1097.0,5.0,4.0,1985.0
