1,石田 貴洋,石田 貴洋.1,2,眞崎 武蔵,眞崎 武蔵.1,3,森清 友翔,森清 友翔.1,4,永松 良教,永松 良教.1,5,中島 航,中島 航.1,6,大澤 風葵,大澤 風葵.1
2.0,3.0,27.3,1.0,3.0,235.7,1.0,2.0,234.3,1.0,2.0,166.7,1.0,2.0,188.4,1.0,2.0,49.9
2.0,4.0,29.9,1.0,4.0,246.5,1.0,4.0,248.8,1.0,3.0,259.9,1.0,3.0,250.5,1.0,3.0,61.5
2.0,5.0,28.7,1.0,5.0,288.1,1.0,5.0,217.2,1.0,5.0,113.1,1.0,4.0,183.6,1.0,4.0,50.0
2.0,6.0,13.9,1.0,6.0,154.5,1.0,6.0,160.7,1.0,6.0,67.4,1.0,6.0,72.3,1.0,5.0,33.9
3.0,2.0,35.0,3.0,1.0,377.0,2.0,1.0,427.8,2.0,1.0,304.6,2.0,1.0,472.1,2.0,1.0,176.2
3.0,4.0,33.8,3.0,4.0,1036.0,2.0,4.0,800.9,2.0,3.0,678.1,2.0,3.0,984.6,2.0,3.0,538.7
3.0,5.0,29.3,3.0,5.0,955.4,2.0,5.0,1046.0,2.0,5.0,622.8,2.0,4.0,1113.0,2.0,4.0,403.7
3.0,6.0,17.8,3.0,6.0,889.4,2.0,6.0,911.0,2.0,6.0,308.6,2.0,6.0,563.6,2.0,5.0,433.6
4.0,2.0,39.7,4.0,1.0,478.7,4.0,1.0,551.2,3.0,1.0,531.7,3.0,1.0,583.3,3.0,1.0,189.8
4.0,3.0,44.9,4.0,3.0,939.4,4.0,2.0,1031.0,3.0,2.0,860.5,3.0,2.0,1147.0,3.0,2.0,632.4
4.0,5.0,34.1,4.0,5.0,1177.0,4.0,5.0,953.3,3.0,5.0,849.2,3.0,4.0,1212.0,3.0,4.0,485.9
4.0,6.0,15.6,4.0,6.0,512.4,4.0,6.0,718.0,3.0,6.0,516.5,3.0,6.0,674.0,3.0,5.0,363.0
5.0,2.0,37.2,5.0,1.0,599.6,5.0,1.0,496.6,5.0,1.0,165.0,4.0,1.0,270.6,4.0,1.0,107.9
5.0,3.0,40.1,5.0,3.0,1263.0,5.0,2.0,1130.0,5.0,2.0,477.7,4.0,2.0,707.9,4.0,2.0,301.0
5.0,4.0,43.8,5.0,4.0,1396.0,5.0,4.0,1107.0,5.0,3.0,679.1,4.0,3.0,894.7,4.0,3.0,463.9
5.0,6.0,12.3,5.0,6.0,760.4,5.0,6.0,600.4,5.0,6.0,144.2,4.0,6.0,242.4,4.0,5.0,202.9
6.0,2.0,13.2,6.0,1.0,307.6,6.0,1.0,294.7,6.0,1.0,79.0,6.0,1.0,86.4,5.0,1.0,67.7
6.0,3.0,16.7,6.0,3.0,885.9,6.0,2.0,1006.0,6.0,2.0,214.6,6.0,2.0,342.9,5.0,2.0,285.0
6.0,4.0,14.4,6.0,4.0,602.8,6.0,4.0,816.9,6.0,3.0,364.8,6.0,3.0,341.1,5.0,3.0,267.3
6.0,5.0,9.7,6.0,5.0,736.8,6.0,5.0,623.7,6.0,5.0,133.2,6.0,4.0,219.6,5.0,4.0,189.2
