1,鳥飼 眞,鳥飼 眞.1,2,麻生 慎介,麻生 慎介.1,3,佐々木　英樹,佐々木　英樹.1,4,山田 亮太,山田 亮太.1,5,齊藤 大将,齊藤 大将.1,6,野見山　拓己,野見山　拓己.1
2.0,3.0,5.3,1.0,3.0,14.4,1.0,2.0,50.7,1.0,2.0,81.6,1.0,2.0,381.0,1.0,2.0,1340.0
2.0,4.0,4.9,1.0,4.0,12.4,1.0,4.0,77.2,1.0,3.0,174.8,1.0,3.0,617.3,1.0,3.0,2567.0
2.0,5.0,18.8,1.0,5.0,34.9,1.0,5.0,126.8,1.0,5.0,161.5,1.0,4.0,543.9,1.0,4.0,2430.0
2.0,6.0,38.7,1.0,6.0,61.7,1.0,6.0,249.9,1.0,6.0,252.2,1.0,6.0,847.8,1.0,5.0,1760.0
3.0,2.0,10.3,3.0,1.0,59.4,2.0,1.0,82.4,2.0,1.0,99.1,2.0,1.0,505.8,2.0,1.0,1509.0
3.0,4.0,17.6,3.0,4.0,97.4,2.0,4.0,128.7,2.0,3.0,262.1,2.0,3.0,1301.0,2.0,3.0,3231.0
3.0,5.0,31.7,3.0,5.0,199.0,2.0,5.0,232.6,2.0,5.0,256.0,2.0,4.0,915.6,2.0,4.0,2747.0
3.0,6.0,84.0,3.0,6.0,340.3,2.0,6.0,388.5,2.0,6.0,351.2,2.0,6.0,1320.0,2.0,5.0,4736.0
4.0,2.0,15.9,4.0,1.0,35.0,4.0,1.0,163.1,3.0,1.0,345.9,3.0,1.0,1068.0,3.0,1.0,4430.0
4.0,3.0,30.3,4.0,3.0,109.0,4.0,2.0,192.9,3.0,2.0,486.1,3.0,2.0,1534.0,3.0,2.0,5087.0
4.0,5.0,46.7,4.0,5.0,150.6,4.0,5.0,348.1,3.0,5.0,754.6,3.0,4.0,1948.0,3.0,4.0,3815.0
4.0,6.0,86.4,4.0,6.0,236.2,4.0,6.0,509.6,3.0,6.0,1056.0,3.0,6.0,2327.0,3.0,5.0,6540.0
5.0,2.0,64.8,5.0,1.0,199.0,5.0,1.0,333.7,5.0,1.0,277.4,4.0,1.0,650.9,4.0,1.0,3712.0
5.0,3.0,85.0,5.0,3.0,444.5,5.0,2.0,494.0,5.0,2.0,325.0,4.0,2.0,903.6,4.0,2.0,3086.0
5.0,4.0,124.1,5.0,4.0,390.7,5.0,4.0,674.9,5.0,3.0,632.9,4.0,3.0,2005.0,4.0,3.0,3614.0
5.0,6.0,217.6,5.0,6.0,695.4,5.0,6.0,812.7,5.0,6.0,481.0,4.0,6.0,1204.0,4.0,5.0,4430.0
6.0,2.0,215.4,6.0,1.0,402.1,6.0,1.0,840.0,6.0,1.0,713.5,6.0,1.0,2019.0,5.0,1.0,4162.0
6.0,3.0,415.5,6.0,3.0,1009.0,6.0,2.0,1242.0,6.0,2.0,738.4,6.0,2.0,2953.0,5.0,2.0,5722.0
6.0,4.0,372.2,6.0,4.0,912.6,6.0,4.0,1333.0,6.0,3.0,1283.0,6.0,3.0,4905.0,5.0,3.0,5844.0
6.0,5.0,511.5,6.0,5.0,1492.0,6.0,5.0,1856.0,6.0,5.0,1077.0,6.0,4.0,3194.0,5.0,4.0,4994.0
