1,竹井 貴史,竹井 貴史.1,2,松尾 宣邦,松尾 宣邦.1,3,土井 歩夢,土井 歩夢.1,4,桑原 啓,桑原 啓.1,5,渡辺 崇,渡辺 崇.1,6,山下 心一,山下 心一.1
2.0,3.0,5.8,1.0,3.0,38.7,1.0,2.0,64.0,1.0,2.0,117.5,1.0,2.0,316.4,1.0,2.0,412.2
2.0,4.0,8.6,1.0,4.0,53.6,1.0,4.0,73.4,1.0,3.0,166.0,1.0,3.0,396.2,1.0,3.0,489.1
2.0,5.0,13.2,1.0,5.0,71.3,1.0,5.0,95.8,1.0,5.0,120.5,1.0,4.0,305.2,1.0,4.0,637.1
2.0,6.0,45.0,1.0,6.0,137.1,1.0,6.0,136.8,1.0,6.0,264.4,1.0,6.0,553.7,1.0,5.0,803.3
3.0,2.0,8.9,3.0,1.0,69.6,2.0,1.0,89.3,2.0,1.0,198.3,2.0,1.0,542.1,2.0,1.0,504.8
3.0,4.0,10.5,3.0,4.0,96.2,2.0,4.0,126.3,2.0,3.0,330.7,2.0,3.0,913.3,2.0,3.0,727.6
3.0,5.0,14.3,3.0,5.0,135.4,2.0,5.0,161.7,2.0,5.0,294.6,2.0,4.0,793.2,2.0,4.0,991.5
3.0,6.0,39.1,3.0,6.0,166.0,2.0,6.0,207.2,2.0,6.0,494.6,2.0,6.0,1240.0,2.0,5.0,1268.0
4.0,2.0,17.5,4.0,1.0,113.4,4.0,1.0,141.7,3.0,1.0,256.3,3.0,1.0,573.9,3.0,1.0,737.4
4.0,3.0,20.2,4.0,3.0,149.1,4.0,2.0,204.8,3.0,2.0,422.0,3.0,2.0,980.4,3.0,2.0,928.7
4.0,5.0,26.0,4.0,5.0,190.6,4.0,5.0,242.8,3.0,5.0,426.5,3.0,4.0,1028.0,3.0,4.0,1362.0
4.0,6.0,65.1,4.0,6.0,322.7,4.0,6.0,363.2,3.0,6.0,680.4,3.0,6.0,1219.0,3.0,5.0,1518.0
5.0,2.0,36.0,5.0,1.0,267.2,5.0,1.0,237.8,5.0,1.0,158.5,4.0,1.0,331.5,4.0,1.0,1021.0
5.0,3.0,43.5,5.0,3.0,369.3,5.0,2.0,383.1,5.0,2.0,248.3,4.0,2.0,529.1,4.0,2.0,1257.0
5.0,4.0,55.7,5.0,4.0,446.0,5.0,4.0,414.9,5.0,3.0,366.8,4.0,3.0,768.3,4.0,3.0,1402.0
5.0,6.0,113.1,5.0,6.0,708.9,5.0,6.0,520.9,5.0,6.0,335.2,4.0,6.0,573.2,4.0,5.0,1497.0
6.0,2.0,146.0,6.0,1.0,436.3,6.0,1.0,389.5,6.0,1.0,494.6,6.0,1.0,846.6,5.0,1.0,1686.0
6.0,3.0,140.6,6.0,3.0,480.0,6.0,2.0,461.4,6.0,2.0,683.5,6.0,2.0,1358.0,5.0,2.0,1865.0
6.0,4.0,186.8,6.0,4.0,781.9,6.0,4.0,715.8,6.0,3.0,976.1,6.0,3.0,1636.0,5.0,3.0,2116.0
6.0,5.0,213.9,6.0,5.0,1007.0,6.0,5.0,827.5,6.0,5.0,640.8,6.0,4.0,1028.0,5.0,4.0,1914.0
