1,岡村 慶太,岡村 慶太.1,2,乙藤 智史,乙藤 智史.1,3,小林 遼太,小林 遼太.1,4,溝口　海義也,溝口　海義也.1,5,戸敷 晃美,戸敷 晃美.1,6,篠原 飛翔,篠原 飛翔.1
2.0,3.0,10.3,1.0,3.0,138.0,1.0,2.0,191.8,1.0,2.0,54.2,1.0,2.0,302.7,1.0,2.0,449.9
2.0,4.0,6.0,1.0,4.0,84.1,1.0,4.0,133.5,1.0,3.0,90.9,1.0,3.0,403.6,1.0,3.0,616.4
2.0,5.0,28.0,1.0,5.0,237.8,1.0,5.0,259.8,1.0,5.0,81.6,1.0,4.0,266.1,1.0,4.0,313.2
2.0,6.0,25.3,1.0,6.0,227.9,1.0,6.0,278.0,1.0,6.0,54.9,1.0,6.0,252.7,1.0,5.0,543.7
3.0,2.0,15.0,3.0,1.0,468.4,2.0,1.0,442.3,2.0,1.0,132.0,2.0,1.0,740.7,2.0,1.0,940.7
3.0,4.0,10.1,3.0,4.0,720.4,2.0,4.0,611.9,2.0,3.0,442.3,2.0,3.0,1511.0,2.0,3.0,2057.0
3.0,5.0,28.4,3.0,5.0,1453.0,2.0,5.0,1108.0,2.0,5.0,340.4,2.0,4.0,1101.0,2.0,4.0,1260.0
3.0,6.0,25.5,3.0,6.0,1355.0,2.0,6.0,1189.0,2.0,6.0,274.9,2.0,6.0,891.6,2.0,5.0,1866.0
4.0,2.0,7.1,4.0,1.0,201.7,4.0,1.0,271.0,3.0,1.0,266.9,3.0,1.0,945.9,3.0,1.0,1288.0
4.0,3.0,10.0,4.0,3.0,649.2,4.0,2.0,661.8,3.0,2.0,692.6,3.0,2.0,1940.0,3.0,2.0,2731.0
4.0,5.0,20.4,4.0,5.0,740.7,4.0,5.0,669.5,3.0,5.0,862.3,3.0,4.0,1876.0,3.0,4.0,1588.0
4.0,6.0,13.9,4.0,6.0,708.4,4.0,6.0,589.7,3.0,6.0,586.7,3.0,6.0,2371.0,3.0,5.0,3191.0
5.0,2.0,55.1,5.0,1.0,801.6,5.0,1.0,579.7,5.0,1.0,139.1,4.0,1.0,399.8,4.0,1.0,441.2
5.0,3.0,66.2,5.0,3.0,1997.0,5.0,2.0,1478.0,5.0,2.0,281.0,4.0,2.0,760.5,4.0,2.0,1060.0
5.0,4.0,51.0,5.0,4.0,1255.0,5.0,4.0,877.8,5.0,3.0,547.2,4.0,3.0,1269.0,4.0,3.0,1453.0
5.0,6.0,63.6,5.0,6.0,1511.0,5.0,6.0,964.6,5.0,6.0,185.1,4.0,6.0,486.4,4.0,5.0,794.1
6.0,2.0,61.3,6.0,1.0,839.0,6.0,1.0,880.1,6.0,1.0,130.2,6.0,1.0,506.6,5.0,1.0,797.8
6.0,3.0,68.2,6.0,3.0,1897.0,6.0,2.0,1940.0,6.0,2.0,281.9,6.0,2.0,922.9,5.0,2.0,1504.0
6.0,4.0,45.6,6.0,4.0,1077.0,6.0,4.0,1153.0,6.0,3.0,443.4,6.0,3.0,1365.0,5.0,3.0,1918.0
6.0,5.0,86.1,6.0,5.0,1641.0,6.0,5.0,2371.0,6.0,5.0,235.0,6.0,4.0,611.9,5.0,4.0,873.3
