1,深川　麻奈美,深川　麻奈美.1,2,清水 愛海,清水 愛海.1,3,川野 芽唯,川野 芽唯.1,4,藤田 美代,藤田 美代.1,5,小池 礼乃,小池 礼乃.1,6,刑部　亜里紗,刑部　亜里紗.1
2.0,3.0,7.0,1.0,3.0,18.6,1.0,2.0,18.5,1.0,2.0,473.4,1.0,2.0,680.0,1.0,2.0,133.9
2.0,4.0,35.3,1.0,4.0,85.1,1.0,4.0,42.4,1.0,3.0,379.1,1.0,3.0,429.7,1.0,3.0,101.9
2.0,5.0,39.0,1.0,5.0,91.8,1.0,5.0,43.2,1.0,5.0,684.5,1.0,4.0,1163.0,1.0,4.0,425.2
2.0,6.0,18.4,1.0,6.0,44.5,1.0,6.0,21.2,1.0,6.0,545.6,1.0,6.0,671.8,1.0,5.0,459.0
3.0,2.0,6.4,3.0,1.0,32.8,2.0,1.0,38.3,2.0,1.0,741.9,2.0,1.0,965.3,2.0,1.0,185.7
3.0,4.0,20.2,3.0,4.0,126.3,2.0,4.0,133.2,2.0,3.0,841.9,2.0,3.0,833.9,2.0,3.0,200.0
3.0,5.0,19.6,3.0,5.0,126.1,2.0,5.0,135.7,2.0,5.0,1429.0,2.0,4.0,1875.0,2.0,4.0,574.0
3.0,6.0,9.8,3.0,6.0,59.7,2.0,6.0,63.1,2.0,6.0,993.2,2.0,6.0,1167.0,2.0,5.0,640.5
4.0,2.0,98.8,4.0,1.0,320.1,4.0,1.0,126.8,3.0,1.0,465.2,3.0,1.0,535.7,3.0,1.0,125.9
4.0,3.0,75.2,4.0,3.0,344.5,4.0,2.0,201.6,3.0,2.0,779.3,3.0,2.0,1004.0,3.0,2.0,200.1
4.0,5.0,180.5,4.0,5.0,792.3,4.0,5.0,318.3,3.0,5.0,1121.0,3.0,4.0,1718.0,3.0,4.0,501.8
4.0,6.0,118.3,4.0,6.0,465.6,4.0,6.0,157.9,3.0,6.0,785.2,3.0,6.0,914.0,3.0,5.0,516.9
5.0,2.0,121.9,5.0,1.0,370.5,5.0,1.0,142.9,5.0,1.0,1031.0,4.0,1.0,1590.0,4.0,1.0,939.0
5.0,3.0,88.4,5.0,3.0,366.3,5.0,2.0,238.1,5.0,2.0,1509.0,4.0,2.0,1989.0,4.0,2.0,1237.0
5.0,4.0,262.5,5.0,4.0,979.1,5.0,4.0,474.5,5.0,3.0,1547.0,4.0,3.0,1869.0,4.0,3.0,999.6
5.0,6.0,137.8,5.0,6.0,543.7,5.0,6.0,195.2,5.0,6.0,1097.0,4.0,6.0,1788.0,4.0,5.0,1607.0
6.0,2.0,46.2,6.0,1.0,126.7,6.0,1.0,49.9,6.0,1.0,814.2,6.0,1.0,1007.0,5.0,1.0,880.2
6.0,3.0,34.9,6.0,3.0,127.7,6.0,2.0,86.9,6.0,2.0,1105.0,6.0,2.0,1357.0,5.0,2.0,1230.0
6.0,4.0,136.5,6.0,4.0,342.2,6.0,4.0,210.9,6.0,3.0,1014.0,6.0,3.0,940.4,5.0,3.0,903.3
6.0,5.0,131.7,6.0,5.0,446.7,6.0,5.0,168.6,6.0,5.0,1366.0,6.0,4.0,1875.0,5.0,4.0,1637.0
