1,大原 祥昌,大原 祥昌.1,2,笹木 香吾,笹木 香吾.1,3,小林 孝彰,小林 孝彰.1,4,一色 凌雅,一色 凌雅.1,5,中島 秀治,中島 秀治.1,6,藤原 碧生,藤原 碧生.1
2.0,3.0,25.9,1.0,3.0,137.2,1.0,2.0,119.4,1.0,2.0,457.2,1.0,2.0,91.3,1.0,2.0,196.4
2.0,4.0,56.2,1.0,4.0,270.2,1.0,4.0,144.3,1.0,3.0,583.7,1.0,3.0,57.9,1.0,3.0,141.9
2.0,5.0,21.4,1.0,5.0,97.7,1.0,5.0,44.4,1.0,5.0,368.8,1.0,4.0,148.6,1.0,4.0,318.9
2.0,6.0,19.5,1.0,6.0,86.9,1.0,6.0,56.1,1.0,6.0,342.5,1.0,6.0,33.7,1.0,5.0,75.9
3.0,2.0,20.8,3.0,1.0,293.2,2.0,1.0,275.1,2.0,1.0,668.0,2.0,1.0,213.9,2.0,1.0,355.7
3.0,4.0,36.3,3.0,4.0,450.3,2.0,4.0,378.1,2.0,3.0,1010.0,2.0,3.0,369.9,2.0,3.0,715.7
3.0,5.0,9.5,3.0,5.0,228.1,2.0,5.0,205.5,2.0,5.0,840.8,2.0,4.0,518.3,2.0,4.0,917.9
3.0,6.0,11.7,3.0,6.0,205.9,2.0,6.0,233.9,2.0,6.0,829.2,2.0,6.0,190.8,2.0,5.0,346.5
4.0,2.0,80.0,4.0,1.0,554.1,4.0,1.0,327.6,3.0,1.0,807.0,3.0,1.0,99.2,3.0,1.0,243.4
4.0,3.0,84.3,4.0,3.0,649.9,4.0,2.0,488.8,3.0,2.0,1190.0,3.0,2.0,254.7,3.0,2.0,664.3
4.0,5.0,61.8,4.0,5.0,529.7,4.0,5.0,222.6,3.0,5.0,564.5,3.0,4.0,306.7,3.0,4.0,536.8
4.0,6.0,61.6,4.0,6.0,496.8,4.0,6.0,259.7,3.0,6.0,613.5,3.0,6.0,78.9,3.0,5.0,173.7
5.0,2.0,29.8,5.0,1.0,217.0,5.0,1.0,69.5,5.0,1.0,362.1,4.0,1.0,288.3,4.0,1.0,610.3
5.0,3.0,16.9,5.0,3.0,299.8,5.0,2.0,142.4,5.0,2.0,646.4,4.0,2.0,551.5,4.0,2.0,1064.0
5.0,4.0,59.8,5.0,4.0,496.8,5.0,4.0,187.8,5.0,3.0,534.4,4.0,3.0,503.1,4.0,3.0,993.7
5.0,6.0,14.2,5.0,6.0,166.3,5.0,6.0,55.2,5.0,6.0,213.2,4.0,6.0,178.6,4.0,5.0,402.1
6.0,2.0,32.0,6.0,1.0,228.1,6.0,1.0,126.9,6.0,1.0,486.8,6.0,1.0,42.4,5.0,1.0,81.0
6.0,3.0,26.1,6.0,3.0,396.8,6.0,2.0,258.5,6.0,2.0,890.7,6.0,2.0,109.3,5.0,2.0,230.8
6.0,4.0,54.1,6.0,4.0,529.7,6.0,4.0,333.0,6.0,3.0,884.1,6.0,3.0,69.7,5.0,3.0,123.9
6.0,5.0,19.9,6.0,5.0,239.0,6.0,5.0,87.7,6.0,5.0,284.9,6.0,4.0,118.3,5.0,4.0,234.4
