1,久永 祥平,久永 祥平.1,2,山川 雄大,山川 雄大.1,3,三馬 崇史,三馬 崇史.1,4,松本 博昭,松本 博昭.1,5,小澤 和也,小澤 和也.1,6,海野　康志郎,海野　康志郎.1
2.0,3.0,32.6,1.0,3.0,194.0,1.0,2.0,259.7,1.0,2.0,93.5,1.0,2.0,790.6,1.0,2.0,24.3
2.0,4.0,16.8,1.0,4.0,103.8,1.0,4.0,214.7,1.0,3.0,186.4,1.0,3.0,833.3,1.0,3.0,44.3
2.0,5.0,77.7,1.0,5.0,327.1,1.0,5.0,338.2,1.0,5.0,160.4,1.0,4.0,694.2,1.0,4.0,18.0
2.0,6.0,13.6,1.0,6.0,88.9,1.0,6.0,140.6,1.0,6.0,45.6,1.0,6.0,418.2,1.0,5.0,52.7
3.0,2.0,40.2,3.0,1.0,395.6,2.0,1.0,410.9,2.0,1.0,128.5,2.0,1.0,1199.0,2.0,1.0,50.8
3.0,4.0,28.3,3.0,4.0,507.8,2.0,4.0,467.4,2.0,3.0,328.1,2.0,3.0,1536.0,2.0,3.0,121.0
3.0,5.0,77.7,3.0,5.0,945.4,2.0,5.0,820.6,2.0,5.0,362.2,2.0,4.0,1293.0,2.0,4.0,63.2
3.0,6.0,24.9,3.0,6.0,459.8,2.0,6.0,418.5,2.0,6.0,118.6,2.0,6.0,1020.0,2.0,5.0,169.1
4.0,2.0,19.7,4.0,1.0,170.2,4.0,1.0,299.6,3.0,1.0,361.5,3.0,1.0,1115.0,3.0,1.0,103.8
4.0,3.0,35.7,4.0,3.0,412.5,4.0,2.0,436.4,3.0,2.0,533.8,3.0,2.0,1446.0,3.0,2.0,179.7
4.0,5.0,64.3,4.0,5.0,580.2,4.0,5.0,564.5,3.0,5.0,660.3,3.0,4.0,1168.0,3.0,4.0,136.2
4.0,6.0,11.0,4.0,6.0,157.7,4.0,6.0,255.3,3.0,6.0,313.1,3.0,6.0,937.3,3.0,5.0,257.4
5.0,2.0,199.2,5.0,1.0,879.3,5.0,1.0,657.1,5.0,1.0,261.6,4.0,1.0,771.5,4.0,1.0,35.4
5.0,3.0,198.5,5.0,3.0,1309.0,5.0,2.0,1079.0,5.0,2.0,452.9,4.0,2.0,1115.0,4.0,2.0,68.7
5.0,4.0,160.3,5.0,4.0,1136.0,5.0,4.0,826.9,5.0,3.0,594.3,4.0,3.0,1094.0,4.0,3.0,121.7
5.0,6.0,74.4,5.0,6.0,905.9,5.0,6.0,521.5,5.0,6.0,189.5,4.0,6.0,500.2,4.0,5.0,101.6
6.0,2.0,13.8,6.0,1.0,133.7,6.0,1.0,191.1,6.0,1.0,49.9,6.0,1.0,390.4,5.0,1.0,125.1
6.0,3.0,23.3,6.0,3.0,391.0,6.0,2.0,386.5,6.0,2.0,91.2,6.0,2.0,779.2,5.0,2.0,295.0
6.0,4.0,10.1,6.0,4.0,163.6,6.0,4.0,252.1,6.0,3.0,191.0,6.0,3.0,842.4,5.0,3.0,343.1
6.0,5.0,33.3,6.0,5.0,576.5,6.0,5.0,450.6,6.0,5.0,132.1,6.0,4.0,445.8,5.0,4.0,155.4
