1,岡村 慶太,岡村 慶太.1,2,照屋 厚仁,照屋 厚仁.1,3,桑原 将光,桑原 将光.1,4,榮田 将彦,榮田 将彦.1,5,笹木 香吾,笹木 香吾.1,6,桂林 寛,桂林 寛.1
2.0,3.0,3.8,1.0,3.0,70.5,1.0,2.0,95.8,1.0,2.0,118.8,1.0,2.0,684.5,1.0,2.0,131.0
2.0,4.0,14.3,1.0,4.0,161.1,1.0,4.0,175.4,1.0,3.0,151.6,1.0,3.0,773.4,1.0,3.0,212.0
2.0,5.0,40.8,1.0,5.0,316.0,1.0,5.0,311.3,1.0,5.0,171.9,1.0,4.0,880.1,1.0,4.0,251.9
2.0,6.0,6.6,1.0,6.0,89.4,1.0,6.0,124.9,1.0,6.0,172.3,1.0,6.0,1042.0,1.0,5.0,536.1
3.0,2.0,6.6,3.0,1.0,167.2,2.0,1.0,181.7,2.0,1.0,250.2,2.0,1.0,1080.0,2.0,1.0,232.5
3.0,4.0,17.1,3.0,4.0,684.5,2.0,4.0,657.6,2.0,3.0,505.9,2.0,3.0,2902.0,2.0,3.0,679.2
3.0,5.0,39.9,3.0,5.0,1077.0,2.0,5.0,946.5,2.0,5.0,611.7,2.0,4.0,2563.0,2.0,4.0,994.7
3.0,6.0,9.1,3.0,6.0,406.4,2.0,6.0,498.1,2.0,6.0,665.0,2.0,6.0,3192.0,2.0,5.0,1848.0
4.0,2.0,32.1,4.0,1.0,493.2,4.0,1.0,561.8,3.0,1.0,374.7,3.0,1.0,1067.0,3.0,1.0,528.8
4.0,3.0,38.0,4.0,3.0,1032.0,4.0,2.0,916.8,3.0,2.0,635.0,3.0,2.0,3221.0,3.0,2.0,822.3
4.0,5.0,86.4,4.0,5.0,1704.0,4.0,5.0,1664.0,3.0,5.0,989.1,3.0,4.0,3775.0,3.0,4.0,1640.0
4.0,6.0,46.8,4.0,6.0,919.2,4.0,6.0,1017.0,3.0,6.0,1009.0,3.0,6.0,4180.0,3.0,5.0,3053.0
5.0,2.0,116.8,5.0,1.0,941.4,5.0,1.0,803.5,5.0,1.0,277.5,4.0,1.0,747.1,4.0,1.0,454.8
5.0,3.0,132.4,5.0,3.0,1747.0,5.0,2.0,2018.0,5.0,2.0,461.4,4.0,2.0,1320.0,4.0,2.0,828.2
5.0,4.0,167.1,5.0,4.0,2601.0,5.0,4.0,2765.0,5.0,3.0,573.7,4.0,3.0,1738.0,4.0,3.0,1249.0
5.0,6.0,161.1,5.0,6.0,2388.0,5.0,6.0,2128.0,5.0,6.0,630.4,4.0,6.0,1656.0,4.0,5.0,1194.0
6.0,2.0,15.9,6.0,1.0,220.9,6.0,1.0,366.1,6.0,1.0,366.5,6.0,1.0,2018.0,5.0,1.0,1588.0
6.0,3.0,20.9,6.0,3.0,471.9,6.0,2.0,569.1,6.0,2.0,666.3,6.0,2.0,3775.0,5.0,2.0,2975.0
6.0,4.0,39.0,6.0,4.0,753.5,6.0,4.0,803.5,6.0,3.0,936.4,6.0,3.0,4620.0,5.0,3.0,3409.0
6.0,5.0,94.0,6.0,5.0,962.0,6.0,5.0,1791.0,6.0,5.0,869.2,6.0,4.0,3251.0,5.0,4.0,2680.0
