1,山下 和彦,山下 和彦.1,2,堀本 和也,堀本 和也.1,3,岡村 将也,岡村 将也.1,4,杉山 喜一,杉山 喜一.1,5,稗田 聖也,稗田 聖也.1,6,今垣　光太郎,今垣　光太郎.1
2.0,3.0,15.9,1.0,3.0,37.9,1.0,2.0,80.7,1.0,2.0,462.7,1.0,2.0,108.8,1.0,2.0,26.8
2.0,4.0,69.8,1.0,4.0,117.7,1.0,4.0,188.8,1.0,3.0,639.4,1.0,3.0,157.2,1.0,3.0,50.2
2.0,5.0,26.0,1.0,5.0,47.6,1.0,5.0,143.4,1.0,5.0,405.0,1.0,4.0,301.8,1.0,4.0,96.1
2.0,6.0,10.5,1.0,6.0,23.8,1.0,6.0,71.0,1.0,6.0,356.5,1.0,6.0,81.5,1.0,5.0,31.9
3.0,2.0,23.8,3.0,1.0,94.5,2.0,1.0,119.7,2.0,1.0,647.0,2.0,1.0,154.6,2.0,1.0,47.2
3.0,4.0,83.7,3.0,4.0,328.0,2.0,4.0,343.5,2.0,3.0,906.2,2.0,3.0,276.3,2.0,3.0,92.7
3.0,5.0,44.1,3.0,5.0,192.5,2.0,5.0,279.9,2.0,5.0,626.0,2.0,4.0,473.3,2.0,4.0,161.1
3.0,6.0,20.2,3.0,6.0,110.3,2.0,6.0,125.0,2.0,6.0,542.2,2.0,6.0,154.2,2.0,5.0,78.1
4.0,2.0,157.0,4.0,1.0,384.5,4.0,1.0,476.1,3.0,1.0,1000.0,3.0,1.0,280.3,3.0,1.0,97.2
4.0,3.0,186.8,4.0,3.0,562.7,4.0,2.0,656.1,3.0,2.0,1127.0,3.0,2.0,383.6,3.0,2.0,113.6
4.0,5.0,143.2,4.0,5.0,482.4,4.0,5.0,640.7,3.0,5.0,1206.0,3.0,4.0,766.4,3.0,4.0,191.6
4.0,6.0,106.9,4.0,6.0,361.3,4.0,6.0,448.7,3.0,6.0,979.2,3.0,6.0,310.9,3.0,5.0,145.2
5.0,2.0,53.4,5.0,1.0,134.5,5.0,1.0,252.7,5.0,1.0,453.1,4.0,1.0,491.8,4.0,1.0,160.8
5.0,3.0,70.3,5.0,3.0,247.0,5.0,2.0,358.1,5.0,2.0,545.8,4.0,2.0,600.8,4.0,2.0,204.9
5.0,4.0,135.2,5.0,4.0,459.4,5.0,4.0,590.0,5.0,3.0,861.0,4.0,3.0,865.5,4.0,3.0,272.0
5.0,6.0,37.5,5.0,6.0,124.6,5.0,6.0,263.9,5.0,6.0,394.3,4.0,6.0,379.2,4.0,5.0,148.1
6.0,2.0,11.8,6.0,1.0,47.2,6.0,1.0,103.7,6.0,1.0,403.5,6.0,1.0,97.7,5.0,1.0,51.5
6.0,3.0,16.9,6.0,3.0,89.2,6.0,2.0,120.6,6.0,2.0,553.2,6.0,2.0,137.4,5.0,2.0,77.3
6.0,4.0,61.4,6.0,4.0,203.2,6.0,4.0,218.5,6.0,3.0,698.0,6.0,3.0,264.5,5.0,3.0,125.0
6.0,5.0,20.5,6.0,5.0,84.3,6.0,5.0,172.8,6.0,5.0,401.5,6.0,4.0,308.6,5.0,4.0,128.8
