1,橋本 英一,橋本 英一.1,2,山戸 信二,山戸 信二.1,3,池上 隆行,池上 隆行.1,4,永田 秀二,永田 秀二.1,5,渡 修平,渡 修平.1,6,金田 諭,金田 諭.1
2.0,3.0,54.5,1.0,3.0,137.2,1.0,2.0,301.0,1.0,2.0,35.3,1.0,2.0,510.9,1.0,2.0,149.8
2.0,4.0,19.6,1.0,4.0,56.0,1.0,4.0,224.5,1.0,3.0,86.2,1.0,3.0,823.2,1.0,3.0,288.6
2.0,5.0,85.6,1.0,5.0,181.6,1.0,5.0,486.7,1.0,5.0,33.0,1.0,4.0,241.1,1.0,4.0,56.7
2.0,6.0,34.3,1.0,6.0,74.0,1.0,6.0,255.4,1.0,6.0,12.8,1.0,6.0,312.3,1.0,5.0,164.2
3.0,2.0,86.8,3.0,1.0,258.9,2.0,1.0,384.3,2.0,1.0,66.6,2.0,1.0,629.0,2.0,1.0,254.0
3.0,4.0,53.4,3.0,4.0,231.9,2.0,4.0,377.7,2.0,3.0,215.0,2.0,3.0,1465.0,2.0,3.0,539.9
3.0,5.0,144.9,3.0,5.0,452.0,2.0,5.0,635.0,2.0,5.0,126.8,2.0,4.0,590.0,2.0,4.0,141.8
3.0,6.0,82.5,3.0,6.0,274.9,2.0,6.0,409.0,2.0,6.0,43.6,2.0,6.0,647.3,2.0,5.0,533.4
4.0,2.0,15.3,4.0,1.0,80.3,4.0,1.0,303.7,3.0,1.0,209.3,3.0,1.0,1058.0,3.0,1.0,542.1
4.0,3.0,28.9,4.0,3.0,227.9,4.0,2.0,400.4,3.0,2.0,314.5,3.0,2.0,1587.0,3.0,2.0,694.5
4.0,5.0,29.7,4.0,5.0,210.0,4.0,5.0,503.2,3.0,5.0,324.4,3.0,4.0,1025.0,3.0,4.0,326.8
4.0,6.0,10.0,4.0,6.0,70.7,4.0,6.0,183.9,3.0,6.0,114.3,3.0,6.0,907.2,3.0,5.0,871.6
5.0,2.0,155.0,5.0,1.0,416.7,5.0,1.0,784.4,5.0,1.0,42.4,4.0,1.0,195.2,4.0,1.0,48.9
5.0,3.0,236.0,5.0,3.0,793.8,5.0,2.0,919.7,5.0,2.0,85.0,4.0,2.0,407.8,4.0,2.0,91.9
5.0,4.0,75.3,5.0,4.0,435.8,5.0,4.0,844.0,5.0,3.0,242.0,4.0,3.0,833.4,4.0,3.0,233.9
5.0,6.0,90.9,5.0,6.0,486.7,5.0,6.0,838.7,5.0,6.0,22.5,4.0,6.0,130.7,4.0,5.0,76.2
6.0,2.0,47.1,6.0,1.0,168.3,6.0,1.0,440.1,6.0,1.0,13.8,6.0,1.0,301.0,5.0,1.0,266.7
6.0,3.0,90.1,6.0,3.0,394.5,6.0,2.0,505.1,6.0,2.0,27.0,6.0,2.0,503.2,5.0,2.0,525.0
6.0,4.0,20.6,6.0,4.0,121.0,6.0,4.0,290.5,6.0,3.0,78.9,6.0,3.0,770.8,5.0,3.0,833.4
6.0,5.0,78.5,6.0,5.0,464.6,6.0,5.0,762.0,6.0,5.0,19.3,6.0,4.0,162.8,5.0,4.0,156.5
