1,岡村 将也,岡村 将也.1,2,上野 秀和,上野 秀和.1,3,松尾 宣邦,松尾 宣邦.1,4,篠原 飛翔,篠原 飛翔.1,5,西山 貴浩,西山 貴浩.1,6,岩崎 正哉,岩崎 正哉.1
2.0,3.0,83.7,1.0,3.0,223.8,1.0,2.0,385.1,1.0,2.0,82.8,1.0,2.0,18.0,1.0,2.0,468.0
2.0,4.0,49.9,1.0,4.0,154.6,1.0,4.0,555.8,1.0,3.0,253.6,1.0,3.0,48.3,1.0,3.0,657.3
2.0,5.0,25.0,1.0,5.0,70.0,1.0,5.0,246.0,1.0,5.0,35.6,1.0,4.0,12.4,1.0,4.0,313.6
2.0,6.0,107.1,1.0,6.0,200.6,1.0,6.0,454.6,1.0,6.0,133.4,1.0,6.0,23.5,1.0,5.0,158.7
3.0,2.0,109.1,3.0,1.0,283.1,2.0,1.0,489.2,2.0,1.0,143.7,2.0,1.0,39.8,2.0,1.0,627.3
3.0,4.0,145.9,3.0,4.0,389.6,2.0,4.0,679.4,2.0,3.0,338.9,2.0,3.0,97.4,2.0,3.0,873.8
3.0,5.0,69.8,3.0,5.0,243.8,2.0,5.0,381.7,2.0,5.0,107.7,2.0,4.0,52.1,2.0,4.0,908.0
3.0,6.0,183.5,3.0,6.0,271.4,2.0,6.0,504.7,2.0,6.0,218.1,2.0,6.0,56.4,2.0,5.0,423.4
4.0,2.0,41.5,4.0,1.0,218.4,4.0,1.0,927.5,3.0,1.0,676.4,3.0,1.0,144.7,3.0,1.0,984.9
4.0,3.0,113.9,4.0,3.0,519.5,4.0,2.0,997.9,3.0,2.0,650.2,3.0,2.0,168.8,3.0,2.0,913.4
4.0,5.0,16.0,4.0,5.0,143.5,4.0,5.0,553.7,3.0,5.0,428.2,3.0,4.0,210.5,3.0,4.0,1107.0
4.0,6.0,75.4,4.0,6.0,306.9,4.0,6.0,767.4,3.0,6.0,711.4,3.0,6.0,171.6,3.0,5.0,650.2
5.0,2.0,10.7,5.0,1.0,71.5,5.0,1.0,317.6,5.0,1.0,37.0,4.0,1.0,21.5,4.0,1.0,488.4
5.0,3.0,31.3,5.0,3.0,185.9,5.0,2.0,387.6,5.0,2.0,55.2,4.0,2.0,42.8,4.0,2.0,851.7
5.0,4.0,9.9,5.0,4.0,105.2,5.0,4.0,495.6,5.0,3.0,166.5,4.0,3.0,114.7,4.0,3.0,1087.0
5.0,6.0,20.6,5.0,6.0,108.2,5.0,6.0,390.1,5.0,6.0,59.5,4.0,6.0,40.1,4.0,5.0,307.2
6.0,2.0,181.1,6.0,1.0,302.0,6.0,1.0,588.2,6.0,1.0,334.1,6.0,1.0,55.4,5.0,1.0,160.6
6.0,3.0,288.5,6.0,3.0,379.3,6.0,2.0,591.7,6.0,2.0,444.0,6.0,2.0,94.1,5.0,2.0,327.2
6.0,4.0,152.8,6.0,4.0,401.5,6.0,4.0,732.1,6.0,3.0,837.5,6.0,3.0,178.9,5.0,3.0,486.9
6.0,5.0,76.2,6.0,5.0,219.2,6.0,5.0,509.8,6.0,5.0,221.1,6.0,4.0,78.3,5.0,4.0,232.5
