1,小森 信雄,小森 信雄.1,2,高倉 和士,高倉 和士.1,3,東 潤樹,東 潤樹.1,4,山田 丈,山田 丈.1,5,岩津 徹郎,岩津 徹郎.1,6,山本 幸也,山本 幸也.1
2.0,3.0,31.8,1.0,3.0,19.2,1.0,2.0,306.6,1.0,2.0,33.3,1.0,2.0,193.2,1.0,2.0,2907.0
2.0,4.0,12.1,1.0,4.0,6.6,1.0,4.0,402.9,1.0,3.0,156.1,1.0,3.0,625.2,1.0,3.0,4022.0
2.0,5.0,30.8,1.0,5.0,14.7,1.0,5.0,553.5,1.0,5.0,55.3,1.0,4.0,221.6,1.0,4.0,3830.0
2.0,6.0,247.7,1.0,6.0,173.8,1.0,6.0,1557.0,1.0,6.0,239.6,1.0,6.0,861.9,1.0,5.0,5612.0
3.0,2.0,75.4,3.0,1.0,52.0,2.0,1.0,247.2,2.0,1.0,24.2,2.0,1.0,149.9,2.0,1.0,3399.0
3.0,4.0,111.0,3.0,4.0,31.7,2.0,4.0,154.9,2.0,3.0,63.9,2.0,3.0,261.4,2.0,3.0,3497.0
3.0,5.0,224.9,3.0,5.0,48.9,2.0,5.0,217.4,2.0,5.0,21.4,2.0,4.0,91.1,2.0,4.0,1577.0
3.0,6.0,641.8,3.0,6.0,328.3,2.0,6.0,1022.0,2.0,6.0,138.4,2.0,6.0,483.6,2.0,5.0,2567.0
4.0,2.0,25.2,4.0,1.0,9.1,4.0,1.0,484.6,3.0,1.0,339.9,3.0,1.0,1009.0,3.0,1.0,5246.0
4.0,3.0,96.6,4.0,3.0,21.7,4.0,2.0,215.2,3.0,2.0,164.7,3.0,2.0,563.8,3.0,2.0,4090.0
4.0,5.0,69.0,4.0,5.0,10.8,4.0,5.0,396.2,3.0,5.0,264.6,3.0,4.0,840.9,3.0,4.0,2567.0
4.0,6.0,389.8,4.0,6.0,93.7,4.0,6.0,1774.0,3.0,6.0,928.2,3.0,6.0,2343.0,3.0,5.0,6033.0
5.0,2.0,100.1,5.0,1.0,40.6,5.0,1.0,849.7,5.0,1.0,55.3,4.0,1.0,152.9,4.0,1.0,4161.0
5.0,3.0,258.9,5.0,3.0,60.2,5.0,2.0,438.0,5.0,2.0,31.4,4.0,2.0,84.6,4.0,2.0,1856.0
5.0,4.0,130.4,5.0,4.0,27.3,5.0,4.0,542.3,5.0,3.0,161.7,4.0,3.0,443.6,4.0,3.0,2907.0
5.0,6.0,749.5,5.0,6.0,248.8,5.0,6.0,1870.0,5.0,6.0,171.1,4.0,6.0,403.5,4.0,5.0,2742.0
6.0,2.0,781.0,6.0,1.0,689.5,6.0,1.0,2839.0,6.0,1.0,597.3,6.0,1.0,1711.0,5.0,1.0,3830.0
6.0,3.0,1527.0,6.0,3.0,981.0,6.0,2.0,2194.0,6.0,2.0,405.6,6.0,2.0,1304.0,5.0,2.0,3351.0
6.0,4.0,1133.0,6.0,4.0,405.6,6.0,4.0,3016.0,6.0,3.0,928.2,6.0,3.0,2540.0,5.0,3.0,4732.0
6.0,5.0,1436.0,6.0,5.0,735.8,6.0,5.0,3399.0,6.0,5.0,517.9,6.0,4.0,1387.0,5.0,4.0,2943.0
