1,黒田 剛,黒田 剛.1,2,木場　雄二郎,木場　雄二郎.1,3,川島 拓郎,川島 拓郎.1,4,嶋田 貴支,嶋田 貴支.1,5,飯山 晃三,飯山 晃三.1,6,出本 正博,出本 正博.1
2.0,3.0,10.5,1.0,3.0,20.0,1.0,2.0,30.2,1.0,2.0,112.5,1.0,2.0,215.4,1.0,2.0,485.3
2.0,4.0,19.4,1.0,4.0,38.0,1.0,4.0,34.7,1.0,3.0,98.0,1.0,3.0,217.8,1.0,3.0,507.1
2.0,5.0,47.3,1.0,5.0,46.2,1.0,5.0,58.9,1.0,5.0,174.7,1.0,4.0,290.7,1.0,4.0,693.8
2.0,6.0,109.1,1.0,6.0,160.1,1.0,6.0,142.0,1.0,6.0,384.6,1.0,6.0,693.8,1.0,5.0,1242.0
3.0,2.0,11.2,3.0,1.0,23.3,2.0,1.0,30.0,2.0,1.0,142.9,2.0,1.0,409.7,2.0,1.0,611.2
3.0,4.0,14.7,3.0,4.0,21.8,2.0,4.0,21.5,2.0,3.0,76.3,2.0,3.0,209.4,2.0,3.0,748.9
3.0,5.0,34.5,3.0,5.0,38.3,2.0,5.0,45.2,2.0,5.0,98.1,2.0,4.0,298.3,2.0,4.0,617.9
3.0,6.0,80.3,3.0,6.0,135.9,2.0,6.0,139.1,2.0,6.0,287.0,2.0,6.0,715.7,2.0,5.0,1056.0
4.0,2.0,37.6,4.0,1.0,63.5,4.0,1.0,49.1,3.0,1.0,127.2,3.0,1.0,463.4,3.0,1.0,551.6
4.0,3.0,32.9,4.0,3.0,38.8,4.0,2.0,33.9,3.0,2.0,77.2,3.0,2.0,236.5,3.0,2.0,649.9
4.0,5.0,86.1,4.0,5.0,76.3,4.0,5.0,52.3,3.0,5.0,105.8,3.0,4.0,262.3,3.0,4.0,548.9
4.0,6.0,152.4,4.0,6.0,228.4,4.0,6.0,144.9,3.0,6.0,317.6,3.0,6.0,897.5,3.0,5.0,983.3
5.0,2.0,98.8,5.0,1.0,126.6,5.0,1.0,105.3,5.0,1.0,220.4,4.0,1.0,287.0,4.0,1.0,876.6
5.0,3.0,100.6,5.0,3.0,85.3,5.0,2.0,80.3,5.0,2.0,124.8,4.0,2.0,197.3,4.0,2.0,883.5
5.0,4.0,180.6,5.0,4.0,106.4,5.0,4.0,97.4,5.0,3.0,132.8,4.0,3.0,182.9,4.0,3.0,942.4
5.0,6.0,374.4,5.0,6.0,401.0,5.0,6.0,290.7,5.0,6.0,461.5,4.0,6.0,883.5,4.0,5.0,1431.0
6.0,2.0,273.1,6.0,1.0,483.2,6.0,1.0,417.3,6.0,1.0,628.2,6.0,1.0,1256.0,5.0,1.0,1413.0
6.0,3.0,255.2,6.0,3.0,446.9,6.0,2.0,396.8,6.0,2.0,530.9,6.0,2.0,1203.0,5.0,2.0,1379.0
6.0,4.0,421.9,6.0,4.0,559.8,6.0,4.0,433.2,6.0,3.0,598.3,6.0,3.0,1130.0,5.0,3.0,1330.0
6.0,5.0,638.9,6.0,5.0,649.9,6.0,5.0,485.3,6.0,5.0,753.9,6.0,4.0,1314.0,5.0,4.0,1379.0
