1,山田 竜一,山田 竜一.1,2,角浜 修,角浜 修.1,3,田中 堅,田中 堅.1,4,松村 敏,松村 敏.1,5,今出 晋二,今出 晋二.1,6,相原 利章,相原 利章.1
2.0,3.0,57.2,1.0,3.0,225.2,1.0,2.0,205.6,1.0,2.0,26.8,1.0,2.0,686.5,1.0,2.0,666.7
2.0,4.0,37.2,1.0,4.0,125.2,1.0,4.0,48.2,1.0,3.0,12.8,1.0,3.0,817.2,1.0,3.0,544.8
2.0,5.0,146.8,1.0,5.0,501.6,1.0,5.0,169.9,1.0,5.0,22.2,1.0,4.0,351.8,1.0,4.0,241.2
2.0,6.0,113.4,1.0,6.0,315.1,1.0,6.0,137.3,1.0,6.0,11.5,1.0,6.0,628.6,1.0,5.0,1092.0
3.0,2.0,46.2,3.0,1.0,355.3,2.0,1.0,379.8,2.0,1.0,67.4,2.0,1.0,1078.0,2.0,1.0,1178.0
3.0,4.0,15.9,3.0,4.0,273.0,2.0,4.0,241.5,2.0,3.0,116.9,2.0,3.0,1666.0,2.0,3.0,1771.0
3.0,5.0,82.9,3.0,5.0,952.4,2.0,5.0,707.6,2.0,5.0,103.0,2.0,4.0,867.6,2.0,4.0,861.7
3.0,6.0,48.1,3.0,6.0,581.0,2.0,6.0,526.7,2.0,6.0,81.7,2.0,6.0,1218.0,2.0,5.0,2345.0
4.0,2.0,24.1,4.0,1.0,151.2,4.0,1.0,51.4,3.0,1.0,24.5,3.0,1.0,1266.0,3.0,1.0,745.1
4.0,3.0,10.6,4.0,3.0,232.4,4.0,2.0,139.0,3.0,2.0,87.4,3.0,2.0,2147.0,3.0,2.0,1645.0
4.0,5.0,37.2,4.0,5.0,468.3,4.0,5.0,174.8,3.0,5.0,71.5,3.0,4.0,1111.0,3.0,4.0,393.4
4.0,6.0,13.1,4.0,6.0,255.9,4.0,6.0,85.8,3.0,6.0,36.0,3.0,6.0,1563.0,3.0,5.0,2111.0
5.0,2.0,254.6,5.0,1.0,1376.0,5.0,1.0,799.2,5.0,1.0,26.0,4.0,1.0,214.7,4.0,1.0,197.0
5.0,3.0,233.2,5.0,3.0,1456.0,5.0,2.0,1162.0,5.0,2.0,59.3,4.0,2.0,419.4,4.0,2.0,490.9
5.0,4.0,127.5,5.0,4.0,850.1,5.0,4.0,573.1,5.0,3.0,58.9,4.0,3.0,535.6,4.0,3.0,281.8
5.0,6.0,234.5,5.0,6.0,1563.0,5.0,6.0,885.8,5.0,6.0,22.2,4.0,6.0,210.9,4.0,5.0,429.4
6.0,2.0,189.7,6.0,1.0,904.8,6.0,1.0,319.0,6.0,1.0,18.4,6.0,1.0,1096.0,5.0,1.0,1723.0
6.0,3.0,131.5,6.0,3.0,1218.0,6.0,2.0,723.8,6.0,2.0,51.1,6.0,2.0,1919.0,5.0,2.0,2390.0
6.0,4.0,66.6,6.0,4.0,684.7,6.0,4.0,199.6,6.0,3.0,29.6,6.0,3.0,1784.0,5.0,3.0,2436.0
6.0,5.0,276.8,6.0,5.0,1948.0,6.0,5.0,717.7,6.0,5.0,29.1,6.0,4.0,631.8,5.0,4.0,963.3
