1,小坂 尚哉,小坂 尚哉.1,2,田頭 虎親,田頭 虎親.1,3,河野 真也,河野 真也.1,4,山田 竜一,山田 竜一.1,5,楠原 正剛,楠原 正剛.1,6,富永 正人,富永 正人.1
2.0,3.0,4.9,1.0,3.0,34.3,1.0,2.0,53.4,1.0,2.0,106.1,1.0,2.0,242.8,1.0,2.0,1533.0
2.0,4.0,8.1,1.0,4.0,53.6,1.0,4.0,63.3,1.0,3.0,144.5,1.0,3.0,266.5,1.0,3.0,1254.0
2.0,5.0,13.6,1.0,5.0,74.8,1.0,5.0,74.2,1.0,5.0,130.6,1.0,4.0,342.2,1.0,4.0,2259.0
2.0,6.0,58.5,1.0,6.0,230.0,1.0,6.0,207.5,1.0,6.0,232.2,1.0,6.0,538.2,1.0,5.0,2456.0
3.0,2.0,6.2,3.0,1.0,105.2,2.0,1.0,108.1,2.0,1.0,210.4,2.0,1.0,416.9,2.0,1.0,2070.0
3.0,4.0,9.4,3.0,4.0,268.5,2.0,4.0,290.3,2.0,3.0,474.4,2.0,3.0,662.2,2.0,3.0,3345.0
3.0,5.0,13.1,3.0,5.0,281.9,2.0,5.0,239.3,2.0,5.0,378.5,2.0,4.0,965.8,2.0,4.0,4083.0
3.0,6.0,58.4,3.0,6.0,609.1,2.0,6.0,663.0,2.0,6.0,610.3,2.0,6.0,1225.0,2.0,5.0,4519.0
4.0,2.0,17.1,4.0,1.0,197.6,4.0,1.0,180.6,3.0,1.0,297.6,3.0,1.0,481.3,3.0,1.0,1518.0
4.0,3.0,20.0,4.0,3.0,406.3,4.0,2.0,322.3,3.0,2.0,538.2,3.0,2.0,795.7,3.0,2.0,3402.0
4.0,5.0,30.9,4.0,5.0,556.9,4.0,5.0,365.2,3.0,5.0,568.7,3.0,4.0,1210.0,3.0,4.0,3067.0
4.0,6.0,86.2,4.0,6.0,922.2,4.0,6.0,673.5,3.0,6.0,912.2,3.0,6.0,1788.0,3.0,5.0,3677.0
5.0,2.0,30.5,5.0,1.0,286.7,5.0,1.0,243.0,5.0,1.0,182.5,4.0,1.0,409.1,4.0,1.0,2349.0
5.0,3.0,34.6,5.0,3.0,473.2,5.0,2.0,407.7,5.0,2.0,296.6,4.0,2.0,659.3,4.0,2.0,3700.0
5.0,4.0,55.0,5.0,4.0,786.2,5.0,4.0,541.6,5.0,3.0,452.3,4.0,3.0,947.3,4.0,3.0,3503.0
5.0,6.0,135.0,5.0,6.0,1213.0,5.0,6.0,824.6,5.0,6.0,330.7,4.0,6.0,720.2,4.0,5.0,3166.0
6.0,2.0,261.8,6.0,1.0,1001.0,6.0,1.0,438.8,6.0,1.0,562.2,6.0,1.0,1096.0,5.0,1.0,2596.0
6.0,3.0,289.3,6.0,3.0,1897.0,6.0,2.0,1321.0,6.0,2.0,933.8,6.0,2.0,1682.0,5.0,2.0,4259.0
6.0,4.0,320.2,6.0,4.0,1993.0,6.0,4.0,1476.0,6.0,3.0,1399.0,6.0,3.0,2608.0,5.0,3.0,3632.0
6.0,5.0,379.7,6.0,5.0,1891.0,6.0,5.0,1476.0,6.0,5.0,702.3,6.0,4.0,1545.0,5.0,4.0,3307.0
