1,来田 衣織,来田 衣織.1,2,長谷川 充,長谷川 充.1,3,森 智也,森 智也.1,4,野中 義生,野中 義生.1,5,牧山 敦也,牧山 敦也.1,6,村上 彰一,村上 彰一.1
2.0,3.0,17.2,1.0,3.0,21.1,1.0,2.0,64.4,1.0,2.0,91.6,1.0,2.0,214.5,1.0,2.0,1042.0
2.0,4.0,14.9,1.0,4.0,15.6,1.0,4.0,78.7,1.0,3.0,177.5,1.0,3.0,313.9,1.0,3.0,1164.0
2.0,5.0,29.5,1.0,5.0,29.8,1.0,5.0,94.3,1.0,5.0,115.9,1.0,4.0,302.0,1.0,4.0,1220.0
2.0,6.0,60.4,1.0,6.0,74.2,1.0,6.0,179.1,1.0,6.0,172.2,1.0,6.0,414.3,1.0,5.0,1778.0
3.0,2.0,23.1,3.0,1.0,35.0,2.0,1.0,70.6,2.0,1.0,92.5,2.0,1.0,211.3,2.0,1.0,1054.0
3.0,4.0,33.1,3.0,4.0,23.6,2.0,4.0,45.4,2.0,3.0,78.2,2.0,3.0,165.1,2.0,3.0,570.2
3.0,5.0,46.8,3.0,5.0,28.9,2.0,5.0,48.3,2.0,5.0,78.7,2.0,4.0,166.7,2.0,4.0,709.4
3.0,6.0,83.1,3.0,6.0,56.8,2.0,6.0,67.2,2.0,6.0,92.3,2.0,6.0,246.7,2.0,5.0,921.5
4.0,2.0,31.7,4.0,1.0,31.6,4.0,1.0,117.6,3.0,1.0,219.5,3.0,1.0,351.2,3.0,1.0,1107.0
4.0,3.0,57.6,4.0,3.0,33.4,4.0,2.0,67.8,3.0,2.0,101.7,3.0,2.0,237.2,3.0,2.0,679.7
4.0,5.0,67.4,4.0,5.0,33.9,4.0,5.0,76.6,3.0,5.0,142.6,3.0,4.0,370.9,3.0,4.0,1216.0
4.0,6.0,96.7,4.0,6.0,62.2,4.0,6.0,121.9,3.0,6.0,151.8,3.0,6.0,428.7,3.0,5.0,1208.0
5.0,2.0,79.4,5.0,1.0,82.1,5.0,1.0,148.3,5.0,1.0,112.3,4.0,1.0,239.1,4.0,1.0,1254.0
5.0,3.0,110.6,5.0,3.0,62.5,5.0,2.0,92.9,5.0,2.0,77.7,4.0,2.0,166.9,4.0,2.0,691.6
5.0,4.0,117.5,5.0,4.0,61.4,5.0,4.0,117.2,5.0,3.0,141.3,4.0,3.0,312.2,4.0,3.0,1149.0
5.0,6.0,211.8,5.0,6.0,117.3,5.0,6.0,162.5,5.0,6.0,89.7,4.0,6.0,205.3,4.0,5.0,948.4
6.0,2.0,214.7,6.0,1.0,265.6,6.0,1.0,384.9,6.0,1.0,237.9,6.0,1.0,765.6,5.0,1.0,1752.0
6.0,3.0,272.9,6.0,3.0,144.5,6.0,2.0,191.2,6.0,2.0,146.1,6.0,2.0,422.1,5.0,2.0,1042.0
6.0,4.0,307.9,6.0,4.0,185.5,6.0,4.0,313.3,6.0,3.0,208.4,6.0,3.0,553.5,5.0,3.0,1224.0
6.0,5.0,459.6,6.0,5.0,226.1,6.0,5.0,279.3,6.0,5.0,172.7,6.0,4.0,494.5,5.0,4.0,996.0
