1,山田 丈,山田 丈.1,2,中尾 優香,中尾 優香.1,3,藤井 公人,藤井 公人.1,4,松本 怜,松本 怜.1,5,米丸 乃絵,米丸 乃絵.1,6,杉山 太陽,杉山 太陽.1
2.0,3.0,12.0,1.0,3.0,114.6,1.0,2.0,45.1,1.0,2.0,437.3,1.0,2.0,81.5,1.0,2.0,506.6
2.0,4.0,31.8,1.0,4.0,250.2,1.0,4.0,88.4,1.0,3.0,394.6,1.0,3.0,46.2,1.0,3.0,385.7
2.0,5.0,15.0,1.0,5.0,120.9,1.0,5.0,29.4,1.0,5.0,256.4,1.0,4.0,120.0,1.0,4.0,1069.0
2.0,6.0,65.2,1.0,6.0,390.3,1.0,6.0,88.2,1.0,6.0,840.5,1.0,6.0,123.0,1.0,5.0,487.1
3.0,2.0,9.6,3.0,1.0,188.3,2.0,1.0,156.4,2.0,1.0,709.3,2.0,1.0,186.3,2.0,1.0,985.8
3.0,4.0,16.4,3.0,4.0,526.8,2.0,4.0,396.2,2.0,3.0,1009.0,2.0,3.0,303.5,2.0,3.0,1555.0
3.0,5.0,5.1,3.0,5.0,305.1,2.0,5.0,228.8,2.0,5.0,692.4,2.0,4.0,429.5,2.0,4.0,2464.0
3.0,6.0,25.2,3.0,6.0,914.5,2.0,6.0,612.2,2.0,6.0,1439.0,2.0,6.0,626.7,2.0,5.0,1900.0
4.0,2.0,51.5,4.0,1.0,512.0,4.0,1.0,246.6,3.0,1.0,653.5,3.0,1.0,83.9,3.0,1.0,613.5
4.0,3.0,42.1,4.0,3.0,781.8,4.0,2.0,483.9,3.0,2.0,1211.0,3.0,2.0,271.5,3.0,2.0,1468.0
4.0,5.0,32.4,4.0,5.0,518.4,4.0,5.0,256.6,3.0,5.0,753.4,3.0,4.0,405.6,3.0,4.0,2272.0
4.0,6.0,133.2,4.0,6.0,1191.0,4.0,6.0,668.5,3.0,6.0,1671.0,3.0,6.0,363.9,3.0,5.0,1270.0
5.0,2.0,15.8,5.0,1.0,242.1,5.0,1.0,56.2,5.0,1.0,335.8,4.0,1.0,290.8,4.0,1.0,1926.0
5.0,3.0,7.6,5.0,3.0,377.2,5.0,2.0,163.7,5.0,2.0,572.5,4.0,2.0,514.7,4.0,2.0,2668.0
5.0,4.0,20.1,5.0,4.0,537.5,5.0,4.0,201.1,5.0,3.0,608.4,4.0,3.0,529.7,4.0,3.0,2423.0
5.0,6.0,33.0,5.0,6.0,857.9,5.0,6.0,239.5,5.0,6.0,805.6,4.0,6.0,868.1,4.0,5.0,2443.0
6.0,2.0,142.7,6.0,1.0,777.6,6.0,1.0,368.1,6.0,1.0,1476.0,6.0,1.0,282.3,5.0,1.0,725.2
6.0,3.0,85.8,6.0,3.0,1020.0,6.0,2.0,730.7,6.0,2.0,1926.0,6.0,2.0,721.6,5.0,2.0,1762.0
6.0,4.0,200.5,6.0,4.0,1741.0,6.0,4.0,1024.0,6.0,3.0,1951.0,6.0,3.0,497.1,5.0,3.0,1232.0
6.0,5.0,88.7,6.0,5.0,1270.0,6.0,5.0,561.4,6.0,5.0,1720.0,6.0,4.0,938.1,5.0,4.0,2077.0
