1,板橋 侑我,板橋 侑我.1,2,富永　夏哉人,富永　夏哉人.1,3,中村 駿平,中村 駿平.1,4,中島 航,中島 航.1,5,永松 良教,永松 良教.1,6,眞崎 武蔵,眞崎 武蔵.1
2.0,3.0,7.5,1.0,3.0,78.0,1.0,2.0,114.0,1.0,2.0,143.2,1.0,2.0,740.8,1.0,2.0,1178.0
2.0,4.0,6.8,1.0,4.0,65.8,1.0,4.0,82.4,1.0,3.0,153.4,1.0,3.0,702.0,1.0,3.0,1478.0
2.0,5.0,21.6,1.0,5.0,188.5,1.0,5.0,162.9,1.0,5.0,175.4,1.0,4.0,558.2,1.0,4.0,1424.0
2.0,6.0,35.0,1.0,6.0,242.8,1.0,6.0,252.4,1.0,6.0,229.4,1.0,6.0,1090.0,1.0,5.0,1949.0
3.0,2.0,8.3,3.0,1.0,248.7,2.0,1.0,270.9,2.0,1.0,300.0,2.0,1.0,1586.0,2.0,1.0,2040.0
3.0,4.0,5.8,3.0,4.0,621.9,2.0,4.0,568.2,2.0,3.0,726.9,2.0,3.0,2623.0,2.0,3.0,3965.0
3.0,5.0,17.5,3.0,5.0,737.7,2.0,5.0,815.2,2.0,5.0,899.3,2.0,4.0,2791.0,2.0,4.0,2791.0
3.0,6.0,30.8,3.0,6.0,1255.0,2.0,6.0,1224.0,2.0,6.0,819.0,2.0,6.0,2357.0,2.0,5.0,4591.0
4.0,2.0,9.2,4.0,1.0,258.4,4.0,1.0,182.0,3.0,1.0,304.2,3.0,1.0,1136.0,3.0,1.0,1406.0
4.0,3.0,8.1,4.0,3.0,643.7,4.0,2.0,536.8,3.0,2.0,740.8,3.0,2.0,2406.0,3.0,2.0,3792.0
4.0,5.0,19.7,4.0,5.0,985.6,4.0,5.0,579.6,3.0,5.0,805.8,3.0,4.0,1735.0,3.0,4.0,3230.0
4.0,6.0,27.4,4.0,6.0,991.2,4.0,6.0,665.9,3.0,6.0,870.1,3.0,6.0,2860.0,3.0,5.0,5286.0
5.0,2.0,56.7,5.0,1.0,1032.0,5.0,1.0,623.0,5.0,1.0,356.7,4.0,1.0,861.5,4.0,1.0,2076.0
5.0,3.0,54.3,5.0,3.0,1586.0,5.0,2.0,1255.0,5.0,2.0,830.7,4.0,2.0,2492.0,4.0,2.0,3060.0
5.0,4.0,52.8,5.0,4.0,1661.0,5.0,4.0,1047.0,5.0,3.0,870.1,4.0,3.0,1807.0,4.0,3.0,3454.0
5.0,6.0,108.3,5.0,6.0,2127.0,5.0,6.0,1600.0,5.0,6.0,716.4,4.0,6.0,2236.0,4.0,5.0,4255.0
6.0,2.0,109.0,6.0,1.0,1301.0,6.0,1.0,940.5,6.0,1.0,699.2,6.0,1.0,3143.0,5.0,1.0,4010.0
6.0,3.0,101.8,6.0,3.0,2528.0,6.0,2.0,2127.0,6.0,2.0,1155.0,6.0,2.0,3323.0,5.0,2.0,5452.0
6.0,4.0,86.3,6.0,4.0,1744.0,6.0,4.0,1735.0,6.0,3.0,1491.0,6.0,3.0,4652.0,5.0,3.0,5207.0
6.0,5.0,187.3,6.0,5.0,2704.0,6.0,5.0,2236.0,6.0,5.0,1167.0,6.0,4.0,3634.0,5.0,4.0,4361.0
