1,檀 将太,檀 将太.1,2,松本 弓雄,松本 弓雄.1,3,原村 拓也,原村 拓也.1,4,寺島 吉彦,寺島 吉彦.1,5,岡崎 恭裕,岡崎 恭裕.1,6,照屋 厚仁,照屋 厚仁.1
2.0,3.0,89.8,1.0,3.0,152.2,1.0,2.0,202.1,1.0,2.0,304.8,1.0,2.0,145.4,1.0,2.0,1081.0
2.0,4.0,118.2,1.0,4.0,144.9,1.0,4.0,181.7,1.0,3.0,309.3,1.0,3.0,148.1,1.0,3.0,1150.0
2.0,5.0,84.0,1.0,5.0,103.9,1.0,5.0,129.2,1.0,5.0,180.7,1.0,4.0,149.9,1.0,4.0,1004.0
2.0,6.0,171.4,1.0,6.0,220.8,1.0,6.0,299.1,1.0,6.0,296.3,1.0,6.0,164.1,1.0,5.0,739.9
3.0,2.0,108.7,3.0,1.0,146.2,2.0,1.0,168.4,2.0,1.0,242.8,2.0,1.0,110.7,2.0,1.0,1012.0
3.0,4.0,121.6,3.0,4.0,38.2,2.0,4.0,47.3,2.0,3.0,78.7,2.0,3.0,34.4,2.0,3.0,706.8
3.0,5.0,86.6,3.0,5.0,24.3,2.0,5.0,37.3,2.0,5.0,43.3,2.0,4.0,28.1,2.0,4.0,611.2
3.0,6.0,197.7,3.0,6.0,63.2,2.0,6.0,75.1,2.0,6.0,109.5,2.0,6.0,48.0,2.0,5.0,365.6
4.0,2.0,147.1,4.0,1.0,138.1,4.0,1.0,168.9,3.0,1.0,287.5,3.0,1.0,158.3,3.0,1.0,1252.0
4.0,3.0,137.8,4.0,3.0,42.7,4.0,2.0,64.3,3.0,2.0,99.1,3.0,2.0,58.4,3.0,2.0,854.9
4.0,5.0,107.2,4.0,5.0,20.3,4.0,5.0,40.3,3.0,5.0,60.7,3.0,4.0,49.2,3.0,4.0,866.6
4.0,6.0,201.4,4.0,6.0,65.8,4.0,6.0,101.7,3.0,6.0,145.4,3.0,6.0,59.8,3.0,5.0,531.6
5.0,2.0,101.7,5.0,1.0,85.7,5.0,1.0,130.5,5.0,1.0,107.5,4.0,1.0,102.2,4.0,1.0,958.5
5.0,3.0,108.4,5.0,3.0,21.9,5.0,2.0,42.1,5.0,2.0,36.1,4.0,2.0,33.2,4.0,2.0,602.5
5.0,4.0,114.0,5.0,4.0,17.5,5.0,4.0,33.5,5.0,3.0,45.8,4.0,3.0,41.5,4.0,3.0,702.9
5.0,6.0,144.4,5.0,6.0,39.0,5.0,6.0,53.8,5.0,6.0,34.7,4.0,6.0,33.0,4.0,5.0,191.7
6.0,2.0,413.4,6.0,1.0,466.8,6.0,1.0,665.9,6.0,1.0,332.9,6.0,1.0,192.5,5.0,1.0,585.7
6.0,3.0,496.1,6.0,3.0,188.0,6.0,2.0,226.3,6.0,2.0,184.1,6.0,2.0,90.4,5.0,2.0,281.1
6.0,4.0,391.7,6.0,4.0,156.2,6.0,4.0,202.4,6.0,3.0,196.1,6.0,3.0,89.9,5.0,3.0,385.7
6.0,5.0,307.1,6.0,5.0,112.2,6.0,5.0,162.2,6.0,5.0,86.0,6.0,4.0,61.2,5.0,4.0,169.6
