1,竹田 吉行,竹田 吉行.1,2,内田 圭,内田 圭.1,3,大野 芳顕,大野 芳顕.1,4,佐藤 旭,佐藤 旭.1,5,香月 大輝,香月 大輝.1,6,伊藤 啓三,伊藤 啓三.1
2.0,3.0,15.1,1.0,3.0,43.0,1.0,2.0,40.5,1.0,2.0,215.6,1.0,2.0,709.5,1.0,2.0,143.2
2.0,4.0,28.8,1.0,4.0,72.6,1.0,4.0,22.1,1.0,3.0,107.1,1.0,3.0,562.9,1.0,3.0,64.1
2.0,5.0,206.9,1.0,5.0,444.4,1.0,5.0,175.3,1.0,5.0,553.6,1.0,4.0,965.0,1.0,4.0,112.3
2.0,6.0,26.3,1.0,6.0,65.4,1.0,6.0,16.5,1.0,6.0,110.3,1.0,6.0,731.0,1.0,5.0,475.7
3.0,2.0,13.2,3.0,1.0,88.4,2.0,1.0,98.4,2.0,1.0,333.0,2.0,1.0,1468.0,2.0,1.0,240.9
3.0,4.0,8.2,3.0,4.0,176.0,2.0,4.0,174.1,2.0,3.0,384.6,2.0,3.0,1655.0,2.0,3.0,241.9
3.0,5.0,95.6,3.0,5.0,740.6,2.0,5.0,526.0,2.0,5.0,1279.0,2.0,4.0,2313.0,2.0,4.0,398.2
3.0,6.0,7.9,3.0,6.0,127.2,2.0,6.0,119.5,2.0,6.0,326.6,2.0,6.0,2282.0,2.0,5.0,804.1
4.0,2.0,36.7,4.0,1.0,229.7,4.0,1.0,41.1,3.0,1.0,93.5,3.0,1.0,670.1,3.0,1.0,75.0
4.0,3.0,17.2,4.0,3.0,315.0,4.0,2.0,149.8,3.0,2.0,293.7,3.0,2.0,1214.0,3.0,2.0,210.5
4.0,5.0,257.8,4.0,5.0,1351.0,4.0,5.0,422.1,3.0,5.0,743.9,3.0,4.0,1384.0,3.0,4.0,126.6
4.0,6.0,27.5,4.0,6.0,341.8,4.0,6.0,37.4,3.0,6.0,81.1,3.0,6.0,764.1,3.0,5.0,411.8
5.0,2.0,461.4,5.0,1.0,1741.0,5.0,1.0,553.6,5.0,1.0,811.9,4.0,1.0,1407.0,4.0,1.0,172.6
5.0,3.0,325.3,5.0,3.0,1563.0,5.0,2.0,933.0,5.0,2.0,1241.0,4.0,2.0,2345.0,4.0,2.0,402.0
5.0,4.0,544.7,5.0,4.0,2638.0,5.0,4.0,907.9,5.0,3.0,1148.0,4.0,3.0,2034.0,4.0,3.0,164.5
5.0,6.0,359.3,5.0,6.0,1655.0,5.0,6.0,442.0,5.0,6.0,875.0,4.0,6.0,1639.0,4.0,5.0,743.9
6.0,2.0,44.7,6.0,1.0,217.6,6.0,1.0,30.5,6.0,1.0,133.7,6.0,1.0,954.1,5.0,1.0,683.7
6.0,3.0,16.6,6.0,3.0,236.8,6.0,2.0,103.4,6.0,2.0,256.2,6.0,2.0,1639.0,5.0,2.0,1042.0
6.0,4.0,37.1,6.0,4.0,437.5,6.0,4.0,39.7,6.0,3.0,121.0,6.0,3.0,888.8,5.0,3.0,659.6
6.0,5.0,226.0,6.0,5.0,1197.0,6.0,5.0,219.0,6.0,5.0,516.4,6.0,4.0,1361.0,5.0,4.0,792.8
