1,原田 雄次,原田 雄次.1,2,宮嵜　隆太郎,宮嵜　隆太郎.1,3,田中 孝明,田中 孝明.1,4,山下 心一,山下 心一.1,5,岡村 慶太,岡村 慶太.1,6,水摩 敦,水摩 敦.1
2.0,3.0,59.9,1.0,3.0,186.4,1.0,2.0,208.9,1.0,2.0,1869.0,1.0,2.0,50.2,1.0,2.0,180.3
2.0,4.0,296.9,1.0,4.0,728.8,1.0,4.0,493.8,1.0,3.0,2159.0,1.0,3.0,31.6,1.0,3.0,137.6
2.0,5.0,37.3,1.0,5.0,112.4,1.0,5.0,57.3,1.0,5.0,1453.0,1.0,4.0,175.9,1.0,4.0,393.0
2.0,6.0,61.8,1.0,6.0,185.6,1.0,6.0,86.6,1.0,6.0,1573.0,1.0,6.0,14.8,1.0,5.0,57.3
3.0,2.0,53.2,3.0,1.0,255.4,2.0,1.0,280.6,2.0,1.0,1829.0,2.0,1.0,93.9,2.0,1.0,289.9
3.0,4.0,233.7,3.0,4.0,873.1,2.0,4.0,761.1,2.0,3.0,2659.0,2.0,3.0,97.1,2.0,3.0,302.8
3.0,5.0,14.6,3.0,5.0,114.8,2.0,5.0,117.8,2.0,5.0,1643.0,2.0,4.0,288.4,2.0,4.0,694.5
3.0,6.0,28.2,3.0,6.0,172.3,2.0,6.0,173.3,2.0,6.0,1849.0,2.0,6.0,54.9,2.0,5.0,142.4
4.0,2.0,720.7,4.0,1.0,1413.0,4.0,1.0,1482.0,3.0,1.0,2567.0,3.0,1.0,48.9,3.0,1.0,207.5
4.0,3.0,746.7,4.0,3.0,1773.0,4.0,2.0,1791.0,3.0,2.0,3127.0,3.0,2.0,86.2,3.0,2.0,298.4
4.0,5.0,436.9,4.0,5.0,910.1,4.0,5.0,1059.0,3.0,5.0,2064.0,3.0,4.0,223.2,3.0,4.0,617.2
4.0,6.0,539.2,4.0,6.0,1429.0,4.0,6.0,1309.0,3.0,6.0,2422.0,3.0,6.0,32.5,3.0,5.0,103.4
5.0,2.0,23.8,5.0,1.0,123.2,5.0,1.0,51.5,5.0,1.0,1214.0,4.0,1.0,497.1,4.0,1.0,981.0
5.0,3.0,11.4,5.0,3.0,95.6,5.0,2.0,84.0,5.0,2.0,1508.0,4.0,2.0,729.8,4.0,2.0,1354.0
5.0,4.0,120.8,5.0,4.0,386.2,5.0,4.0,261.2,5.0,3.0,1290.0,4.0,3.0,704.9,4.0,3.0,1296.0
5.0,6.0,9.0,5.0,6.0,68.4,5.0,6.0,36.0,5.0,6.0,588.4,4.0,6.0,263.4,4.0,5.0,499.5
6.0,2.0,72.4,6.0,1.0,308.6,6.0,1.0,134.8,6.0,1.0,1947.0,6.0,1.0,14.2,5.0,1.0,44.4
6.0,3.0,42.9,6.0,3.0,219.2,6.0,2.0,200.1,6.0,2.0,2567.0,6.0,2.0,29.7,5.0,2.0,74.2
6.0,4.0,256.7,6.0,4.0,825.6,6.0,4.0,506.9,6.0,3.0,2517.0,6.0,3.0,22.8,5.0,3.0,61.0
6.0,5.0,20.1,6.0,5.0,118.1,6.0,5.0,64.5,6.0,5.0,795.1,6.0,4.0,60.0,5.0,4.0,153.9
