1,坂口 周,坂口 周.1,2,牧山 敦也,牧山 敦也.1,3,植田 太一,植田 太一.1,4,佐々木　和伸,佐々木　和伸.1,5,大塚 雅治,大塚 雅治.1,6,長谷川 充,長谷川 充.1
2.0,3.0,9.7,1.0,3.0,78.2,1.0,2.0,62.2,1.0,2.0,78.4,1.0,2.0,495.5,1.0,2.0,308.4
2.0,4.0,10.7,1.0,4.0,77.3,1.0,4.0,28.1,1.0,3.0,89.1,1.0,3.0,399.5,1.0,3.0,275.9
2.0,5.0,42.2,1.0,5.0,218.4,1.0,5.0,61.8,1.0,5.0,143.1,1.0,4.0,390.1,1.0,4.0,360.0
2.0,6.0,27.7,1.0,6.0,164.2,1.0,6.0,42.0,1.0,6.0,92.6,1.0,6.0,551.2,1.0,5.0,864.8
3.0,2.0,10.4,3.0,1.0,183.0,2.0,1.0,161.1,2.0,1.0,156.9,2.0,1.0,912.6,2.0,1.0,454.8
3.0,4.0,7.7,3.0,4.0,290.8,2.0,4.0,181.4,2.0,3.0,357.1,2.0,3.0,1606.0,2.0,3.0,1090.0
3.0,5.0,25.3,3.0,5.0,796.0,2.0,5.0,296.1,2.0,5.0,442.1,2.0,4.0,993.0,2.0,4.0,827.5
3.0,6.0,13.2,3.0,6.0,595.6,2.0,6.0,271.7,2.0,6.0,336.2,2.0,6.0,1523.0,2.0,5.0,1621.0
4.0,2.0,14.9,4.0,1.0,157.0,4.0,1.0,54.9,3.0,1.0,141.2,3.0,1.0,662.9,3.0,1.0,358.2
4.0,3.0,12.4,4.0,3.0,324.2,4.0,2.0,125.5,3.0,2.0,324.0,3.0,2.0,1546.0,3.0,2.0,1156.0
4.0,5.0,37.6,4.0,5.0,662.9,4.0,5.0,118.8,3.0,5.0,338.6,3.0,4.0,1095.0,3.0,4.0,770.1
4.0,6.0,19.9,4.0,6.0,448.8,4.0,6.0,76.2,3.0,6.0,214.7,3.0,6.0,1284.0,3.0,5.0,1536.0
5.0,2.0,93.6,5.0,1.0,732.0,5.0,1.0,214.5,5.0,1.0,244.6,4.0,1.0,535.8,4.0,1.0,500.0
5.0,3.0,74.5,5.0,3.0,1352.0,5.0,2.0,340.5,5.0,2.0,401.8,4.0,2.0,801.4,4.0,2.0,858.5
5.0,4.0,94.9,5.0,4.0,1008.0,5.0,4.0,247.6,5.0,3.0,541.6,4.0,3.0,1173.0,4.0,3.0,806.8
5.0,6.0,105.5,5.0,6.0,1458.0,5.0,6.0,289.5,5.0,6.0,274.8,4.0,6.0,710.0,4.0,5.0,1089.0
6.0,2.0,73.1,6.0,1.0,522.4,6.0,1.0,136.2,6.0,1.0,189.9,6.0,1.0,1156.0,5.0,1.0,1574.0
6.0,3.0,52.4,6.0,3.0,1167.0,6.0,2.0,404.3,6.0,2.0,354.4,6.0,2.0,1674.0,5.0,2.0,2205.0
6.0,4.0,61.5,6.0,4.0,735.0,6.0,4.0,184.7,6.0,3.0,401.8,6.0,3.0,1491.0,5.0,3.0,2005.0
6.0,5.0,143.0,6.0,5.0,1674.0,6.0,5.0,423.6,6.0,5.0,372.3,6.0,4.0,991.6,5.0,4.0,1425.0
