1,戸敷 晃美,戸敷 晃美.1,2,池永 太,池永 太.1,3,関 裕也,関 裕也.1,4,大庭 元明,大庭 元明.1,5,岡村 慶太,岡村 慶太.1,6,倉尾 大介,倉尾 大介.1
2.0,3.0,15.1,1.0,3.0,17.6,1.0,2.0,137.7,1.0,2.0,282.0,1.0,2.0,58.8,1.0,2.0,2005.0
2.0,4.0,25.6,1.0,4.0,30.6,1.0,4.0,279.7,1.0,3.0,636.7,1.0,3.0,111.6,1.0,3.0,3183.0
2.0,5.0,10.4,1.0,5.0,11.2,1.0,5.0,151.7,1.0,5.0,337.6,1.0,4.0,202.3,1.0,4.0,3342.0
2.0,6.0,83.7,1.0,6.0,108.0,1.0,6.0,557.1,1.0,6.0,661.9,1.0,6.0,167.7,1.0,5.0,1892.0
3.0,2.0,37.8,3.0,1.0,29.7,2.0,1.0,115.2,2.0,1.0,234.5,2.0,1.0,49.2,2.0,1.0,1840.0
3.0,4.0,86.0,3.0,4.0,32.7,2.0,4.0,99.4,2.0,3.0,243.4,2.0,3.0,47.9,2.0,3.0,1892.0
3.0,5.0,52.5,3.0,5.0,12.9,2.0,5.0,51.3,2.0,5.0,123.1,2.0,4.0,68.5,2.0,4.0,2005.0
3.0,6.0,274.0,3.0,6.0,100.9,2.0,6.0,210.2,2.0,6.0,407.6,2.0,6.0,80.0,2.0,5.0,822.0
4.0,2.0,81.2,4.0,1.0,72.2,4.0,1.0,438.8,3.0,1.0,849.8,3.0,1.0,182.0,3.0,1.0,3038.0
4.0,3.0,149.7,4.0,3.0,50.9,4.0,2.0,218.2,3.0,2.0,348.2,3.0,2.0,86.8,3.0,2.0,1947.0
4.0,5.0,109.5,4.0,5.0,32.1,4.0,5.0,207.2,3.0,5.0,414.4,3.0,4.0,217.0,3.0,4.0,3235.0
4.0,6.0,402.7,4.0,6.0,143.0,4.0,6.0,540.6,3.0,6.0,1096.0,3.0,6.0,289.0,3.0,5.0,1657.0
5.0,2.0,22.1,5.0,1.0,17.5,5.0,1.0,187.9,5.0,1.0,267.0,4.0,1.0,303.4,4.0,1.0,3932.0
5.0,3.0,56.8,5.0,3.0,13.9,5.0,2.0,85.0,5.0,2.0,133.5,4.0,2.0,127.5,4.0,2.0,1823.0
5.0,4.0,93.5,5.0,4.0,24.3,5.0,4.0,188.1,5.0,3.0,348.2,4.0,3.0,290.2,4.0,3.0,3038.0
5.0,6.0,162.2,5.0,6.0,45.0,5.0,6.0,291.5,5.0,6.0,376.3,4.0,6.0,327.1,4.0,5.0,2710.0
6.0,2.0,539.1,6.0,1.0,397.9,6.0,1.0,1337.0,6.0,1.0,1617.0,6.0,1.0,429.4,5.0,1.0,1617.0
6.0,3.0,812.0,6.0,3.0,378.4,6.0,2.0,964.2,6.0,2.0,1044.0,6.0,2.0,250.4,5.0,2.0,812.0
6.0,4.0,786.5,6.0,4.0,414.4,6.0,4.0,1186.0,6.0,3.0,2046.0,6.0,3.0,482.1,5.0,3.0,1630.0
6.0,5.0,602.3,6.0,5.0,206.3,6.0,5.0,822.0,6.0,5.0,1108.0,6.0,4.0,604.1,5.0,4.0,2305.0
