1,松本 博昭,松本 博昭.1,2,山本　稔太朗,山本　稔太朗.1,3,富山 弘幸,富山 弘幸.1,4,松崎　祐太郎,松崎　祐太郎.1,5,山口 隆史,山口 隆史.1,6,田中 駿兵,田中 駿兵.1
2.0,3.0,12.2,1.0,3.0,55.0,1.0,2.0,108.4,1.0,2.0,28.7,1.0,2.0,535.7,1.0,2.0,643.0
2.0,4.0,7.3,1.0,4.0,32.5,1.0,4.0,54.7,1.0,3.0,32.7,1.0,3.0,610.3,1.0,3.0,687.8
2.0,5.0,40.9,1.0,5.0,148.4,1.0,5.0,164.2,1.0,5.0,42.6,1.0,4.0,344.9,1.0,4.0,502.4
2.0,6.0,59.6,1.0,6.0,213.0,1.0,6.0,202.7,1.0,6.0,62.9,1.0,6.0,552.7,1.0,5.0,1097.0
3.0,2.0,15.3,3.0,1.0,171.1,2.0,1.0,242.9,2.0,1.0,63.2,2.0,1.0,931.9,2.0,1.0,1030.0
3.0,4.0,9.3,3.0,4.0,141.6,2.0,4.0,237.7,2.0,3.0,116.0,2.0,3.0,1496.0,2.0,3.0,1609.0
3.0,5.0,36.7,3.0,5.0,550.0,2.0,5.0,581.9,2.0,5.0,148.2,2.0,4.0,888.1,2.0,4.0,1277.0
3.0,6.0,44.5,3.0,6.0,622.4,2.0,6.0,710.7,2.0,6.0,234.5,2.0,6.0,1257.0,2.0,5.0,2329.0
4.0,2.0,7.8,4.0,1.0,78.8,4.0,1.0,89.6,3.0,1.0,83.7,3.0,1.0,1426.0,3.0,1.0,1255.0
4.0,3.0,8.5,4.0,3.0,131.5,4.0,2.0,199.7,3.0,2.0,152.8,3.0,2.0,1981.0,3.0,2.0,1788.0
4.0,5.0,20.7,4.0,5.0,169.0,4.0,5.0,222.8,3.0,5.0,203.0,3.0,4.0,1239.0,3.0,4.0,1196.0
4.0,6.0,29.4,4.0,6.0,302.2,4.0,6.0,272.9,3.0,6.0,247.8,3.0,6.0,1963.0,3.0,5.0,2313.0
5.0,2.0,100.6,5.0,1.0,521.4,5.0,1.0,558.8,5.0,1.0,80.6,4.0,1.0,350.2,4.0,1.0,624.2
5.0,3.0,112.0,5.0,3.0,882.2,5.0,2.0,974.4,5.0,2.0,142.0,4.0,2.0,564.0,4.0,2.0,1091.0
5.0,4.0,75.1,5.0,4.0,569.4,5.0,4.0,563.1,5.0,3.0,176.5,4.0,3.0,684.2,4.0,3.0,1010.0
5.0,6.0,149.3,5.0,6.0,1164.0,5.0,6.0,912.6,5.0,6.0,122.3,4.0,6.0,450.4,4.0,5.0,961.7
6.0,2.0,158.3,6.0,1.0,858.1,6.0,1.0,689.9,6.0,1.0,167.5,6.0,1.0,1171.0,5.0,1.0,1890.0
6.0,3.0,147.2,6.0,3.0,1358.0,6.0,2.0,1203.0,6.0,2.0,293.9,6.0,2.0,1827.0,5.0,2.0,2371.0
6.0,4.0,110.0,6.0,4.0,967.3,6.0,4.0,724.7,6.0,3.0,333.6,6.0,3.0,1929.0,5.0,3.0,2734.0
6.0,5.0,220.5,6.0,5.0,1467.0,6.0,5.0,1062.0,6.0,5.0,220.4,6.0,4.0,946.5,5.0,4.0,1390.0
