1,中島 浩哉,中島 浩哉.1,2,角浜 修,角浜 修.1,3,横田 茂,横田 茂.1,4,村越 篤,村越 篤.1,5,花田 凱成,花田 凱成.1,6,小畑 実成,小畑 実成.1
2.0,3.0,9.8,1.0,3.0,31.0,1.0,2.0,32.7,1.0,2.0,48.2,1.0,2.0,994.8,1.0,2.0,903.7
2.0,4.0,11.8,1.0,4.0,31.9,1.0,4.0,19.3,1.0,3.0,32.8,1.0,3.0,1003.0,1.0,3.0,954.7
2.0,5.0,69.9,1.0,5.0,242.1,1.0,5.0,148.5,1.0,5.0,168.6,1.0,4.0,876.9,1.0,4.0,876.9
2.0,6.0,49.2,1.0,6.0,93.3,1.0,6.0,59.9,1.0,6.0,65.1,1.0,6.0,1183.0,1.0,5.0,2152.0
3.0,2.0,11.2,3.0,1.0,68.8,2.0,1.0,63.2,2.0,1.0,96.3,2.0,1.0,1426.0,2.0,1.0,1409.0
3.0,4.0,8.6,3.0,4.0,77.2,2.0,4.0,63.7,2.0,3.0,93.7,2.0,3.0,2416.0,2.0,3.0,1029.0
3.0,5.0,52.0,3.0,5.0,512.5,2.0,5.0,350.2,2.0,5.0,394.6,2.0,4.0,2114.0,2.0,4.0,1029.0
3.0,6.0,32.2,3.0,6.0,182.1,2.0,6.0,131.6,2.0,6.0,141.2,2.0,6.0,1849.0,2.0,5.0,2573.0
4.0,2.0,14.1,4.0,1.0,71.0,4.0,1.0,31.9,3.0,1.0,41.7,3.0,1.0,1300.0,3.0,1.0,1011.0
4.0,3.0,12.0,4.0,3.0,83.6,4.0,2.0,49.5,3.0,2.0,66.0,3.0,2.0,2233.0,3.0,2.0,1011.0
4.0,5.0,81.7,4.0,5.0,528.5,4.0,5.0,209.1,3.0,5.0,257.9,3.0,4.0,1599.0,3.0,4.0,657.7
4.0,6.0,33.4,4.0,6.0,166.5,4.0,6.0,64.4,3.0,6.0,81.9,3.0,6.0,1909.0,3.0,5.0,3382.0
5.0,2.0,238.6,5.0,1.0,822.1,5.0,1.0,440.1,5.0,1.0,357.6,4.0,1.0,954.7,4.0,1.0,704.6
5.0,3.0,217.6,5.0,3.0,1426.0,5.0,2.0,789.2,5.0,2.0,548.0,4.0,2.0,1715.0,4.0,2.0,784.0
5.0,4.0,237.7,5.0,4.0,1138.0,5.0,4.0,540.5,5.0,3.0,505.9,4.0,3.0,1691.0,4.0,3.0,580.3
5.0,6.0,345.1,5.0,6.0,1517.0,5.0,6.0,721.8,5.0,6.0,371.1,4.0,6.0,1220.0,4.0,5.0,1621.0
6.0,2.0,161.5,6.0,1.0,373.4,6.0,1.0,210.6,6.0,1.0,118.9,6.0,1.0,970.4,5.0,1.0,3035.0
6.0,3.0,130.6,6.0,3.0,389.4,6.0,2.0,248.1,6.0,2.0,173.3,6.0,2.0,1621.0,5.0,2.0,4735.0
6.0,4.0,116.9,6.0,4.0,401.3,6.0,4.0,180.1,6.0,3.0,168.4,6.0,3.0,1715.0,5.0,3.0,4228.0
6.0,5.0,450.1,6.0,5.0,1315.0,6.0,5.0,676.5,6.0,5.0,331.6,6.0,4.0,1345.0,5.0,4.0,2690.0
