1,前田 将太,前田 将太.1,2,池永 太,池永 太.1,3,溝口　海義也,溝口　海義也.1,4,篠原 飛翔,篠原 飛翔.1,5,小川 広大,小川 広大.1,6,古賀 智之,古賀 智之.1
2.0,3.0,3.3,1.0,3.0,20.2,1.0,2.0,50.0,1.0,2.0,183.6,1.0,2.0,652.9,1.0,2.0,1137.0
2.0,4.0,7.0,1.0,4.0,37.1,1.0,4.0,83.1,1.0,3.0,236.2,1.0,3.0,692.4,1.0,3.0,1763.0
2.0,5.0,15.2,1.0,5.0,87.4,1.0,5.0,144.4,1.0,5.0,317.6,1.0,4.0,886.6,1.0,4.0,1909.0
2.0,6.0,24.8,1.0,6.0,113.2,1.0,6.0,202.3,1.0,6.0,387.1,1.0,6.0,1071.0,1.0,5.0,2696.0
3.0,2.0,5.9,3.0,1.0,70.6,2.0,1.0,85.0,2.0,1.0,352.3,2.0,1.0,1025.0,2.0,1.0,1564.0
3.0,4.0,10.8,3.0,4.0,203.3,2.0,4.0,224.5,2.0,3.0,592.2,2.0,3.0,1811.0,2.0,3.0,3076.0
3.0,5.0,22.6,3.0,5.0,390.4,2.0,5.0,381.9,2.0,5.0,969.1,2.0,4.0,2560.0,2.0,4.0,3638.0
3.0,6.0,38.3,3.0,6.0,476.9,2.0,6.0,524.4,2.0,6.0,1123.0,2.0,6.0,2269.0,2.0,5.0,3852.0
4.0,2.0,19.1,4.0,1.0,234.5,4.0,1.0,234.5,3.0,1.0,478.9,3.0,1.0,1030.0,3.0,1.0,2532.0
4.0,3.0,23.4,4.0,3.0,382.6,4.0,2.0,323.9,3.0,2.0,699.8,3.0,2.0,1819.0,3.0,2.0,3499.0
4.0,5.0,53.1,4.0,5.0,725.3,4.0,5.0,542.4,3.0,5.0,1181.0,3.0,4.0,2399.0,3.0,4.0,3609.0
4.0,6.0,68.6,4.0,6.0,795.8,4.0,6.0,660.5,3.0,6.0,1498.0,3.0,6.0,2619.0,3.0,5.0,3852.0
5.0,2.0,70.2,5.0,1.0,547.6,5.0,1.0,516.2,5.0,1.0,583.9,4.0,1.0,1140.0,4.0,1.0,3035.0
5.0,3.0,92.2,5.0,3.0,1039.0,5.0,2.0,750.2,5.0,2.0,1076.0,4.0,2.0,2362.0,4.0,2.0,3228.0
5.0,4.0,143.3,5.0,4.0,1517.0,5.0,4.0,918.6,5.0,3.0,1660.0,4.0,3.0,2604.0,4.0,3.0,4450.0
5.0,6.0,188.8,5.0,6.0,1044.0,5.0,6.0,1005.0,5.0,6.0,900.5,4.0,6.0,2399.0,4.0,5.0,3852.0
6.0,2.0,139.3,6.0,1.0,794.4,6.0,1.0,858.4,6.0,1.0,1063.0,6.0,1.0,2778.0,5.0,1.0,3161.0
6.0,3.0,182.9,6.0,3.0,1660.0,6.0,2.0,1129.0,6.0,2.0,1993.0,6.0,2.0,3726.0,5.0,2.0,4677.0
6.0,4.0,235.3,6.0,4.0,1763.0,6.0,4.0,1372.0,6.0,3.0,2589.0,6.0,3.0,3852.0,5.0,3.0,4774.0
6.0,5.0,321.9,6.0,5.0,1543.0,6.0,5.0,1464.0,6.0,5.0,1654.0,6.0,4.0,4020.0,5.0,4.0,4205.0
