1,片橋 幸貴,片橋 幸貴.1,2,堀之内紀代子,堀之内紀代子.1,3,魚谷 香織,魚谷 香織.1,4,中村 将隆,中村 将隆.1,5,豊田 泰洋,豊田 泰洋.1,6,峰重 力也,峰重 力也.1
2.0,3.0,7.9,1.0,3.0,48.1,1.0,2.0,48.9,1.0,2.0,85.5,1.0,2.0,435.3,1.0,2.0,578.2
2.0,4.0,10.3,1.0,4.0,60.8,1.0,4.0,61.0,1.0,3.0,90.3,1.0,3.0,466.3,1.0,3.0,495.0
2.0,5.0,31.8,1.0,5.0,149.2,1.0,5.0,117.1,1.0,5.0,111.3,1.0,4.0,457.7,1.0,4.0,610.6
2.0,6.0,28.5,1.0,6.0,152.3,1.0,6.0,107.4,1.0,6.0,99.0,1.0,6.0,398.3,1.0,5.0,813.3
3.0,2.0,8.1,3.0,1.0,91.1,2.0,1.0,97.1,2.0,1.0,150.6,2.0,1.0,716.3,2.0,1.0,904.8
3.0,4.0,8.5,3.0,4.0,161.3,2.0,4.0,207.2,2.0,3.0,267.0,2.0,3.0,1007.0,2.0,3.0,1127.0
3.0,5.0,22.8,3.0,5.0,227.7,2.0,5.0,281.1,2.0,5.0,416.6,2.0,4.0,1121.0,2.0,4.0,1291.0
3.0,6.0,18.4,3.0,6.0,254.4,2.0,6.0,277.8,2.0,6.0,401.3,2.0,6.0,936.7,2.0,5.0,1566.0
4.0,2.0,13.6,4.0,1.0,159.0,4.0,1.0,165.7,3.0,1.0,202.9,3.0,1.0,698.6,3.0,1.0,814.9
4.0,3.0,13.3,4.0,3.0,213.2,4.0,2.0,229.7,3.0,2.0,319.7,3.0,2.0,1060.0,3.0,2.0,1299.0
4.0,5.0,26.8,4.0,5.0,482.6,4.0,5.0,341.2,3.0,5.0,476.7,3.0,4.0,1397.0,3.0,4.0,1527.0
4.0,6.0,22.9,4.0,6.0,455.3,4.0,6.0,306.6,3.0,6.0,451.9,3.0,6.0,1180.0,3.0,5.0,2208.0
5.0,2.0,64.0,5.0,1.0,473.5,5.0,1.0,319.0,5.0,1.0,161.1,4.0,1.0,506.1,4.0,1.0,777.7
5.0,3.0,59.4,5.0,3.0,510.4,5.0,2.0,454.3,5.0,2.0,307.7,4.0,2.0,789.2,4.0,2.0,1235.0
5.0,4.0,58.1,5.0,4.0,773.5,5.0,4.0,478.3,5.0,3.0,431.3,4.0,3.0,1017.0,4.0,3.0,1361.0
5.0,6.0,70.5,5.0,6.0,669.0,5.0,6.0,451.4,5.0,6.0,206.5,4.0,6.0,534.0,4.0,5.0,1246.0
6.0,2.0,68.9,6.0,1.0,545.0,6.0,1.0,360.8,6.0,1.0,196.7,6.0,1.0,722.3,5.0,1.0,1124.0
6.0,3.0,70.4,6.0,3.0,634.2,6.0,2.0,531.4,6.0,2.0,369.0,6.0,2.0,1042.0,5.0,2.0,1639.0
6.0,4.0,70.1,6.0,4.0,849.0,6.0,4.0,553.5,6.0,3.0,476.7,6.0,3.0,1253.0,5.0,3.0,2000.0
6.0,5.0,110.9,6.0,5.0,962.0,6.0,5.0,712.7,6.0,5.0,305.3,6.0,4.0,924.5,5.0,4.0,1214.0
