1,松尾 夏海,松尾 夏海.1,2,福島 陽子,福島 陽子.1,3,魚谷 香織,魚谷 香織.1,4,池田 紫乃,池田 紫乃.1,5,藤田 美代,藤田 美代.1,6,松瀬 弘美,松瀬 弘美.1
2.0,3.0,18.1,1.0,3.0,158.6,1.0,2.0,19.6,1.0,2.0,179.7,1.0,2.0,966.4,1.0,2.0,1427.0
2.0,4.0,43.3,1.0,4.0,326.6,1.0,4.0,9.5,1.0,3.0,70.1,1.0,3.0,329.7,1.0,3.0,578.6
2.0,5.0,89.6,1.0,5.0,551.1,1.0,5.0,24.6,1.0,5.0,172.3,1.0,4.0,729.5,1.0,4.0,1438.0
2.0,6.0,109.7,1.0,6.0,650.3,1.0,6.0,26.1,1.0,6.0,187.3,1.0,6.0,849.8,1.0,5.0,2182.0
3.0,2.0,7.3,3.0,1.0,226.0,2.0,1.0,83.3,2.0,1.0,455.9,2.0,1.0,1919.0,2.0,1.0,1899.0
3.0,4.0,4.8,3.0,4.0,447.1,2.0,4.0,133.5,2.0,3.0,435.2,2.0,3.0,1801.0,2.0,3.0,2182.0
3.0,5.0,15.4,3.0,5.0,853.7,2.0,5.0,247.2,2.0,5.0,828.3,2.0,4.0,2389.0,2.0,4.0,3144.0
3.0,6.0,14.2,3.0,6.0,860.3,2.0,6.0,260.2,2.0,6.0,878.0,2.0,6.0,2728.0,2.0,5.0,3353.0
4.0,2.0,43.1,4.0,1.0,589.0,4.0,1.0,17.4,3.0,1.0,66.9,3.0,1.0,459.6,3.0,1.0,613.7
4.0,3.0,17.3,4.0,3.0,588.4,4.0,2.0,50.6,3.0,2.0,180.3,3.0,2.0,1438.0,3.0,2.0,1728.0
4.0,5.0,63.1,4.0,5.0,1354.0,4.0,5.0,34.3,3.0,5.0,136.5,3.0,4.0,674.7,3.0,4.0,861.7
4.0,6.0,72.0,4.0,6.0,1291.0,4.0,6.0,37.3,3.0,6.0,137.7,3.0,6.0,1242.0,3.0,5.0,1874.0
5.0,2.0,187.9,5.0,1.0,1613.0,5.0,1.0,92.2,5.0,1.0,350.7,4.0,1.0,1060.0,4.0,1.0,1939.0
5.0,3.0,86.9,5.0,3.0,1427.0,5.0,2.0,245.5,5.0,2.0,758.3,4.0,2.0,2016.0,4.0,2.0,2976.0
5.0,4.0,161.4,5.0,4.0,1988.0,5.0,4.0,99.5,5.0,3.0,329.7,4.0,3.0,827.1,4.0,3.0,1113.0
5.0,6.0,258.5,5.0,6.0,2601.0,5.0,6.0,155.3,5.0,6.0,507.8,4.0,6.0,1642.0,4.0,5.0,2783.0
6.0,2.0,266.7,6.0,1.0,1472.0,6.0,1.0,117.5,6.0,1.0,449.6,6.0,1.0,2165.0,5.0,1.0,2992.0
6.0,3.0,92.3,6.0,3.0,1651.0,6.0,2.0,324.9,6.0,2.0,956.4,6.0,2.0,3457.0,5.0,2.0,3686.0
6.0,4.0,199.2,6.0,4.0,2191.0,6.0,4.0,139.5,6.0,3.0,409.9,6.0,3.0,1807.0,5.0,3.0,2191.0
6.0,5.0,398.4,6.0,5.0,2825.0,6.0,5.0,245.6,6.0,5.0,735.3,6.0,4.0,2309.0,5.0,4.0,3025.0
