1,佐藤　隆太郎,佐藤　隆太郎.1,2,本橋 克洋,本橋 克洋.1,3,坂東 満,坂東 満.1,4,田中 堅,田中 堅.1,5,川尻 泰輔,川尻 泰輔.1,6,藤森 拓海,藤森 拓海.1
2.0,3.0,6.0,1.0,3.0,105.7,1.0,2.0,212.9,1.0,2.0,103.4,1.0,2.0,194.9,1.0,2.0,989.9
2.0,4.0,4.6,1.0,4.0,73.6,1.0,4.0,194.2,1.0,3.0,264.4,1.0,3.0,350.8,1.0,3.0,2105.0
2.0,5.0,6.3,1.0,5.0,107.7,1.0,5.0,214.3,1.0,5.0,189.4,1.0,4.0,359.1,1.0,4.0,1568.0
2.0,6.0,80.4,1.0,6.0,411.6,1.0,6.0,803.4,1.0,6.0,492.0,1.0,6.0,1079.0,1.0,5.0,2639.0
3.0,2.0,12.9,3.0,1.0,309.1,2.0,1.0,324.8,2.0,1.0,182.9,2.0,1.0,365.5,2.0,1.0,1241.0
3.0,4.0,16.4,3.0,4.0,539.9,2.0,4.0,510.1,2.0,3.0,563.7,2.0,3.0,1154.0,2.0,3.0,2682.0
3.0,5.0,16.9,3.0,5.0,554.3,2.0,5.0,681.5,2.0,5.0,400.7,2.0,4.0,1007.0,2.0,4.0,1289.0
3.0,6.0,125.2,3.0,6.0,1213.0,2.0,6.0,1458.0,2.0,6.0,795.7,2.0,6.0,1979.0,2.0,5.0,2159.0
4.0,2.0,9.1,4.0,1.0,144.8,4.0,1.0,377.1,3.0,1.0,503.9,3.0,1.0,713.7,3.0,1.0,2639.0
4.0,3.0,19.2,4.0,3.0,548.8,4.0,2.0,780.7,3.0,2.0,625.2,3.0,2.0,1259.0,3.0,2.0,4056.0
4.0,5.0,15.1,4.0,5.0,413.7,4.0,5.0,848.5,3.0,5.0,913.7,3.0,4.0,1458.0,3.0,4.0,3023.0
4.0,6.0,84.2,4.0,6.0,732.6,4.0,6.0,1827.0,3.0,6.0,2342.0,3.0,6.0,2639.0,3.0,5.0,3779.0
5.0,2.0,16.2,5.0,1.0,267.3,5.0,1.0,569.5,5.0,1.0,295.3,4.0,1.0,554.3,4.0,1.0,2053.0
5.0,3.0,26.5,5.0,3.0,647.1,5.0,2.0,1001.0,5.0,2.0,429.7,4.0,2.0,799.5,4.0,2.0,1421.0
5.0,4.0,24.9,5.0,4.0,567.6,5.0,4.0,1101.0,5.0,3.0,723.0,4.0,3.0,1397.0,4.0,3.0,2867.0
5.0,6.0,157.7,5.0,6.0,1341.0,5.0,6.0,1911.0,5.0,6.0,1116.0,4.0,6.0,2247.0,4.0,5.0,3023.0
6.0,2.0,272.6,6.0,1.0,1162.0,6.0,1.0,2445.0,6.0,1.0,1663.0,6.0,1.0,2159.0,5.0,1.0,3326.0
6.0,3.0,405.6,6.0,3.0,2188.0,6.0,2.0,3464.0,6.0,2.0,1231.0,6.0,2.0,2445.0,5.0,2.0,2445.0
6.0,4.0,286.7,6.0,4.0,961.3,6.0,4.0,2519.0,6.0,3.0,2482.0,6.0,3.0,3079.0,5.0,3.0,3615.0
6.0,5.0,355.3,6.0,5.0,1458.0,6.0,5.0,3137.0,6.0,5.0,2342.0,6.0,4.0,2682.0,5.0,4.0,3198.0
