1,中 亮太,中 亮太.1,2,島崎　丈一朗,島崎　丈一朗.1,3,泥谷 一毅,泥谷 一毅.1,4,野見山　拓己,野見山　拓己.1,5,竹間 隆晟,竹間 隆晟.1,6,末永 由楽,末永 由楽.1
2.0,3.0,70.8,1.0,3.0,454.3,1.0,2.0,61.4,1.0,2.0,909.7,1.0,2.0,76.3,1.0,2.0,320.7
2.0,4.0,124.5,1.0,4.0,588.3,1.0,4.0,76.9,1.0,3.0,697.1,1.0,3.0,21.8,1.0,3.0,119.4
2.0,5.0,55.4,1.0,5.0,403.6,1.0,5.0,19.5,1.0,5.0,567.7,1.0,4.0,101.3,1.0,4.0,431.2
2.0,6.0,84.3,1.0,6.0,594.8,1.0,6.0,28.3,1.0,6.0,734.2,1.0,6.0,20.2,1.0,5.0,104.1
3.0,2.0,54.8,3.0,1.0,561.7,2.0,1.0,111.0,2.0,1.0,1147.0,2.0,1.0,208.4,2.0,1.0,672.0
3.0,4.0,65.6,3.0,4.0,1281.0,2.0,4.0,214.4,2.0,3.0,1952.0,2.0,3.0,212.7,2.0,3.0,673.2
3.0,5.0,12.0,3.0,5.0,593.9,2.0,5.0,116.5,2.0,5.0,1547.0,2.0,4.0,531.3,2.0,4.0,1304.0
3.0,6.0,20.4,3.0,6.0,838.1,2.0,6.0,149.1,2.0,6.0,1703.0,2.0,6.0,220.5,2.0,5.0,670.8
4.0,2.0,154.7,4.0,1.0,1106.0,4.0,1.0,172.8,3.0,1.0,877.6,3.0,1.0,27.9,3.0,1.0,121.4
4.0,3.0,127.4,4.0,3.0,1614.0,4.0,2.0,299.5,3.0,2.0,1726.0,3.0,2.0,93.8,3.0,2.0,396.3
4.0,5.0,80.1,4.0,5.0,1295.0,4.0,5.0,190.6,3.0,5.0,793.5,3.0,4.0,136.8,3.0,4.0,459.3
4.0,6.0,119.0,4.0,6.0,1846.0,4.0,6.0,229.8,3.0,6.0,861.4,3.0,6.0,28.2,3.0,5.0,95.4
5.0,2.0,35.4,5.0,1.0,499.9,5.0,1.0,23.4,5.0,1.0,613.4,4.0,1.0,308.2,4.0,1.0,997.3
5.0,3.0,11.5,5.0,3.0,613.4,5.0,2.0,70.9,5.0,2.0,1211.0,4.0,2.0,610.4,4.0,2.0,1621.0
5.0,4.0,41.2,5.0,4.0,1308.0,5.0,4.0,108.0,5.0,3.0,764.3,4.0,3.0,264.3,4.0,3.0,961.3
5.0,6.0,12.1,5.0,6.0,735.6,5.0,6.0,25.7,5.0,6.0,701.1,4.0,6.0,254.7,4.0,5.0,973.8
6.0,2.0,101.1,6.0,1.0,888.0,6.0,1.0,47.6,6.0,1.0,1044.0,6.0,1.0,28.9,5.0,1.0,93.8
6.0,3.0,35.0,6.0,3.0,1140.0,6.0,2.0,134.1,6.0,2.0,1776.0,6.0,2.0,106.2,5.0,2.0,300.0
6.0,4.0,113.8,6.0,4.0,1932.0,6.0,4.0,185.7,6.0,3.0,1103.0,6.0,3.0,29.7,5.0,3.0,85.9
6.0,5.0,28.4,6.0,5.0,932.4,6.0,5.0,41.6,6.0,5.0,951.5,6.0,4.0,149.1,5.0,4.0,408.9
