1,山田 丈,山田 丈.1,2,大江 純,大江 純.1,3,川原 涼,川原 涼.1,4,小宮 涼雅,小宮 涼雅.1,5,生方 靖亜,生方 靖亜.1,6,大森 翼,大森 翼.1
2.0,3.0,8.0,1.0,3.0,77.0,1.0,2.0,61.9,1.0,2.0,160.7,1.0,2.0,215.7,1.0,2.0,181.6
2.0,4.0,27.0,1.0,4.0,236.4,1.0,4.0,109.7,1.0,3.0,205.7,1.0,3.0,170.5,1.0,3.0,171.6
2.0,5.0,14.5,1.0,5.0,159.0,1.0,5.0,48.7,1.0,5.0,122.5,1.0,4.0,294.1,1.0,4.0,304.8
2.0,6.0,19.5,1.0,6.0,199.1,1.0,6.0,62.2,1.0,6.0,107.8,1.0,6.0,170.6,1.0,5.0,260.5
3.0,2.0,7.3,3.0,1.0,189.5,2.0,1.0,176.4,2.0,1.0,397.7,2.0,1.0,516.3,2.0,1.0,388.2
3.0,4.0,22.1,3.0,4.0,657.0,2.0,4.0,612.0,2.0,3.0,745.5,2.0,3.0,972.6,2.0,3.0,592.6
3.0,5.0,7.4,3.0,5.0,420.2,2.0,5.0,272.4,2.0,5.0,602.6,2.0,4.0,1423.0,2.0,4.0,1002.0
3.0,6.0,11.4,3.0,6.0,462.2,2.0,6.0,361.4,2.0,6.0,581.2,2.0,6.0,924.5,2.0,5.0,992.2
4.0,2.0,40.9,4.0,1.0,574.4,4.0,1.0,320.7,3.0,1.0,437.5,3.0,1.0,318.1,3.0,1.0,309.6
4.0,3.0,45.4,4.0,3.0,1002.0,4.0,2.0,696.6,3.0,2.0,999.8,3.0,2.0,827.2,3.0,2.0,658.1
4.0,5.0,48.4,4.0,5.0,1015.0,4.0,5.0,503.1,3.0,5.0,782.7,3.0,4.0,1209.0,3.0,4.0,1004.0
4.0,6.0,38.5,4.0,6.0,922.3,4.0,6.0,484.5,3.0,6.0,707.9,3.0,6.0,596.2,3.0,5.0,901.2
5.0,2.0,27.8,5.0,1.0,471.7,5.0,1.0,166.3,5.0,1.0,145.6,4.0,1.0,390.9,4.0,1.0,461.7
5.0,3.0,19.8,5.0,3.0,734.4,5.0,2.0,382.6,5.0,2.0,307.9,4.0,2.0,773.4,4.0,2.0,895.0
5.0,4.0,64.5,5.0,4.0,1449.0,5.0,4.0,540.4,5.0,3.0,460.1,4.0,3.0,1106.0,4.0,3.0,1255.0
5.0,6.0,29.4,5.0,6.0,942.2,5.0,6.0,270.6,5.0,6.0,152.9,4.0,6.0,371.0,4.0,5.0,595.3
6.0,2.0,43.3,6.0,1.0,505.0,6.0,1.0,195.0,6.0,1.0,193.9,6.0,1.0,312.0,5.0,1.0,462.8
6.0,3.0,30.3,6.0,3.0,813.5,6.0,2.0,478.6,6.0,2.0,448.5,6.0,2.0,693.0,5.0,2.0,967.8
6.0,4.0,68.4,6.0,4.0,1073.0,6.0,4.0,568.6,6.0,3.0,505.7,6.0,3.0,678.6,5.0,3.0,1047.0
6.0,5.0,49.1,6.0,5.0,1148.0,6.0,5.0,400.9,6.0,5.0,232.7,6.0,4.0,522.5,5.0,4.0,662.6
