1,高木 圭大,高木 圭大.1,2,山崎 善庸,山崎 善庸.1,3,山口 修路,山口 修路.1,4,浮田 圭浩,浮田 圭浩.1,5,熊本 英一,熊本 英一.1,6,堂原 洋史,堂原 洋史.1
2.0,3.0,12.8,1.0,3.0,37.8,1.0,2.0,31.7,1.0,2.0,73.5,1.0,2.0,388.6,1.0,2.0,246.1
2.0,4.0,21.1,1.0,4.0,53.8,1.0,4.0,21.5,1.0,3.0,43.2,1.0,3.0,272.5,1.0,3.0,207.6
2.0,5.0,54.1,1.0,5.0,99.9,1.0,5.0,43.7,1.0,5.0,93.3,1.0,4.0,277.3,1.0,4.0,223.6
2.0,6.0,58.9,1.0,6.0,125.3,1.0,6.0,52.7,1.0,6.0,106.4,1.0,6.0,346.1,1.0,5.0,262.4
3.0,2.0,12.9,3.0,1.0,67.6,2.0,1.0,64.6,2.0,1.0,117.1,2.0,1.0,540.9,2.0,1.0,401.8
3.0,4.0,11.4,3.0,4.0,75.1,2.0,4.0,60.0,2.0,3.0,76.8,2.0,3.0,412.3,2.0,3.0,428.4
3.0,5.0,27.8,3.0,5.0,126.0,2.0,5.0,111.4,2.0,5.0,145.0,2.0,4.0,528.8,2.0,4.0,460.3
3.0,6.0,35.6,3.0,6.0,198.1,2.0,6.0,137.7,2.0,6.0,199.2,2.0,6.0,534.8,2.0,5.0,508.0
4.0,2.0,27.6,4.0,1.0,116.0,4.0,1.0,38.8,3.0,1.0,60.5,3.0,1.0,314.0,3.0,1.0,336.3
4.0,3.0,21.2,4.0,3.0,95.2,4.0,2.0,48.3,3.0,2.0,65.9,3.0,2.0,453.0,3.0,2.0,437.7
4.0,5.0,49.4,4.0,5.0,199.8,4.0,5.0,54.8,3.0,5.0,67.7,3.0,4.0,314.0,3.0,4.0,357.4
4.0,6.0,60.0,4.0,6.0,232.4,4.0,6.0,74.2,3.0,6.0,109.3,3.0,6.0,482.2,3.0,5.0,469.5
5.0,2.0,103.0,5.0,1.0,303.9,5.0,1.0,128.1,5.0,1.0,147.2,4.0,1.0,361.0,4.0,1.0,296.3
5.0,3.0,80.5,5.0,3.0,221.2,5.0,2.0,161.8,5.0,2.0,170.3,4.0,2.0,461.8,4.0,2.0,461.8
5.0,4.0,115.0,5.0,4.0,333.1,5.0,4.0,117.3,5.0,3.0,115.8,4.0,3.0,380.3,4.0,3.0,374.3
5.0,6.0,158.0,5.0,6.0,368.5,5.0,6.0,173.0,5.0,6.0,169.7,4.0,6.0,428.4,4.0,5.0,474.2
6.0,2.0,113.5,6.0,1.0,339.5,6.0,1.0,146.0,6.0,1.0,167.3,6.0,1.0,445.9,5.0,1.0,403.0
6.0,3.0,91.1,6.0,3.0,354.7,6.0,2.0,208.5,6.0,2.0,237.1,6.0,2.0,547.1,5.0,2.0,524.9
6.0,4.0,124.6,6.0,4.0,363.8,6.0,4.0,159.3,6.0,3.0,174.3,6.0,3.0,502.6,5.0,3.0,450.1
6.0,5.0,154.4,6.0,5.0,451.6,6.0,5.0,197.3,6.0,5.0,207.0,6.0,4.0,488.8,5.0,4.0,475.7
