1,西野 翔太,西野 翔太.1,2,渡辺 空依,渡辺 空依.1,3,東 潤樹,東 潤樹.1,4,土性 雅也,土性 雅也.1,5,大神 康司,大神 康司.1,6,中嶋　誠一郎,中嶋　誠一郎.1
2.0,3.0,17.2,1.0,3.0,128.6,1.0,2.0,191.1,1.0,2.0,195.7,1.0,2.0,40.0,1.0,2.0,678.6
2.0,4.0,26.3,1.0,4.0,180.5,1.0,4.0,220.1,1.0,3.0,214.4,1.0,3.0,42.0,1.0,3.0,865.3
2.0,5.0,9.9,1.0,5.0,84.3,1.0,5.0,97.1,1.0,5.0,141.1,1.0,4.0,53.6,1.0,4.0,680.1
2.0,6.0,36.5,1.0,6.0,241.7,1.0,6.0,328.2,1.0,6.0,154.5,1.0,6.0,50.1,1.0,5.0,329.6
3.0,2.0,18.4,3.0,1.0,309.1,2.0,1.0,340.8,2.0,1.0,412.0,2.0,1.0,156.7,2.0,1.0,1086.0
3.0,4.0,24.5,3.0,4.0,729.4,2.0,4.0,742.0,2.0,3.0,801.0,2.0,3.0,351.9,2.0,3.0,1715.0
3.0,5.0,9.3,3.0,5.0,415.9,2.0,5.0,458.2,2.0,5.0,596.8,2.0,4.0,413.7,2.0,4.0,1487.0
3.0,6.0,36.6,3.0,6.0,870.3,2.0,6.0,829.6,2.0,6.0,512.7,2.0,6.0,361.2,2.0,5.0,955.7
4.0,2.0,37.8,4.0,1.0,389.6,4.0,1.0,440.2,3.0,1.0,476.3,3.0,1.0,155.3,3.0,1.0,1735.0
4.0,3.0,44.0,4.0,3.0,811.8,4.0,2.0,880.4,3.0,2.0,734.7,3.0,2.0,328.2,3.0,2.0,2026.0
4.0,5.0,22.3,4.0,5.0,591.0,4.0,5.0,475.5,3.0,5.0,464.6,3.0,4.0,305.6,3.0,4.0,2054.0
4.0,6.0,52.7,4.0,6.0,818.4,4.0,6.0,784.4,3.0,6.0,567.6,3.0,6.0,329.3,3.0,5.0,1797.0
5.0,2.0,8.1,5.0,1.0,160.1,5.0,1.0,152.6,5.0,1.0,235.7,4.0,1.0,154.7,4.0,1.0,792.6
5.0,3.0,8.4,5.0,3.0,369.6,5.0,2.0,408.6,5.0,2.0,539.2,4.0,2.0,388.1,4.0,2.0,1217.0
5.0,4.0,14.6,5.0,4.0,579.6,5.0,4.0,392.7,5.0,3.0,393.2,4.0,3.0,300.7,4.0,3.0,1473.0
5.0,6.0,16.7,5.0,6.0,519.7,5.0,6.0,453.4,5.0,6.0,303.5,4.0,6.0,217.2,4.0,5.0,1139.0
6.0,2.0,89.0,6.0,1.0,699.0,6.0,1.0,929.2,6.0,1.0,302.0,6.0,1.0,83.2,5.0,1.0,395.8
6.0,3.0,105.7,6.0,3.0,1193.0,6.0,2.0,1217.0,6.0,2.0,485.5,6.0,2.0,440.2,5.0,2.0,1495.0
6.0,4.0,105.2,6.0,4.0,1152.0,6.0,4.0,1354.0,6.0,3.0,558.2,6.0,3.0,433.2,5.0,3.0,1556.0
6.0,5.0,56.9,6.0,5.0,885.6,6.0,5.0,1055.0,6.0,5.0,400.0,6.0,4.0,333.3,5.0,4.0,1217.0
