1,竹井 貴史,竹井 貴史.1,2,仲谷 颯仁,仲谷 颯仁.1,3,安部 慎一,安部 慎一.1,4,小松 卓司,小松 卓司.1,5,松尾 宣邦,松尾 宣邦.1,6,三苫 晃幸,三苫 晃幸.1
2.0,3.0,5.0,1.0,3.0,20.8,1.0,2.0,202.8,1.0,2.0,153.3,1.0,2.0,488.4,1.0,2.0,275.8
2.0,4.0,4.4,1.0,4.0,16.9,1.0,4.0,337.1,1.0,3.0,372.7,1.0,3.0,1039.0,1.0,3.0,838.8
2.0,5.0,15.4,1.0,5.0,41.9,1.0,5.0,496.5,1.0,5.0,298.3,1.0,4.0,838.8,1.0,4.0,753.3
2.0,6.0,7.8,1.0,6.0,23.4,1.0,6.0,368.1,1.0,6.0,247.3,1.0,6.0,886.3,1.0,5.0,1450.0
3.0,2.0,14.4,3.0,1.0,124.1,2.0,1.0,260.6,2.0,1.0,230.0,2.0,1.0,757.7,2.0,1.0,373.8
3.0,4.0,29.6,3.0,4.0,276.6,2.0,4.0,520.9,2.0,3.0,643.2,2.0,3.0,1748.0,2.0,3.0,1276.0
3.0,5.0,62.4,3.0,5.0,499.6,2.0,5.0,766.6,2.0,5.0,560.4,2.0,4.0,1404.0,2.0,4.0,846.1
3.0,6.0,43.0,3.0,6.0,290.3,2.0,6.0,473.6,2.0,6.0,362.3,2.0,6.0,1267.0,2.0,5.0,1958.0
4.0,2.0,15.4,4.0,1.0,100.4,4.0,1.0,781.9,3.0,1.0,941.6,3.0,1.0,1461.0,3.0,1.0,1456.0
4.0,3.0,37.3,4.0,3.0,261.6,4.0,2.0,722.7,3.0,2.0,1169.0,3.0,2.0,1978.0,3.0,2.0,1830.0
4.0,5.0,57.3,4.0,5.0,388.2,4.0,5.0,1554.0,3.0,5.0,1780.0,3.0,4.0,2923.0,3.0,4.0,2264.0
4.0,6.0,37.7,4.0,6.0,182.6,4.0,6.0,1216.0,3.0,6.0,1346.0,3.0,6.0,3211.0,3.0,5.0,2923.0
5.0,2.0,57.6,5.0,1.0,301.3,5.0,1.0,1050.0,5.0,1.0,484.8,4.0,1.0,1001.0,4.0,1.0,1155.0
5.0,3.0,127.9,5.0,3.0,709.6,5.0,2.0,1297.0,5.0,2.0,642.2,4.0,2.0,1247.0,4.0,2.0,816.1
5.0,4.0,134.3,5.0,4.0,661.7,5.0,4.0,2129.0,5.0,3.0,1341.0,4.0,3.0,2594.0,4.0,3.0,2019.0
5.0,6.0,137.7,5.0,6.0,506.7,5.0,6.0,2072.0,5.0,6.0,661.7,4.0,6.0,1271.0,4.0,5.0,2019.0
6.0,2.0,34.9,6.0,1.0,141.0,6.0,1.0,872.4,6.0,1.0,466.3,6.0,1.0,1625.0,5.0,1.0,2418.0
6.0,3.0,93.0,6.0,3.0,395.3,6.0,2.0,817.8,6.0,2.0,474.8,6.0,2.0,1598.0,5.0,2.0,2318.0
6.0,4.0,85.3,6.0,4.0,306.0,6.0,4.0,1478.0,6.0,3.0,1097.0,6.0,3.0,3060.0,5.0,3.0,3291.0
6.0,5.0,174.3,6.0,5.0,590.8,6.0,5.0,2374.0,6.0,5.0,855.3,6.0,4.0,2083.0,5.0,4.0,2388.0
