1,楠 将太郎,楠 将太郎.1,2,西丸　侑太朗,西丸　侑太朗.1,3,佐藤 右京,佐藤 右京.1,4,前原 大道,前原 大道.1,5,藤森 陸斗,藤森 陸斗.1,6,安河内鈴之介,安河内鈴之介.1
2.0,3.0,26.5,1.0,3.0,43.6,1.0,2.0,107.5,1.0,2.0,32.5,1.0,2.0,158.7,1.0,2.0,459.4
2.0,4.0,11.9,1.0,4.0,15.0,1.0,4.0,98.6,1.0,3.0,105.9,1.0,3.0,290.8,1.0,3.0,600.6
2.0,5.0,29.0,1.0,5.0,28.5,1.0,5.0,144.2,1.0,5.0,50.6,1.0,4.0,156.0,1.0,4.0,395.0
2.0,6.0,46.1,1.0,6.0,57.9,1.0,6.0,180.0,1.0,6.0,88.6,1.0,6.0,230.4,1.0,5.0,725.5
3.0,2.0,46.0,3.0,1.0,92.2,2.0,1.0,134.5,2.0,1.0,35.0,2.0,1.0,176.5,2.0,1.0,540.8
3.0,4.0,45.2,3.0,4.0,64.6,2.0,4.0,91.2,2.0,3.0,89.5,2.0,3.0,330.1,2.0,3.0,800.9
3.0,5.0,79.0,3.0,5.0,97.4,2.0,5.0,119.0,2.0,5.0,34.2,2.0,4.0,116.4,2.0,4.0,258.9
3.0,6.0,115.4,3.0,6.0,209.3,2.0,6.0,297.8,2.0,6.0,63.0,2.0,6.0,195.9,2.0,5.0,469.7
4.0,2.0,16.5,4.0,1.0,20.7,4.0,1.0,128.5,3.0,1.0,186.7,3.0,1.0,468.2,3.0,1.0,697.9
4.0,3.0,45.6,4.0,3.0,55.6,4.0,2.0,130.5,3.0,2.0,191.5,3.0,2.0,441.4,3.0,2.0,1077.0
4.0,5.0,34.5,4.0,5.0,28.3,4.0,5.0,143.4,3.0,5.0,201.0,3.0,4.0,377.7,3.0,4.0,814.2
4.0,6.0,54.3,4.0,6.0,51.9,4.0,6.0,233.0,3.0,6.0,241.4,3.0,6.0,557.2,3.0,5.0,809.7
5.0,2.0,79.8,5.0,1.0,77.4,5.0,1.0,281.8,5.0,1.0,48.8,4.0,1.0,131.8,4.0,1.0,407.1
5.0,3.0,158.6,5.0,3.0,147.4,5.0,2.0,232.2,5.0,2.0,36.6,4.0,2.0,104.3,4.0,2.0,261.2
5.0,4.0,74.3,5.0,4.0,68.5,5.0,4.0,215.5,5.0,3.0,124.9,4.0,3.0,293.7,4.0,3.0,600.6
5.0,6.0,167.5,5.0,6.0,135.8,5.0,6.0,375.8,5.0,6.0,49.3,4.0,6.0,122.1,4.0,5.0,314.5
6.0,2.0,155.0,6.0,1.0,200.7,6.0,1.0,444.1,6.0,1.0,125.8,6.0,1.0,272.4,5.0,1.0,507.1
6.0,3.0,280.7,6.0,3.0,412.8,6.0,2.0,595.7,6.0,2.0,93.5,6.0,2.0,203.5,5.0,2.0,313.1
6.0,4.0,146.8,6.0,4.0,120.1,6.0,4.0,416.3,6.0,3.0,262.1,6.0,3.0,517.8,5.0,3.0,771.3
6.0,5.0,236.7,6.0,5.0,203.2,6.0,5.0,525.3,6.0,5.0,95.1,6.0,4.0,191.3,5.0,4.0,309.2
