1,奥村　明日香,奥村　明日香.1,2,新田 芳美,新田 芳美.1,3,池田 紫乃,池田 紫乃.1,4,松尾 怜実,松尾 怜実.1,5,山下 友貴,山下 友貴.1,6,喜多　那由夏,喜多　那由夏.1
2.0,3.0,7.4,1.0,3.0,15.6,1.0,2.0,25.1,1.0,2.0,183.1,1.0,2.0,259.0,1.0,2.0,477.8
2.0,4.0,14.9,1.0,4.0,35.3,1.0,4.0,42.2,1.0,3.0,200.2,1.0,3.0,299.5,1.0,3.0,571.3
2.0,5.0,19.4,1.0,5.0,36.2,1.0,5.0,37.9,1.0,5.0,254.2,1.0,4.0,623.1,1.0,4.0,1145.0
2.0,6.0,50.5,1.0,6.0,81.8,1.0,6.0,94.9,1.0,6.0,432.7,1.0,6.0,786.7,1.0,5.0,1269.0
3.0,2.0,9.2,3.0,1.0,27.1,2.0,1.0,32.9,2.0,1.0,215.7,2.0,1.0,342.6,2.0,1.0,613.2
3.0,4.0,16.0,3.0,4.0,47.4,2.0,4.0,50.7,2.0,3.0,185.8,2.0,3.0,258.1,2.0,3.0,494.0
3.0,5.0,19.2,3.0,5.0,43.1,2.0,5.0,48.4,2.0,5.0,291.3,2.0,4.0,638.4,2.0,4.0,998.5
3.0,6.0,44.6,3.0,6.0,96.5,2.0,6.0,105.4,2.0,6.0,476.8,2.0,6.0,840.5,2.0,5.0,1162.0
4.0,2.0,42.4,4.0,1.0,108.7,4.0,1.0,78.3,3.0,1.0,210.5,3.0,1.0,352.4,3.0,1.0,671.4
4.0,3.0,45.9,4.0,3.0,96.3,4.0,2.0,75.8,3.0,2.0,182.4,3.0,2.0,284.9,3.0,2.0,538.3
4.0,5.0,77.3,4.0,5.0,167.8,4.0,5.0,94.5,3.0,5.0,249.3,3.0,4.0,537.1,3.0,4.0,905.6
4.0,6.0,141.1,4.0,6.0,264.6,4.0,6.0,152.8,3.0,6.0,380.5,3.0,6.0,786.7,3.0,5.0,1043.0
5.0,2.0,62.0,5.0,1.0,116.7,5.0,1.0,85.9,5.0,1.0,396.7,4.0,1.0,786.7,4.0,1.0,1497.0
5.0,3.0,59.8,5.0,3.0,101.1,5.0,2.0,83.8,5.0,2.0,391.3,4.0,2.0,705.9,4.0,2.0,1223.0
5.0,4.0,124.6,5.0,4.0,203.3,5.0,4.0,146.0,5.0,3.0,334.7,4.0,3.0,636.6,4.0,3.0,1043.0
5.0,6.0,197.5,5.0,6.0,271.3,5.0,6.0,184.7,5.0,6.0,539.6,4.0,6.0,1210.0,4.0,5.0,1783.0
6.0,2.0,178.5,6.0,1.0,347.1,6.0,1.0,270.7,6.0,1.0,781.4,6.0,1.0,1335.0,5.0,1.0,1899.0
6.0,3.0,175.2,6.0,3.0,303.0,6.0,2.0,260.4,6.0,2.0,761.1,6.0,2.0,1162.0,5.0,2.0,1488.0
6.0,4.0,290.2,6.0,4.0,548.5,6.0,4.0,354.5,6.0,3.0,744.1,6.0,3.0,1186.0,5.0,3.0,1198.0
6.0,5.0,313.2,6.0,5.0,446.7,6.0,5.0,347.7,6.0,5.0,849.6,6.0,4.0,1669.0,5.0,4.0,1915.0
