1,澤田 尚也,澤田 尚也.1,2,待鳥 雄紀,待鳥 雄紀.1,3,岸本 隆,岸本 隆.1,4,河野 真也,河野 真也.1,5,松本 怜,松本 怜.1,6,内山 峻輔,内山 峻輔.1
2.0,3.0,6.2,1.0,3.0,52.8,1.0,2.0,139.0,1.0,2.0,65.4,1.0,2.0,1179.0,1.0,2.0,176.8
2.0,4.0,4.5,1.0,4.0,35.7,1.0,4.0,139.6,1.0,3.0,135.8,1.0,3.0,1773.0,1.0,3.0,274.9
2.0,5.0,63.9,1.0,5.0,212.0,1.0,5.0,452.3,1.0,5.0,250.6,1.0,4.0,1520.0,1.0,4.0,218.4
2.0,6.0,12.4,1.0,6.0,59.7,1.0,6.0,170.5,1.0,6.0,102.9,1.0,6.0,1674.0,1.0,5.0,879.4
3.0,2.0,11.4,3.0,1.0,187.5,2.0,1.0,235.9,2.0,1.0,113.5,2.0,1.0,2225.0,2.0,1.0,319.1
3.0,4.0,14.2,3.0,4.0,253.1,2.0,4.0,315.4,2.0,3.0,332.2,2.0,3.0,4250.0,2.0,3.0,687.9
3.0,5.0,86.5,3.0,5.0,1036.0,2.0,5.0,1393.0,2.0,5.0,599.5,2.0,4.0,3128.0,2.0,4.0,536.5
3.0,6.0,24.3,3.0,6.0,359.2,2.0,6.0,412.4,2.0,6.0,228.5,2.0,6.0,3098.0,2.0,5.0,2098.0
4.0,2.0,7.4,4.0,1.0,102.1,4.0,1.0,336.2,3.0,1.0,336.9,3.0,1.0,3070.0,3.0,1.0,554.4
4.0,3.0,14.8,4.0,3.0,279.1,4.0,2.0,468.9,3.0,2.0,530.5,3.0,2.0,4197.0,3.0,2.0,963.8
4.0,5.0,74.1,4.0,5.0,619.7,4.0,5.0,1429.0,3.0,5.0,1342.0,3.0,4.0,3282.0,3.0,4.0,896.1
4.0,6.0,15.4,4.0,6.0,226.9,4.0,6.0,501.6,3.0,6.0,593.1,3.0,6.0,3565.0,3.0,5.0,2652.0
5.0,2.0,243.0,5.0,1.0,1251.0,5.0,1.0,1594.0,5.0,1.0,502.3,4.0,1.0,1666.0,4.0,1.0,375.5
5.0,3.0,267.3,5.0,3.0,2420.0,5.0,2.0,2763.0,5.0,2.0,856.7,4.0,2.0,2610.0,4.0,2.0,617.4
5.0,4.0,290.3,5.0,4.0,1649.0,5.0,4.0,2740.0,5.0,3.0,1342.0,4.0,3.0,3767.0,4.0,3.0,1131.0
5.0,6.0,268.0,5.0,6.0,1782.0,5.0,6.0,1657.0,5.0,6.0,748.4,4.0,6.0,2111.0,4.0,5.0,1782.0
6.0,2.0,34.2,6.0,1.0,256.2,6.0,1.0,534.7,6.0,1.0,189.0,6.0,1.0,3070.0,5.0,1.0,1985.0
6.0,3.0,56.1,6.0,3.0,685.0,6.0,2.0,820.7,6.0,2.0,282.6,6.0,2.0,3767.0,5.0,2.0,3157.0
6.0,4.0,44.3,6.0,4.0,370.0,6.0,4.0,833.0,6.0,3.0,490.4,6.0,3.0,3767.0,5.0,3.0,2858.0
6.0,5.0,224.4,6.0,5.0,1601.0,6.0,5.0,2474.0,6.0,5.0,595.2,6.0,4.0,2531.0,5.0,4.0,2225.0
