1,山ノ内　雅人,山ノ内　雅人.1,2,松崎　祐太郎,松崎　祐太郎.1,3,山本　稔太朗,山本　稔太朗.1,4,永田 義紘,永田 義紘.1,5,齋藤 真之,齋藤 真之.1,6,西原 明生,西原 明生.1
2.0,3.0,4.8,1.0,3.0,9.4,1.0,2.0,33.3,1.0,2.0,111.0,1.0,2.0,592.6,1.0,2.0,935.8
2.0,4.0,9.9,1.0,4.0,15.2,1.0,4.0,51.9,1.0,3.0,163.9,1.0,3.0,867.3,1.0,3.0,1649.0
2.0,5.0,29.1,1.0,5.0,46.0,1.0,5.0,114.6,1.0,5.0,213.5,1.0,4.0,924.9,1.0,4.0,1973.0
2.0,6.0,60.6,1.0,6.0,78.7,1.0,6.0,186.2,1.0,6.0,315.6,1.0,6.0,1163.0,1.0,5.0,2959.0
3.0,2.0,7.5,3.0,1.0,21.2,2.0,1.0,40.8,2.0,1.0,112.7,2.0,1.0,633.0,2.0,1.0,954.7
3.0,4.0,15.8,3.0,4.0,35.4,2.0,4.0,57.6,2.0,3.0,149.5,2.0,3.0,839.6,2.0,3.0,1616.0
3.0,5.0,41.9,3.0,5.0,84.3,2.0,5.0,122.5,2.0,5.0,201.9,2.0,4.0,750.4,2.0,4.0,1401.0
3.0,6.0,84.7,3.0,6.0,142.4,2.0,6.0,222.7,2.0,6.0,323.9,2.0,6.0,1508.0,2.0,5.0,2616.0
4.0,2.0,28.5,4.0,1.0,45.3,4.0,1.0,101.7,3.0,1.0,262.6,3.0,1.0,1076.0,3.0,1.0,2298.0
4.0,3.0,40.6,4.0,3.0,61.6,4.0,2.0,95.8,3.0,2.0,208.8,3.0,2.0,1076.0,3.0,2.0,1964.0
4.0,5.0,95.2,4.0,5.0,118.2,4.0,5.0,190.0,3.0,5.0,389.1,3.0,4.0,1259.0,3.0,4.0,2737.0
4.0,6.0,185.3,4.0,6.0,194.3,4.0,6.0,313.1,3.0,6.0,630.5,3.0,6.0,2675.0,3.0,5.0,4190.0
5.0,2.0,123.7,5.0,1.0,181.2,5.0,1.0,334.1,5.0,1.0,281.0,4.0,1.0,914.1,4.0,1.0,1909.0
5.0,3.0,175.4,5.0,3.0,232.1,5.0,2.0,363.4,5.0,2.0,268.6,4.0,2.0,805.3,4.0,2.0,1547.0
5.0,4.0,234.5,5.0,4.0,254.0,5.0,4.0,416.8,5.0,3.0,404.0,4.0,3.0,1135.0,4.0,3.0,3221.0
5.0,6.0,497.9,5.0,6.0,477.8,5.0,6.0,786.6,5.0,6.0,438.0,4.0,6.0,1517.0,4.0,5.0,2690.0
6.0,2.0,299.7,6.0,1.0,396.6,6.0,1.0,640.7,6.0,1.0,556.4,6.0,1.0,1835.0,5.0,1.0,3334.0
6.0,3.0,422.4,6.0,3.0,655.8,6.0,2.0,787.9,6.0,2.0,607.8,6.0,2.0,2959.0,5.0,2.0,3481.0
6.0,4.0,451.8,6.0,4.0,585.3,6.0,4.0,921.3,6.0,3.0,1054.0,6.0,3.0,4082.0,5.0,3.0,5147.0
6.0,5.0,743.4,6.0,5.0,1054.0,6.0,5.0,1364.0,6.0,5.0,790.5,6.0,4.0,2440.0,5.0,4.0,3035.0
