1,角谷 健吾,角谷 健吾.1,2,八木 治樹,八木 治樹.1,3,守屋 美穂,守屋 美穂.1,4,池田　奈津美,池田　奈津美.1,5,数原 魁,数原 魁.1,6,飯山 泰,飯山 泰.1
2.0,3.0,29.3,1.0,3.0,196.0,1.0,2.0,57.4,1.0,2.0,378.8,1.0,2.0,267.8,1.0,2.0,311.8
2.0,4.0,45.0,1.0,4.0,284.9,1.0,4.0,34.1,1.0,3.0,146.9,1.0,3.0,127.2,1.0,3.0,81.6
2.0,5.0,53.5,1.0,5.0,292.4,1.0,5.0,26.7,1.0,5.0,242.5,1.0,4.0,253.4,1.0,4.0,192.9
2.0,6.0,43.0,1.0,6.0,283.8,1.0,6.0,18.4,1.0,6.0,182.9,1.0,6.0,119.9,1.0,5.0,177.6
3.0,2.0,21.0,3.0,1.0,226.7,2.0,1.0,164.6,2.0,1.0,480.0,2.0,1.0,511.9,2.0,1.0,638.3
3.0,4.0,14.0,3.0,4.0,247.1,2.0,4.0,247.3,2.0,3.0,404.8,2.0,3.0,491.8,2.0,3.0,596.4
3.0,5.0,13.1,3.0,5.0,245.5,2.0,5.0,205.6,2.0,5.0,584.8,2.0,4.0,688.1,2.0,4.0,949.4
3.0,6.0,9.7,3.0,6.0,259.7,2.0,6.0,193.0,2.0,6.0,507.6,2.0,6.0,511.9,2.0,5.0,911.9
4.0,2.0,46.9,4.0,1.0,367.6,4.0,1.0,96.9,3.0,1.0,159.6,3.0,1.0,120.8,3.0,1.0,104.9
4.0,3.0,23.1,4.0,3.0,231.8,4.0,2.0,219.3,3.0,2.0,341.7,3.0,2.0,271.7,3.0,2.0,382.2
4.0,5.0,40.0,4.0,5.0,373.1,4.0,5.0,139.2,3.0,5.0,246.1,3.0,4.0,254.4,3.0,4.0,195.7
4.0,6.0,30.4,4.0,6.0,350.5,4.0,6.0,96.9,3.0,6.0,170.3,3.0,6.0,104.2,3.0,5.0,163.5
5.0,2.0,70.4,5.0,1.0,435.4,5.0,1.0,39.5,5.0,1.0,428.6,4.0,1.0,462.2,4.0,1.0,381.2
5.0,3.0,34.7,5.0,3.0,352.1,5.0,2.0,121.0,5.0,2.0,748.2,4.0,2.0,769.3,4.0,2.0,909.1
5.0,4.0,64.3,5.0,4.0,597.6,5.0,4.0,107.8,5.0,3.0,377.3,4.0,3.0,435.4,4.0,3.0,375.9
5.0,6.0,37.6,5.0,6.0,428.0,5.0,6.0,33.5,5.0,6.0,378.3,4.0,6.0,445.8,4.0,5.0,609.8
6.0,2.0,59.2,6.0,1.0,592.9,6.0,1.0,32.2,6.0,1.0,351.3,6.0,1.0,164.8,5.0,1.0,259.3
6.0,3.0,23.3,6.0,3.0,505.9,6.0,2.0,121.4,6.0,2.0,771.2,6.0,2.0,372.2,5.0,2.0,568.2
6.0,4.0,46.4,6.0,4.0,724.7,6.0,4.0,72.1,6.0,3.0,288.7,6.0,3.0,142.3,5.0,3.0,203.2
6.0,5.0,43.3,6.0,5.0,646.6,6.0,5.0,39.8,6.0,5.0,443.1,6.0,4.0,318.5,5.0,4.0,434.1
