1,森林 太,森林 太.1,2,松下 哲也,松下 哲也.1,3,青木　幸太郎,青木　幸太郎.1,4,岡村 将也,岡村 将也.1,5,栗原 謙治,栗原 謙治.1,6,桐本 康臣,桐本 康臣.1
2.0,3.0,45.5,1.0,3.0,103.7,1.0,2.0,51.2,1.0,2.0,116.8,1.0,2.0,1392.0,1.0,2.0,342.1
2.0,4.0,43.0,1.0,4.0,102.3,1.0,4.0,15.7,1.0,3.0,70.9,1.0,3.0,1038.0,1.0,3.0,216.8
2.0,5.0,217.0,1.0,5.0,352.4,1.0,5.0,81.3,1.0,5.0,180.0,1.0,4.0,1139.0,1.0,4.0,201.2
2.0,6.0,90.1,1.0,6.0,137.7,1.0,6.0,20.0,1.0,6.0,59.3,1.0,6.0,1226.0,1.0,5.0,773.5
3.0,2.0,38.7,3.0,1.0,127.2,2.0,1.0,83.0,2.0,1.0,185.4,2.0,1.0,1880.0,2.0,1.0,369.5
3.0,4.0,15.8,3.0,4.0,59.2,2.0,4.0,42.4,2.0,3.0,120.3,2.0,3.0,1561.0,2.0,3.0,270.0
3.0,5.0,91.6,3.0,5.0,204.6,2.0,5.0,162.9,2.0,5.0,288.4,2.0,4.0,1524.0,2.0,4.0,234.4
3.0,6.0,23.2,3.0,6.0,74.1,2.0,6.0,54.4,2.0,6.0,97.8,2.0,6.0,1683.0,2.0,5.0,825.6
4.0,2.0,51.1,4.0,1.0,138.4,4.0,1.0,18.1,3.0,1.0,52.1,3.0,1.0,1060.0,3.0,1.0,193.9
4.0,3.0,27.4,4.0,3.0,78.4,4.0,2.0,30.7,3.0,2.0,75.2,3.0,2.0,1165.0,3.0,2.0,243.2
4.0,5.0,129.2,4.0,5.0,231.6,4.0,5.0,48.4,3.0,5.0,108.2,3.0,4.0,631.3,3.0,4.0,102.6
4.0,6.0,29.0,4.0,6.0,74.5,4.0,6.0,10.8,3.0,6.0,26.1,3.0,6.0,709.6,3.0,5.0,430.0
5.0,2.0,483.3,5.0,1.0,792.6,5.0,1.0,204.4,5.0,1.0,320.0,4.0,1.0,1226.0,4.0,1.0,185.0
5.0,3.0,285.5,5.0,3.0,667.3,5.0,2.0,308.5,5.0,2.0,370.6,4.0,2.0,1215.0,4.0,2.0,191.1
5.0,4.0,370.1,5.0,4.0,634.5,5.0,4.0,137.1,5.0,3.0,275.2,4.0,3.0,719.5,4.0,3.0,106.0
5.0,6.0,333.6,5.0,6.0,637.6,5.0,6.0,142.5,5.0,6.0,168.7,4.0,6.0,709.6,4.0,5.0,392.6
6.0,2.0,145.2,6.0,1.0,265.0,6.0,1.0,39.4,6.0,1.0,69.7,6.0,1.0,1661.0,5.0,1.0,1203.0
6.0,3.0,67.2,6.0,3.0,166.9,6.0,2.0,69.4,6.0,2.0,87.5,6.0,2.0,1661.0,5.0,2.0,1294.0
6.0,4.0,67.6,6.0,4.0,138.4,6.0,4.0,20.4,6.0,3.0,41.0,6.0,3.0,825.6,5.0,3.0,663.9
6.0,5.0,268.3,6.0,5.0,509.1,6.0,5.0,104.0,6.0,5.0,130.0,6.0,4.0,885.2,5.0,4.0,711.6
