1,田中 和也,田中 和也.1,2,加藤 高史,加藤 高史.1,3,佐藤 航,佐藤 航.1,4,原村 拓也,原村 拓也.1,5,羽野 諒,羽野 諒.1,6,中島 浩哉,中島 浩哉.1
2.0,3.0,6.6,1.0,3.0,53.3,1.0,2.0,21.2,1.0,2.0,163.1,1.0,2.0,244.6,1.0,2.0,904.2
2.0,4.0,14.7,1.0,4.0,97.1,1.0,4.0,26.3,1.0,3.0,148.9,1.0,3.0,226.6,1.0,3.0,1603.0
2.0,5.0,25.2,1.0,5.0,166.2,1.0,5.0,31.2,1.0,5.0,173.6,1.0,4.0,324.9,1.0,4.0,1922.0
2.0,6.0,66.1,1.0,6.0,334.3,1.0,6.0,93.0,1.0,6.0,353.8,1.0,6.0,562.1,1.0,5.0,2374.0
3.0,2.0,5.6,3.0,1.0,96.8,2.0,1.0,58.8,2.0,1.0,277.2,2.0,1.0,510.1,2.0,1.0,1106.0
3.0,4.0,6.8,3.0,4.0,340.2,2.0,4.0,160.4,2.0,3.0,611.4,2.0,3.0,957.1,2.0,3.0,2672.0
3.0,5.0,10.5,3.0,5.0,471.1,2.0,5.0,182.4,2.0,5.0,671.3,2.0,4.0,1180.0,2.0,4.0,2485.0
3.0,6.0,35.7,3.0,6.0,839.8,2.0,6.0,370.5,2.0,6.0,986.0,2.0,6.0,1647.0,2.0,5.0,3863.0
4.0,2.0,24.0,4.0,1.0,262.8,4.0,1.0,73.5,3.0,1.0,225.0,3.0,1.0,371.4,3.0,1.0,2179.0
4.0,3.0,17.9,4.0,3.0,579.7,4.0,2.0,178.5,3.0,2.0,497.0,3.0,2.0,812.5,3.0,2.0,2485.0
4.0,5.0,33.5,4.0,5.0,851.6,4.0,5.0,122.0,3.0,5.0,390.9,3.0,4.0,675.6,3.0,4.0,2575.0
4.0,6.0,79.8,4.0,6.0,1315.0,4.0,6.0,296.7,3.0,6.0,733.9,3.0,6.0,1268.0,3.0,5.0,3828.0
5.0,2.0,49.4,5.0,1.0,481.2,5.0,1.0,114.2,5.0,1.0,222.5,4.0,1.0,409.4,4.0,1.0,2135.0
5.0,3.0,34.1,5.0,3.0,923.8,5.0,2.0,264.2,5.0,2.0,457.9,4.0,2.0,867.3,4.0,2.0,3320.0
5.0,4.0,62.3,5.0,4.0,1109.0,5.0,4.0,186.2,5.0,3.0,407.0,4.0,3.0,687.6,4.0,3.0,3294.0
5.0,6.0,133.2,5.0,6.0,1872.0,5.0,6.0,407.4,5.0,6.0,382.1,4.0,6.0,746.8,4.0,5.0,2514.0
6.0,2.0,179.2,6.0,1.0,938.1,6.0,1.0,582.1,6.0,1.0,719.0,6.0,1.0,1402.0,5.0,1.0,3195.0
6.0,3.0,170.7,6.0,3.0,2322.0,6.0,2.0,1121.0,6.0,2.0,1197.0,6.0,2.0,2236.0,5.0,2.0,3971.0
6.0,4.0,223.7,6.0,4.0,1579.0,6.0,4.0,974.7,6.0,3.0,1291.0,6.0,3.0,1880.0,5.0,3.0,3399.0
6.0,5.0,227.6,6.0,5.0,2814.0,6.0,5.0,1041.0,6.0,5.0,764.3,6.0,4.0,1460.0,5.0,4.0,2833.0
