1,原田　才一郎,原田　才一郎.1,2,加藤 優弥,加藤 優弥.1,3,山本　稔太朗,山本　稔太朗.1,4,佐藤 航,佐藤 航.1,5,市川 健太,市川 健太.1,6,塚越 海斗,塚越 海斗.1
2.0,3.0,10.1,1.0,3.0,224.6,1.0,2.0,281.0,1.0,2.0,83.8,1.0,2.0,83.4,1.0,2.0,965.4
2.0,4.0,7.1,1.0,4.0,166.7,1.0,4.0,207.3,1.0,3.0,157.8,1.0,3.0,107.5,1.0,3.0,1550.0
2.0,5.0,13.5,1.0,5.0,282.5,1.0,5.0,225.5,1.0,5.0,78.4,1.0,4.0,87.2,1.0,4.0,870.1
2.0,6.0,43.9,1.0,6.0,462.0,1.0,6.0,524.3,1.0,6.0,132.7,1.0,6.0,107.8,1.0,5.0,893.4
3.0,2.0,12.6,3.0,1.0,646.6,2.0,1.0,718.3,2.0,1.0,256.3,2.0,1.0,319.5,2.0,1.0,1542.0
3.0,4.0,10.8,3.0,4.0,1092.0,2.0,4.0,941.2,2.0,3.0,713.6,2.0,3.0,821.2,2.0,3.0,3544.0
3.0,5.0,13.9,3.0,5.0,1648.0,2.0,5.0,1714.0,2.0,5.0,590.5,2.0,4.0,688.5,2.0,4.0,2295.0
3.0,6.0,53.3,3.0,6.0,2533.0,2.0,6.0,2839.0,2.0,6.0,610.9,2.0,6.0,703.5,2.0,5.0,3128.0
4.0,2.0,8.9,4.0,1.0,393.8,4.0,1.0,505.1,3.0,1.0,523.2,3.0,1.0,373.2,3.0,1.0,2554.0
4.0,3.0,14.1,4.0,3.0,992.6,4.0,2.0,1023.0,3.0,2.0,1007.0,3.0,2.0,891.4,3.0,2.0,3877.0
4.0,5.0,12.0,4.0,5.0,1192.0,4.0,5.0,949.4,3.0,5.0,879.0,3.0,4.0,1016.0,3.0,4.0,3840.0
4.0,6.0,29.7,4.0,6.0,1285.0,4.0,6.0,1526.0,3.0,6.0,1189.0,3.0,6.0,1094.0,3.0,5.0,4007.0
5.0,2.0,18.1,5.0,1.0,733.2,5.0,1.0,567.8,5.0,1.0,124.1,4.0,1.0,203.1,4.0,1.0,1216.0
5.0,3.0,20.0,5.0,3.0,1591.0,5.0,2.0,1554.0,5.0,2.0,308.3,4.0,2.0,493.6,4.0,2.0,2037.0
5.0,4.0,20.6,5.0,4.0,1507.0,5.0,4.0,1277.0,5.0,3.0,497.7,4.0,3.0,746.5,4.0,3.0,3641.0
5.0,6.0,38.8,5.0,6.0,2256.0,5.0,6.0,1980.0,5.0,6.0,193.7,4.0,6.0,337.5,4.0,5.0,1497.0
6.0,2.0,111.9,6.0,1.0,1244.0,6.0,1.0,1728.0,6.0,1.0,330.2,6.0,1.0,253.9,5.0,1.0,972.5
6.0,3.0,149.1,6.0,3.0,3238.0,6.0,2.0,3056.0,6.0,2.0,643.4,6.0,2.0,481.3,5.0,2.0,2166.0
6.0,4.0,100.0,6.0,4.0,2000.0,6.0,4.0,2866.0,6.0,3.0,1111.0,6.0,3.0,717.8,5.0,3.0,2987.0
6.0,5.0,108.6,6.0,5.0,3403.0,6.0,5.0,2908.0,6.0,5.0,403.2,6.0,4.0,450.2,5.0,4.0,1401.0
