1,河野 真也,河野 真也.1,2,藤田 竜弘,藤田 竜弘.1,3,今坂 晃広,今坂 晃広.1,4,田頭 虎親,田頭 虎親.1,5,上野 俊樹,上野 俊樹.1,6,藤森 拓海,藤森 拓海.1
2.0,3.0,9.0,1.0,3.0,32.7,1.0,2.0,167.7,1.0,2.0,21.5,1.0,2.0,214.7,1.0,2.0,2113.0
2.0,4.0,4.6,1.0,4.0,21.8,1.0,4.0,165.0,1.0,3.0,68.4,1.0,3.0,328.5,1.0,3.0,2313.0
2.0,5.0,17.9,1.0,5.0,71.4,1.0,5.0,287.6,1.0,5.0,34.5,1.0,4.0,197.7,1.0,4.0,1791.0
2.0,6.0,194.4,1.0,6.0,327.8,1.0,6.0,847.6,1.0,6.0,192.0,1.0,6.0,692.1,1.0,5.0,2598.0
3.0,2.0,15.7,3.0,1.0,161.0,2.0,1.0,281.7,2.0,1.0,46.0,2.0,1.0,391.3,2.0,1.0,2280.0
3.0,4.0,13.4,3.0,4.0,241.9,2.0,4.0,398.2,2.0,3.0,146.2,2.0,3.0,810.7,2.0,3.0,3445.0
3.0,5.0,44.1,3.0,5.0,473.8,2.0,5.0,690.6,2.0,5.0,94.4,2.0,4.0,497.6,2.0,4.0,4402.0
3.0,6.0,310.4,3.0,6.0,1434.0,2.0,6.0,1771.0,2.0,6.0,357.4,2.0,6.0,1248.0,2.0,5.0,4012.0
4.0,2.0,5.9,4.0,1.0,58.5,4.0,1.0,273.2,3.0,1.0,210.7,3.0,1.0,620.3,3.0,1.0,3643.0
4.0,3.0,13.5,4.0,3.0,195.5,4.0,2.0,421.0,3.0,2.0,287.4,3.0,2.0,1209.0,3.0,2.0,4594.0
4.0,5.0,16.7,4.0,5.0,201.2,4.0,5.0,636.5,3.0,5.0,383.3,3.0,4.0,1283.0,3.0,4.0,5465.0
4.0,6.0,135.1,4.0,6.0,825.5,4.0,6.0,1601.0,3.0,6.0,1039.0,3.0,6.0,2496.0,3.0,5.0,4528.0
5.0,2.0,54.6,5.0,1.0,315.4,5.0,1.0,545.6,5.0,1.0,59.6,4.0,1.0,237.2,4.0,1.0,1843.0
5.0,3.0,92.0,5.0,3.0,621.5,5.0,2.0,1046.0,5.0,2.0,78.7,4.0,2.0,369.0,4.0,2.0,4012.0
5.0,4.0,53.9,5.0,4.0,378.2,5.0,4.0,926.9,5.0,3.0,227.5,4.0,3.0,863.7,4.0,3.0,4012.0
5.0,6.0,315.7,5.0,6.0,1268.0,5.0,6.0,1898.0,5.0,6.0,220.7,4.0,6.0,667.3,4.0,5.0,2201.0
6.0,2.0,794.5,6.0,1.0,1408.0,6.0,1.0,2297.0,6.0,1.0,583.8,6.0,1.0,1502.0,5.0,1.0,3372.0
6.0,3.0,870.9,6.0,3.0,1875.0,6.0,2.0,3268.0,6.0,2.0,892.9,6.0,2.0,2085.0,5.0,2.0,3138.0
6.0,4.0,644.3,6.0,4.0,1524.0,6.0,4.0,2908.0,6.0,3.0,1488.0,6.0,3.0,2419.0,5.0,3.0,3819.0
6.0,5.0,880.5,6.0,5.0,2365.0,6.0,5.0,2780.0,6.0,5.0,704.4,6.0,4.0,1372.0,5.0,4.0,2348.0
