1,日高 逸子,日高 逸子.1,2,沖島 広和,沖島 広和.1,3,岩崎 正哉,岩崎 正哉.1,4,古賀 智之,古賀 智之.1,5,中島 真二,中島 真二.1,6,戸敷 晃美,戸敷 晃美.1
2.0,3.0,7.0,1.0,3.0,12.6,1.0,2.0,22.9,1.0,2.0,100.4,1.0,2.0,560.4,1.0,2.0,355.8
2.0,4.0,21.5,1.0,4.0,29.1,1.0,4.0,37.6,1.0,3.0,127.8,1.0,3.0,472.2,1.0,3.0,410.2
2.0,5.0,39.4,1.0,5.0,58.1,1.0,5.0,58.8,1.0,5.0,209.6,1.0,4.0,803.1,1.0,4.0,650.7
2.0,6.0,34.6,1.0,6.0,39.2,1.0,6.0,50.1,1.0,6.0,147.1,1.0,6.0,629.2,1.0,5.0,950.4
3.0,2.0,8.3,3.0,1.0,21.5,2.0,1.0,32.2,2.0,1.0,126.8,2.0,1.0,702.9,2.0,1.0,413.6
3.0,4.0,17.3,3.0,4.0,40.8,2.0,4.0,54.2,2.0,3.0,131.0,2.0,3.0,706.2,2.0,3.0,428.7
3.0,5.0,29.9,3.0,5.0,73.1,2.0,5.0,88.2,2.0,5.0,230.2,2.0,4.0,1020.0,2.0,4.0,689.1
3.0,6.0,28.8,3.0,6.0,52.5,2.0,6.0,65.2,2.0,6.0,163.6,2.0,6.0,887.5,2.0,5.0,1041.0
4.0,2.0,53.7,4.0,1.0,78.6,4.0,1.0,98.1,3.0,1.0,193.4,3.0,1.0,527.4,3.0,1.0,501.3
4.0,3.0,60.3,4.0,3.0,79.7,4.0,2.0,97.5,3.0,2.0,168.3,3.0,2.0,704.0,3.0,2.0,509.1
4.0,5.0,131.9,4.0,5.0,197.6,4.0,5.0,170.7,3.0,5.0,321.4,3.0,4.0,1112.0,3.0,4.0,778.5
4.0,6.0,106.1,4.0,6.0,127.6,4.0,6.0,134.6,3.0,6.0,274.4,3.0,6.0,1115.0,3.0,5.0,1081.0
5.0,2.0,146.3,5.0,1.0,214.8,5.0,1.0,156.7,5.0,1.0,255.5,4.0,1.0,771.9,4.0,1.0,807.4
5.0,3.0,137.7,5.0,3.0,213.2,5.0,2.0,182.1,5.0,2.0,250.3,4.0,2.0,813.2,4.0,2.0,777.1
5.0,4.0,264.0,5.0,4.0,374.2,5.0,4.0,280.9,5.0,3.0,343.5,4.0,3.0,954.4,4.0,3.0,875.6
5.0,6.0,220.8,5.0,6.0,349.3,5.0,6.0,248.6,5.0,6.0,212.8,4.0,6.0,755.3,4.0,5.0,1260.0
6.0,2.0,108.8,6.0,1.0,146.9,6.0,1.0,160.1,6.0,1.0,219.1,6.0,1.0,1134.0,5.0,1.0,1536.0
6.0,3.0,120.1,6.0,3.0,143.0,6.0,2.0,165.6,6.0,2.0,210.6,6.0,2.0,1184.0,5.0,2.0,1530.0
6.0,4.0,207.0,6.0,4.0,264.0,6.0,4.0,261.1,6.0,3.0,308.4,6.0,3.0,1476.0,5.0,3.0,1702.0
6.0,5.0,280.3,6.0,5.0,385.9,6.0,5.0,335.1,6.0,5.0,328.4,6.0,4.0,1314.0,5.0,4.0,1695.0
