1,松本 怜,松本 怜.1,2,小池 礼乃,小池 礼乃.1,3,松本 晶恵,松本 晶恵.1,4,魚谷 香織,魚谷 香織.1,5,奥村　明日香,奥村　明日香.1,6,池田 紫乃,池田 紫乃.1
2.0,3.0,63.1,1.0,3.0,90.4,1.0,2.0,77.1,1.0,2.0,108.7,1.0,2.0,697.9,1.0,2.0,968.9
2.0,4.0,69.5,1.0,4.0,97.7,1.0,4.0,35.3,1.0,3.0,45.3,1.0,3.0,498.1,1.0,3.0,566.6
2.0,5.0,201.9,1.0,5.0,280.7,1.0,5.0,87.5,1.0,5.0,84.0,1.0,4.0,473.7,1.0,4.0,489.7
2.0,6.0,242.2,1.0,6.0,300.5,1.0,6.0,98.9,1.0,6.0,85.2,1.0,6.0,624.7,1.0,5.0,893.5
3.0,2.0,52.8,3.0,1.0,90.3,2.0,1.0,80.2,2.0,1.0,152.0,2.0,1.0,932.3,2.0,1.0,1173.0
3.0,4.0,27.0,3.0,4.0,31.1,2.0,4.0,22.2,2.0,3.0,57.9,2.0,3.0,421.9,2.0,3.0,862.3
3.0,5.0,84.9,3.0,5.0,95.3,2.0,5.0,60.0,2.0,5.0,132.8,2.0,4.0,450.8,2.0,4.0,651.9
3.0,6.0,93.1,3.0,6.0,110.4,2.0,6.0,72.5,2.0,6.0,113.0,2.0,6.0,769.6,2.0,5.0,1211.0
4.0,2.0,67.8,4.0,1.0,109.0,4.0,1.0,27.6,3.0,1.0,38.2,3.0,1.0,506.2,3.0,1.0,530.7
4.0,3.0,31.2,4.0,3.0,45.1,4.0,2.0,20.4,3.0,2.0,42.7,3.0,2.0,349.9,3.0,2.0,607.7
4.0,5.0,77.0,4.0,5.0,119.4,4.0,5.0,13.4,3.0,5.0,24.0,3.0,4.0,161.4,3.0,4.0,126.6
4.0,6.0,68.2,4.0,6.0,111.0,4.0,6.0,12.7,3.0,6.0,20.6,3.0,6.0,280.6,3.0,5.0,317.9
5.0,2.0,378.6,5.0,1.0,573.2,5.0,1.0,144.1,5.0,1.0,86.8,4.0,1.0,381.8,4.0,1.0,314.5
5.0,3.0,246.5,5.0,3.0,243.4,5.0,2.0,113.5,5.0,2.0,128.2,4.0,2.0,331.1,4.0,2.0,388.7
5.0,4.0,246.0,5.0,4.0,264.3,5.0,4.0,42.3,5.0,3.0,43.7,4.0,3.0,157.8,4.0,3.0,117.6
5.0,6.0,420.5,5.0,6.0,513.6,5.0,6.0,73.9,5.0,6.0,46.1,4.0,6.0,175.4,4.0,5.0,205.2
6.0,2.0,491.1,6.0,1.0,657.9,6.0,1.0,170.4,6.0,1.0,91.4,6.0,1.0,830.4,5.0,1.0,1154.0
6.0,3.0,292.9,6.0,3.0,324.2,6.0,2.0,167.9,6.0,2.0,113.2,6.0,2.0,893.5,5.0,2.0,1205.0
6.0,4.0,238.1,6.0,4.0,309.6,6.0,4.0,43.6,6.0,3.0,38.3,6.0,3.0,380.6,5.0,3.0,463.9
6.0,5.0,550.8,6.0,5.0,569.9,6.0,5.0,90.9,6.0,5.0,53.6,6.0,4.0,276.9,5.0,4.0,321.4
