1,出畑 孝典,出畑 孝典.1,2,清水 攻二,清水 攻二.1,3,大澤 大夢,大澤 大夢.1,4,河野 真也,河野 真也.1,5,菊池 宏志,菊池 宏志.1,6,増本 杏珠,増本 杏珠.1
2.0,3.0,6.7,1.0,3.0,70.3,1.0,2.0,135.1,1.0,2.0,58.6,1.0,2.0,207.9,1.0,2.0,2884.0
2.0,4.0,4.3,1.0,4.0,46.6,1.0,4.0,122.8,1.0,3.0,112.6,1.0,3.0,263.8,1.0,3.0,3799.0
2.0,5.0,14.7,1.0,5.0,115.2,1.0,5.0,175.6,1.0,5.0,77.1,1.0,4.0,159.3,1.0,4.0,3894.0
2.0,6.0,185.3,1.0,6.0,716.2,1.0,6.0,877.6,1.0,6.0,497.7,1.0,6.0,726.2,1.0,5.0,3994.0
3.0,2.0,12.4,3.0,1.0,247.6,2.0,1.0,307.8,2.0,1.0,107.5,2.0,1.0,457.5,2.0,1.0,3753.0
3.0,4.0,11.2,3.0,4.0,416.5,2.0,4.0,456.1,2.0,3.0,357.3,2.0,3.0,839.8,2.0,3.0,5371.0
3.0,5.0,19.5,3.0,5.0,641.0,2.0,5.0,616.9,2.0,5.0,274.7,2.0,4.0,546.6,2.0,4.0,5025.0
3.0,6.0,292.5,3.0,6.0,1800.0,2.0,6.0,1271.0,2.0,6.0,919.0,2.0,6.0,1923.0,2.0,5.0,6491.0
4.0,2.0,6.4,4.0,1.0,114.5,4.0,1.0,251.6,3.0,1.0,272.1,3.0,1.0,586.7,3.0,1.0,5107.0
4.0,3.0,11.6,4.0,3.0,364.8,4.0,2.0,440.0,3.0,2.0,478.5,3.0,2.0,1085.0,3.0,2.0,6629.0
4.0,5.0,14.1,4.0,5.0,454.8,4.0,5.0,436.9,3.0,5.0,467.8,3.0,4.0,786.7,3.0,4.0,5563.0
4.0,6.0,197.5,4.0,6.0,1409.0,4.0,6.0,1469.0,3.0,6.0,1959.0,3.0,6.0,2342.0,3.0,5.0,4650.0
5.0,2.0,31.7,5.0,1.0,483.0,5.0,1.0,381.8,5.0,1.0,133.7,4.0,1.0,236.3,4.0,1.0,4868.0
5.0,3.0,39.9,5.0,3.0,916.3,5.0,2.0,638.4,5.0,2.0,226.5,4.0,2.0,427.9,4.0,2.0,5466.0
5.0,4.0,33.6,5.0,4.0,817.7,5.0,4.0,645.0,5.0,3.0,351.6,4.0,3.0,530.7,4.0,3.0,6358.0
5.0,6.0,236.0,5.0,6.0,2178.0,5.0,6.0,1100.0,5.0,6.0,681.7,4.0,6.0,1132.0,4.0,5.0,5769.0
6.0,2.0,595.7,6.0,1.0,2325.0,6.0,1.0,3179.0,6.0,1.0,1997.0,6.0,1.0,1780.0,5.0,1.0,4154.0
6.0,3.0,919.0,6.0,3.0,3314.0,6.0,2.0,3179.0,6.0,2.0,2360.0,6.0,2.0,2995.0,5.0,2.0,5107.0
6.0,4.0,769.3,6.0,4.0,3581.0,6.0,4.0,4099.0,6.0,3.0,2492.0,6.0,3.0,2453.0,5.0,3.0,5025.0
6.0,5.0,701.7,6.0,5.0,3846.0,6.0,5.0,2148.0,6.0,5.0,1462.0,6.0,4.0,1581.0,5.0,4.0,5769.0
