1,金子 萌,金子 萌.1,2,間野 兼礼,間野 兼礼.1,3,間嶋 仁志,間嶋 仁志.1,4,岡村 将也,岡村 将也.1,5,板倉 敦史,板倉 敦史.1,6,堀本 和也,堀本 和也.1
2.0,3.0,10.4,1.0,3.0,30.7,1.0,2.0,57.8,1.0,2.0,58.6,1.0,2.0,450.9,1.0,2.0,207.5
2.0,4.0,10.8,1.0,4.0,32.2,1.0,4.0,58.7,1.0,3.0,68.6,1.0,3.0,479.3,1.0,3.0,180.9
2.0,5.0,40.9,1.0,5.0,86.2,1.0,5.0,123.6,1.0,5.0,91.4,1.0,4.0,399.0,1.0,4.0,256.7
2.0,6.0,24.9,1.0,6.0,52.3,1.0,6.0,64.5,1.0,6.0,59.0,1.0,6.0,413.8,1.0,5.0,500.1
3.0,2.0,13.0,3.0,1.0,69.7,2.0,1.0,102.5,2.0,1.0,107.0,2.0,1.0,721.4,2.0,1.0,424.6
3.0,4.0,11.5,3.0,4.0,123.6,2.0,4.0,153.4,2.0,3.0,175.6,2.0,3.0,913.3,2.0,3.0,544.3
3.0,5.0,34.6,3.0,5.0,220.9,2.0,5.0,296.6,2.0,5.0,179.1,2.0,4.0,975.7,2.0,4.0,565.9
3.0,6.0,19.1,3.0,6.0,145.6,2.0,6.0,177.2,2.0,6.0,114.2,2.0,6.0,1186.0,2.0,5.0,1587.0
4.0,2.0,15.0,4.0,1.0,85.1,4.0,1.0,129.1,3.0,1.0,145.5,3.0,1.0,779.7,3.0,1.0,303.6
4.0,3.0,16.9,4.0,3.0,151.5,4.0,2.0,169.5,3.0,2.0,180.8,3.0,2.0,1112.0,3.0,2.0,508.7
4.0,5.0,43.8,4.0,5.0,252.9,4.0,5.0,279.6,3.0,5.0,260.1,3.0,4.0,1363.0,3.0,4.0,516.8
4.0,6.0,24.8,4.0,6.0,156.2,4.0,6.0,179.7,3.0,6.0,180.5,3.0,6.0,1384.0,3.0,5.0,1014.0
5.0,2.0,89.9,5.0,1.0,295.1,5.0,1.0,376.3,5.0,1.0,117.8,4.0,1.0,378.7,4.0,1.0,320.2
5.0,3.0,80.7,5.0,3.0,532.2,5.0,2.0,538.6,5.0,2.0,186.5,4.0,2.0,602.2,4.0,2.0,427.6
5.0,4.0,101.1,5.0,4.0,492.5,5.0,4.0,546.8,5.0,3.0,260.8,4.0,3.0,772.9,4.0,3.0,473.6
5.0,6.0,117.9,5.0,6.0,589.3,5.0,6.0,530.6,5.0,6.0,129.1,4.0,6.0,350.8,4.0,5.0,506.5
6.0,2.0,57.6,6.0,1.0,199.9,6.0,1.0,150.8,6.0,1.0,107.6,6.0,1.0,813.4,5.0,1.0,1428.0
6.0,3.0,48.3,6.0,3.0,343.3,6.0,2.0,261.6,6.0,2.0,142.9,6.0,2.0,1178.0,5.0,2.0,1725.0
6.0,4.0,59.6,6.0,4.0,313.5,6.0,4.0,267.9,6.0,3.0,207.1,6.0,3.0,1395.0,5.0,3.0,1661.0
6.0,5.0,155.0,6.0,5.0,717.1,6.0,5.0,467.4,6.0,5.0,171.2,6.0,4.0,673.8,5.0,4.0,901.8
