1,池田 雄一,池田 雄一.1,2,坂東 満,坂東 満.1,3,大野 芳顕,大野 芳顕.1,4,立間 充宏,立間 充宏.1,5,村田 修次,村田 修次.1,6,角浜 修,角浜 修.1
2.0,3.0,8.2,1.0,3.0,94.4,1.0,2.0,66.8,1.0,2.0,261.6,1.0,2.0,250.8,1.0,2.0,1737.0
2.0,4.0,17.9,1.0,4.0,164.7,1.0,4.0,47.3,1.0,3.0,170.3,1.0,3.0,126.8,1.0,3.0,1806.0
2.0,5.0,12.6,1.0,5.0,120.4,1.0,5.0,35.1,1.0,5.0,149.5,1.0,4.0,227.2,1.0,4.0,1859.0
2.0,6.0,97.4,1.0,6.0,448.1,1.0,6.0,160.8,1.0,6.0,394.9,1.0,6.0,489.0,1.0,5.0,2350.0
3.0,2.0,7.4,3.0,1.0,246.6,2.0,1.0,210.0,2.0,1.0,597.6,2.0,1.0,518.3,2.0,1.0,3276.0
3.0,4.0,7.0,3.0,4.0,704.9,2.0,4.0,392.7,2.0,3.0,936.8,2.0,3.0,888.1,2.0,3.0,4979.0
3.0,5.0,6.0,3.0,5.0,505.4,2.0,5.0,272.6,2.0,5.0,719.3,2.0,4.0,1232.0,2.0,4.0,3952.0
3.0,6.0,48.2,3.0,6.0,1147.0,2.0,6.0,736.1,2.0,6.0,1480.0,2.0,6.0,1746.0,2.0,5.0,4132.0
4.0,2.0,21.4,4.0,1.0,543.2,4.0,1.0,121.6,3.0,1.0,278.3,3.0,1.0,202.8,3.0,1.0,2591.0
4.0,3.0,16.1,4.0,3.0,1002.0,4.0,2.0,302.7,3.0,2.0,762.7,3.0,2.0,688.8,3.0,2.0,4754.0
4.0,5.0,20.2,4.0,5.0,995.8,4.0,5.0,121.5,3.0,5.0,329.1,3.0,4.0,452.9,3.0,4.0,4453.0
4.0,6.0,93.7,4.0,6.0,1951.0,4.0,6.0,450.3,3.0,6.0,1040.0,3.0,6.0,1059.0,3.0,5.0,3436.0
5.0,2.0,22.9,5.0,1.0,433.1,5.0,1.0,89.0,5.0,1.0,214.7,4.0,1.0,353.6,4.0,1.0,2702.0
5.0,3.0,15.5,5.0,3.0,792.4,5.0,2.0,226.2,5.0,2.0,476.1,4.0,2.0,938.1,4.0,2.0,4027.0
5.0,4.0,34.1,5.0,4.0,1277.0,5.0,4.0,164.8,5.0,3.0,348.5,4.0,3.0,520.0,4.0,3.0,4901.0
5.0,6.0,91.7,5.0,6.0,1933.0,5.0,6.0,357.0,5.0,6.0,538.1,4.0,6.0,1129.0,4.0,5.0,3532.0
6.0,2.0,281.4,6.0,1.0,1756.0,6.0,1.0,803.4,6.0,1.0,821.2,6.0,1.0,1211.0,5.0,1.0,2602.0
6.0,3.0,249.4,6.0,3.0,3084.0,6.0,2.0,1569.0,6.0,2.0,1604.0,6.0,2.0,2350.0,5.0,2.0,4272.0
6.0,4.0,294.5,6.0,4.0,3242.0,6.0,4.0,1342.0,6.0,3.0,2007.0,6.0,3.0,1838.0,5.0,3.0,4243.0
6.0,5.0,261.7,6.0,5.0,3084.0,6.0,5.0,916.4,6.0,5.0,1259.0,6.0,4.0,2007.0,5.0,4.0,3592.0
