1,大庭 元明,大庭 元明.1,2,村本 大成,村本 大成.1,3,江藤 敦宏,江藤 敦宏.1,4,小松 卓司,小松 卓司.1,5,下河 雅史,下河 雅史.1,6,岡村 慶太,岡村 慶太.1
2.0,3.0,28.5,1.0,3.0,93.2,1.0,2.0,258.7,1.0,2.0,155.9,1.0,2.0,159.8,1.0,2.0,54.2
2.0,4.0,27.4,1.0,4.0,80.6,1.0,4.0,317.9,1.0,3.0,280.7,1.0,3.0,292.1,1.0,3.0,85.5
2.0,5.0,27.4,1.0,5.0,86.8,1.0,5.0,257.1,1.0,5.0,101.3,1.0,4.0,153.8,1.0,4.0,54.7
2.0,6.0,13.8,1.0,6.0,45.0,1.0,6.0,142.1,1.0,6.0,61.4,1.0,6.0,62.1,1.0,5.0,43.2
3.0,2.0,35.5,3.0,1.0,218.7,2.0,1.0,327.7,2.0,1.0,259.3,2.0,1.0,349.5,2.0,1.0,124.4
3.0,4.0,48.8,3.0,4.0,395.4,2.0,4.0,542.5,2.0,3.0,611.7,2.0,3.0,887.3,2.0,3.0,356.2
3.0,5.0,45.3,3.0,5.0,384.8,2.0,5.0,506.8,2.0,5.0,344.4,2.0,4.0,637.7,2.0,4.0,253.4
3.0,6.0,23.1,3.0,6.0,230.8,2.0,6.0,336.7,2.0,6.0,200.1,2.0,6.0,259.5,2.0,5.0,240.5
4.0,2.0,36.4,4.0,1.0,171.2,4.0,1.0,560.9,3.0,1.0,614.0,3.0,1.0,665.9,3.0,1.0,219.4
4.0,3.0,66.2,4.0,3.0,431.5,4.0,2.0,735.5,3.0,2.0,1031.0,3.0,2.0,1161.0,3.0,2.0,436.0
4.0,5.0,33.9,4.0,5.0,278.8,4.0,5.0,648.9,3.0,5.0,809.2,3.0,4.0,1121.0,3.0,4.0,530.4
4.0,6.0,14.7,4.0,6.0,153.8,4.0,6.0,393.0,3.0,6.0,468.1,3.0,6.0,600.6,3.0,5.0,505.3
5.0,2.0,45.1,5.0,1.0,225.1,5.0,1.0,533.8,5.0,1.0,122.9,4.0,1.0,215.9,4.0,1.0,101.7
5.0,3.0,71.7,5.0,3.0,568.6,5.0,2.0,759.1,5.0,2.0,280.2,4.0,2.0,466.1,4.0,2.0,242.8
5.0,4.0,46.6,5.0,4.0,379.5,5.0,4.0,747.1,5.0,3.0,513.9,4.0,3.0,805.3,4.0,3.0,423.7
5.0,6.0,19.1,5.0,6.0,184.0,5.0,6.0,401.6,5.0,6.0,71.1,4.0,6.0,111.6,4.0,5.0,110.2
6.0,2.0,14.9,6.0,1.0,81.5,6.0,1.0,224.0,6.0,1.0,70.3,6.0,1.0,80.2,5.0,1.0,89.3
6.0,3.0,27.2,6.0,3.0,243.5,6.0,2.0,422.7,6.0,2.0,155.1,6.0,2.0,186.7,5.0,2.0,206.2
6.0,4.0,15.6,6.0,4.0,155.6,6.0,4.0,449.0,6.0,3.0,309.9,6.0,3.0,356.6,5.0,3.0,348.0
6.0,5.0,14.7,6.0,5.0,156.9,6.0,5.0,385.3,6.0,5.0,77.5,6.0,4.0,104.4,5.0,4.0,109.5
