1,川野 芽唯,川野 芽唯.1,2,中谷 朋子,中谷 朋子.1,3,深川　麻奈美,深川　麻奈美.1,4,平田　さやか,平田　さやか.1,5,永井 聖美,永井 聖美.1,6,鈴木　祐美子,鈴木　祐美子.1
2.0,3.0,5.8,1.0,3.0,45.7,1.0,2.0,44.8,1.0,2.0,91.2,1.0,2.0,618.1,1.0,2.0,279.1
2.0,4.0,8.5,1.0,4.0,59.3,1.0,4.0,38.8,1.0,3.0,92.7,1.0,3.0,470.2,1.0,3.0,358.0
2.0,5.0,27.2,1.0,5.0,162.9,1.0,5.0,80.4,1.0,5.0,142.8,1.0,4.0,722.4,1.0,4.0,459.0
2.0,6.0,32.1,1.0,6.0,153.8,1.0,6.0,94.7,1.0,6.0,165.7,1.0,6.0,926.9,1.0,5.0,702.6
3.0,2.0,6.6,3.0,1.0,106.6,2.0,1.0,97.4,2.0,1.0,160.3,2.0,1.0,962.6,2.0,1.0,454.0
3.0,4.0,7.0,3.0,4.0,217.8,2.0,4.0,168.8,2.0,3.0,295.1,2.0,3.0,1773.0,2.0,3.0,848.6
3.0,5.0,19.4,3.0,5.0,533.6,2.0,5.0,381.3,2.0,5.0,427.8,2.0,4.0,2076.0,2.0,4.0,909.5
3.0,6.0,25.6,3.0,6.0,527.8,2.0,6.0,385.7,2.0,6.0,423.7,2.0,6.0,2414.0,2.0,5.0,1563.0
4.0,2.0,16.6,4.0,1.0,179.9,4.0,1.0,86.1,3.0,1.0,141.3,3.0,1.0,573.5,3.0,1.0,593.8
4.0,3.0,17.7,4.0,3.0,311.9,4.0,2.0,172.2,3.0,2.0,289.1,3.0,2.0,1751.0,3.0,2.0,1033.0
4.0,5.0,41.2,4.0,5.0,777.6,4.0,5.0,219.7,3.0,5.0,399.1,3.0,4.0,1765.0,3.0,4.0,1040.0
4.0,6.0,44.8,4.0,6.0,591.4,4.0,6.0,244.6,3.0,6.0,428.4,3.0,6.0,2071.0,3.0,5.0,1409.0
5.0,2.0,82.8,5.0,1.0,672.3,5.0,1.0,252.9,5.0,1.0,205.6,4.0,1.0,827.7,4.0,1.0,707.2
5.0,3.0,70.3,5.0,3.0,1255.0,5.0,2.0,578.1,5.0,2.0,416.6,4.0,2.0,1514.0,4.0,2.0,1071.0
5.0,4.0,98.8,5.0,4.0,1484.0,5.0,4.0,467.4,5.0,3.0,488.3,4.0,3.0,1627.0,4.0,3.0,1159.0
5.0,6.0,137.0,5.0,6.0,1544.0,5.0,6.0,667.2,5.0,6.0,327.7,4.0,6.0,1231.0,4.0,5.0,1442.0
6.0,2.0,88.8,6.0,1.0,494.6,6.0,1.0,356.0,6.0,1.0,277.8,6.0,1.0,1504.0,5.0,1.0,1197.0
6.0,3.0,95.4,6.0,3.0,1098.0,6.0,2.0,662.2,6.0,2.0,494.1,6.0,2.0,2563.0,5.0,2.0,1776.0
6.0,4.0,116.5,6.0,4.0,1142.0,6.0,4.0,543.2,6.0,3.0,561.0,6.0,3.0,2533.0,5.0,3.0,1751.0
6.0,5.0,191.6,6.0,5.0,1863.0,6.0,5.0,936.8,6.0,5.0,484.5,6.0,4.0,1780.0,5.0,4.0,1630.0
