1,渡辺 真至,渡辺 真至.1,2,松江 秀徳,松江 秀徳.1,3,関 裕也,関 裕也.1,4,谷村 一哉,谷村 一哉.1,5,岩崎 正哉,岩崎 正哉.1,6,高濱 芳久,高濱 芳久.1
2.0,3.0,15.5,1.0,3.0,55.5,1.0,2.0,92.5,1.0,2.0,36.3,1.0,2.0,134.8,1.0,2.0,995.9
2.0,4.0,8.4,1.0,4.0,25.9,1.0,4.0,55.0,1.0,3.0,67.9,1.0,3.0,221.3,1.0,3.0,1926.0
2.0,5.0,20.1,1.0,5.0,53.6,1.0,5.0,87.8,1.0,5.0,39.8,1.0,4.0,139.9,1.0,4.0,814.4
2.0,6.0,57.1,1.0,6.0,133.5,1.0,6.0,165.8,1.0,6.0,107.4,1.0,6.0,401.6,1.0,5.0,1633.0
3.0,2.0,18.8,3.0,1.0,180.4,2.0,1.0,149.8,2.0,1.0,76.5,2.0,1.0,175.3,2.0,1.0,1856.0
3.0,4.0,11.5,3.0,4.0,197.0,2.0,4.0,149.7,2.0,3.0,226.4,2.0,3.0,292.6,2.0,3.0,3086.0
3.0,5.0,23.0,3.0,5.0,297.0,2.0,5.0,227.0,2.0,5.0,117.2,2.0,4.0,213.3,2.0,4.0,1819.0
3.0,6.0,53.8,3.0,6.0,589.3,2.0,6.0,386.6,2.0,6.0,245.8,2.0,6.0,619.4,2.0,5.0,2925.0
4.0,2.0,9.3,4.0,1.0,62.0,4.0,1.0,101.7,3.0,1.0,160.6,3.0,1.0,414.4,3.0,1.0,3036.0
4.0,3.0,13.6,4.0,3.0,176.1,4.0,2.0,147.4,3.0,2.0,304.9,3.0,2.0,447.6,3.0,2.0,3513.0
4.0,5.0,12.9,4.0,5.0,125.5,4.0,5.0,146.0,3.0,5.0,223.9,3.0,4.0,511.1,3.0,4.0,2699.0
4.0,6.0,35.8,4.0,6.0,273.3,4.0,6.0,258.7,3.0,6.0,427.4,3.0,6.0,976.7,3.0,5.0,3053.0
5.0,2.0,46.6,5.0,1.0,199.0,5.0,1.0,325.5,5.0,1.0,69.6,4.0,1.0,178.4,4.0,1.0,1048.0
5.0,3.0,56.8,5.0,3.0,422.6,5.0,2.0,555.3,5.0,2.0,115.4,4.0,2.0,224.9,4.0,2.0,1478.0
5.0,4.0,41.3,5.0,4.0,228.0,5.0,4.0,353.1,5.0,3.0,188.5,4.0,3.0,389.3,4.0,3.0,2327.0
5.0,6.0,114.6,5.0,6.0,618.0,5.0,6.0,745.9,5.0,6.0,143.7,4.0,6.0,444.1,4.0,5.0,1188.0
6.0,2.0,187.1,6.0,1.0,743.9,6.0,1.0,593.7,6.0,1.0,256.4,6.0,1.0,1062.0,5.0,1.0,2483.0
6.0,3.0,204.8,6.0,3.0,1193.0,6.0,2.0,786.9,6.0,2.0,375.9,6.0,2.0,1233.0,5.0,2.0,3020.0
6.0,4.0,152.5,6.0,4.0,777.0,6.0,4.0,659.6,6.0,3.0,534.1,6.0,3.0,1501.0,5.0,3.0,3325.0
6.0,5.0,209.8,6.0,5.0,1110.0,6.0,5.0,761.1,6.0,5.0,242.2,6.0,4.0,946.9,5.0,4.0,1518.0
