1,小川　竜太朗,小川　竜太朗.1,2,山下 昂大,山下 昂大.1,3,川添 英正,川添 英正.1,4,山田 晃大,山田 晃大.1,5,山本 光雄,山本 光雄.1,6,塩田 雄一,塩田 雄一.1
2.0,3.0,16.3,1.0,3.0,36.9,1.0,2.0,74.8,1.0,2.0,27.9,1.0,2.0,494.6,1.0,2.0,519.9
2.0,4.0,13.1,1.0,4.0,26.2,1.0,4.0,54.4,1.0,3.0,39.4,1.0,3.0,650.9,1.0,3.0,778.6
2.0,5.0,37.6,1.0,5.0,73.1,1.0,5.0,158.9,1.0,5.0,42.5,1.0,4.0,286.0,1.0,4.0,422.7
2.0,6.0,47.4,1.0,6.0,83.4,1.0,6.0,192.8,1.0,6.0,47.1,1.0,6.0,542.4,1.0,5.0,1301.0
3.0,2.0,19.9,3.0,1.0,82.4,2.0,1.0,120.1,2.0,1.0,41.3,2.0,1.0,672.4,2.0,1.0,672.4
3.0,4.0,15.7,3.0,4.0,62.8,2.0,4.0,83.7,2.0,3.0,47.7,2.0,3.0,817.7,2.0,3.0,951.7
3.0,5.0,49.5,3.0,5.0,147.4,2.0,5.0,201.4,2.0,5.0,60.0,2.0,4.0,395.9,2.0,4.0,625.9
3.0,6.0,81.6,3.0,6.0,181.0,2.0,6.0,221.1,2.0,6.0,75.4,2.0,6.0,919.4,2.0,5.0,1427.0
4.0,2.0,13.1,4.0,1.0,39.0,4.0,1.0,64.4,3.0,1.0,71.0,3.0,1.0,813.7,3.0,1.0,1010.0
4.0,3.0,17.9,4.0,3.0,48.4,4.0,2.0,67.8,3.0,2.0,70.3,3.0,2.0,935.2,3.0,2.0,1070.0
4.0,5.0,31.5,4.0,5.0,69.9,4.0,5.0,113.0,3.0,5.0,124.7,3.0,4.0,656.2,3.0,4.0,793.8
4.0,6.0,30.0,4.0,6.0,88.7,4.0,6.0,121.1,3.0,6.0,117.7,3.0,6.0,1162.0,3.0,5.0,1788.0
5.0,2.0,88.2,5.0,1.0,243.9,5.0,1.0,379.3,5.0,1.0,71.5,4.0,1.0,271.6,4.0,1.0,362.4
5.0,3.0,131.9,5.0,3.0,258.3,5.0,2.0,329.4,5.0,2.0,78.1,4.0,2.0,274.4,4.0,2.0,402.8
5.0,4.0,100.1,5.0,4.0,178.8,5.0,4.0,273.5,5.0,3.0,124.2,4.0,3.0,461.0,4.0,3.0,497.6
5.0,6.0,175.9,5.0,6.0,344.0,5.0,6.0,473.0,5.0,6.0,61.2,4.0,6.0,252.7,4.0,5.0,591.7
6.0,2.0,142.8,6.0,1.0,339.0,6.0,1.0,508.5,6.0,1.0,97.6,6.0,1.0,826.0,5.0,1.0,1788.0
6.0,3.0,211.0,6.0,3.0,395.0,6.0,2.0,519.9,6.0,2.0,116.9,6.0,2.0,1138.0,5.0,2.0,1808.0
6.0,4.0,104.3,6.0,4.0,237.5,6.0,4.0,344.0,6.0,3.0,163.0,6.0,3.0,1077.0,5.0,3.0,2060.0
6.0,5.0,273.5,6.0,5.0,482.9,6.0,5.0,720.0,6.0,5.0,115.5,6.0,4.0,505.4,5.0,4.0,767.6
