1,松瀬 弘美,松瀬 弘美.1,2,松本 晶恵,松本 晶恵.1,3,福島 陽子,福島 陽子.1,4,津田 裕絵,津田 裕絵.1,5,淺田　千亜希,淺田　千亜希.1,6,犬童 千秋,犬童 千秋.1
2.0,3.0,27.0,1.0,3.0,35.3,1.0,2.0,234.3,1.0,2.0,56.4,1.0,2.0,41.8,1.0,2.0,281.4
2.0,4.0,13.3,1.0,4.0,16.6,1.0,4.0,293.2,1.0,3.0,160.5,1.0,3.0,145.4,1.0,3.0,545.7
2.0,5.0,14.8,1.0,5.0,16.4,1.0,5.0,293.7,1.0,5.0,58.2,1.0,4.0,52.8,1.0,4.0,393.4
2.0,6.0,35.8,1.0,6.0,34.1,1.0,6.0,388.9,1.0,6.0,106.9,1.0,6.0,73.0,1.0,5.0,378.4
3.0,2.0,58.2,3.0,1.0,122.1,2.0,1.0,271.1,2.0,1.0,73.3,2.0,1.0,52.0,2.0,1.0,274.1
3.0,4.0,69.2,3.0,4.0,171.5,2.0,4.0,339.7,2.0,3.0,237.9,2.0,3.0,178.6,2.0,3.0,549.2
3.0,5.0,95.2,3.0,5.0,182.5,2.0,5.0,345.2,2.0,5.0,58.8,2.0,4.0,52.7,2.0,4.0,310.4
3.0,6.0,188.6,3.0,6.0,278.2,2.0,6.0,515.7,2.0,6.0,111.2,2.0,6.0,70.6,2.0,5.0,283.3
4.0,2.0,24.0,4.0,1.0,39.6,4.0,1.0,403.7,3.0,1.0,316.8,3.0,1.0,281.4,3.0,1.0,858.7
4.0,3.0,67.0,4.0,3.0,132.1,4.0,2.0,532.0,3.0,2.0,377.6,3.0,2.0,366.1,3.0,2.0,805.6
4.0,5.0,32.7,4.0,5.0,36.3,4.0,5.0,602.0,3.0,5.0,486.1,3.0,4.0,448.7,3.0,4.0,1057.0
4.0,6.0,75.5,4.0,6.0,81.8,4.0,6.0,674.0,3.0,6.0,610.7,3.0,6.0,454.7,3.0,5.0,1409.0
5.0,2.0,25.6,5.0,1.0,33.7,5.0,1.0,400.9,5.0,1.0,51.9,4.0,1.0,74.7,4.0,1.0,558.3
5.0,3.0,99.0,5.0,3.0,133.1,5.0,2.0,511.1,5.0,2.0,42.6,4.0,2.0,63.1,4.0,2.0,405.7
5.0,4.0,42.7,5.0,4.0,36.9,5.0,4.0,591.5,5.0,3.0,212.0,4.0,3.0,266.4,4.0,3.0,885.7
5.0,6.0,76.7,5.0,6.0,68.4,5.0,6.0,666.0,5.0,6.0,57.8,4.0,6.0,80.5,4.0,5.0,393.4
6.0,2.0,116.7,6.0,1.0,138.4,6.0,1.0,704.9,6.0,1.0,193.3,6.0,1.0,95.9,5.0,1.0,335.6
6.0,3.0,315.6,6.0,3.0,360.7,6.0,2.0,772.5,6.0,2.0,157.3,6.0,2.0,82.1,5.0,2.0,254.4
6.0,4.0,180.3,6.0,4.0,161.2,6.0,4.0,1050.0,6.0,3.0,468.6,6.0,3.0,229.5,5.0,3.0,719.9
6.0,5.0,163.9,6.0,5.0,160.3,6.0,5.0,876.5,6.0,5.0,138.5,6.0,4.0,104.4,5.0,4.0,322.2
