1,北川 潤二,北川 潤二.1,2,山口 隆史,山口 隆史.1,3,雑賀 勇貴,雑賀 勇貴.1,4,川口 貴久,川口 貴久.1,5,森 照夫,森 照夫.1,6,峰重 侑治,峰重 侑治.1
2.0,3.0,12.5,1.0,3.0,97.0,1.0,2.0,76.9,1.0,2.0,118.0,1.0,2.0,138.8,1.0,2.0,496.2
2.0,4.0,17.3,1.0,4.0,118.4,1.0,4.0,38.6,1.0,3.0,80.8,1.0,3.0,126.3,1.0,3.0,357.2
2.0,5.0,25.2,1.0,5.0,165.4,1.0,5.0,48.1,1.0,5.0,94.1,1.0,4.0,129.9,1.0,4.0,388.7
2.0,6.0,39.1,1.0,6.0,236.7,1.0,6.0,65.7,1.0,6.0,94.2,1.0,6.0,171.1,1.0,5.0,689.0
3.0,2.0,12.4,3.0,1.0,247.9,2.0,1.0,191.6,2.0,1.0,269.8,2.0,1.0,370.5,2.0,1.0,884.5
3.0,4.0,7.8,3.0,4.0,574.8,2.0,4.0,356.4,2.0,3.0,376.9,2.0,3.0,867.1,2.0,3.0,1090.0
3.0,5.0,11.8,3.0,5.0,643.1,2.0,5.0,393.7,2.0,5.0,546.3,2.0,4.0,979.9,2.0,4.0,1254.0
3.0,6.0,19.2,3.0,6.0,749.2,2.0,6.0,478.5,2.0,6.0,493.9,2.0,6.0,1025.0,2.0,5.0,1429.0
4.0,2.0,17.6,4.0,1.0,338.8,4.0,1.0,80.4,3.0,1.0,137.7,3.0,1.0,235.8,3.0,1.0,749.2
4.0,3.0,10.5,4.0,3.0,752.9,4.0,2.0,248.5,3.0,2.0,406.7,3.0,2.0,636.4,3.0,2.0,1893.0
4.0,5.0,21.7,4.0,5.0,1075.0,4.0,5.0,140.3,3.0,5.0,312.1,3.0,4.0,436.0,3.0,4.0,1403.0
4.0,6.0,23.1,4.0,6.0,869.5,4.0,6.0,167.2,3.0,6.0,298.8,3.0,6.0,485.3,3.0,5.0,1559.0
5.0,2.0,38.5,5.0,1.0,483.0,5.0,1.0,109.1,5.0,1.0,161.6,4.0,1.0,231.2,4.0,1.0,502.7
5.0,3.0,27.2,5.0,3.0,979.9,5.0,2.0,320.8,5.0,2.0,399.3,4.0,2.0,562.2,4.0,2.0,1139.0
5.0,4.0,38.8,5.0,4.0,1336.0,5.0,4.0,175.8,5.0,3.0,327.0,4.0,3.0,481.5,4.0,3.0,1060.0
5.0,6.0,55.0,5.0,6.0,1342.0,5.0,6.0,220.8,5.0,6.0,201.2,4.0,6.0,414.3,4.0,5.0,1098.0
6.0,2.0,80.4,6.0,1.0,767.8,6.0,1.0,237.2,6.0,1.0,230.7,6.0,1.0,510.2,5.0,1.0,1297.0
6.0,3.0,59.5,6.0,3.0,1071.0,6.0,2.0,629.9,6.0,2.0,479.3,6.0,2.0,1234.0,5.0,2.0,2269.0
6.0,4.0,60.6,6.0,4.0,1543.0,6.0,4.0,387.8,6.0,3.0,386.8,6.0,3.0,812.3,5.0,3.0,1543.0
6.0,5.0,93.0,6.0,5.0,1513.0,6.0,5.0,367.4,6.0,5.0,304.4,6.0,4.0,783.4,5.0,4.0,1774.0
