1,郷原 章平,郷原 章平.1,2,高木 圭大,高木 圭大.1,3,大田 直弥,大田 直弥.1,4,森 弘行,森 弘行.1,5,広次 修,広次 修.1,6,林 恵祐,林 恵祐.1
2.0,3.0,9.7,1.0,3.0,70.2,1.0,2.0,86.6,1.0,2.0,210.2,1.0,2.0,86.7,1.0,2.0,909.0
2.0,4.0,19.1,1.0,4.0,127.5,1.0,4.0,94.4,1.0,3.0,270.7,1.0,3.0,70.6,1.0,3.0,770.4
2.0,5.0,10.0,1.0,5.0,73.3,1.0,5.0,47.6,1.0,5.0,167.2,1.0,4.0,135.9,1.0,4.0,1272.0
2.0,6.0,34.7,1.0,6.0,168.3,1.0,6.0,141.4,1.0,6.0,253.4,1.0,6.0,102.0,1.0,5.0,663.9
3.0,2.0,10.2,3.0,1.0,206.8,2.0,1.0,226.4,2.0,1.0,382.7,2.0,1.0,200.6,2.0,1.0,1449.0
3.0,4.0,14.3,3.0,4.0,494.9,2.0,4.0,470.2,2.0,3.0,859.6,2.0,3.0,440.2,2.0,3.0,2722.0
3.0,5.0,6.6,3.0,5.0,316.1,2.0,5.0,325.5,2.0,5.0,777.7,2.0,4.0,713.2,2.0,4.0,2606.0
3.0,6.0,24.4,3.0,6.0,792.8,2.0,6.0,817.9,2.0,6.0,602.6,2.0,6.0,411.0,2.0,5.0,2121.0
4.0,2.0,32.6,4.0,1.0,365.6,4.0,1.0,333.0,3.0,1.0,599.7,3.0,1.0,170.6,3.0,1.0,1259.0
4.0,3.0,29.3,4.0,3.0,593.1,4.0,2.0,897.3,3.0,2.0,1231.0,3.0,2.0,496.4,3.0,2.0,2311.0
4.0,5.0,28.0,4.0,5.0,577.8,4.0,5.0,454.5,3.0,5.0,953.2,3.0,4.0,663.9,3.0,4.0,3120.0
4.0,6.0,54.9,4.0,6.0,890.8,4.0,6.0,881.2,3.0,6.0,1445.0,3.0,6.0,464.4,3.0,5.0,1737.0
5.0,2.0,15.2,5.0,1.0,207.7,5.0,1.0,137.9,5.0,1.0,231.8,4.0,1.0,260.3,4.0,1.0,1877.0
5.0,3.0,11.6,5.0,3.0,399.0,5.0,2.0,367.3,5.0,2.0,528.5,4.0,2.0,735.7,4.0,2.0,2474.0
5.0,4.0,31.0,5.0,4.0,600.4,5.0,4.0,389.8,5.0,3.0,546.8,4.0,3.0,664.8,4.0,3.0,2111.0
5.0,6.0,25.4,5.0,6.0,549.9,5.0,6.0,410.7,5.0,6.0,327.9,4.0,6.0,460.5,4.0,5.0,1775.0
6.0,2.0,103.2,6.0,1.0,611.7,6.0,1.0,450.7,6.0,1.0,441.8,6.0,1.0,219.3,5.0,1.0,757.3
6.0,3.0,84.4,6.0,3.0,1484.0,6.0,2.0,1428.0,6.0,2.0,658.5,6.0,2.0,470.2,5.0,2.0,1695.0
6.0,4.0,131.6,6.0,4.0,1361.0,6.0,4.0,1076.0,6.0,3.0,1531.0,6.0,3.0,438.6,5.0,3.0,1349.0
6.0,5.0,78.5,6.0,5.0,1134.0,6.0,5.0,695.9,6.0,5.0,613.2,6.0,4.0,592.4,5.0,4.0,1601.0
