1,松尾 祭,松尾 祭.1,2,西丸　侑太朗,西丸　侑太朗.1,3,山ノ内　雅人,山ノ内　雅人.1,4,戸敷 晃美,戸敷 晃美.1,5,長畑 友輔,長畑 友輔.1,6,吉村 誠,吉村 誠.1
2.0,3.0,14.9,1.0,3.0,35.5,1.0,2.0,26.6,1.0,2.0,179.0,1.0,2.0,681.1,1.0,2.0,404.1
2.0,4.0,29.7,1.0,4.0,55.3,1.0,4.0,12.0,1.0,3.0,94.6,1.0,3.0,248.0,1.0,3.0,197.4
2.0,5.0,70.3,1.0,5.0,136.8,1.0,5.0,24.9,1.0,5.0,222.7,1.0,4.0,831.4,1.0,4.0,376.0
2.0,6.0,50.2,1.0,6.0,91.5,1.0,6.0,18.7,1.0,6.0,148.0,1.0,6.0,670.6,1.0,5.0,753.6
3.0,2.0,11.4,3.0,1.0,74.2,2.0,1.0,62.0,2.0,1.0,347.3,2.0,1.0,1109.0,2.0,1.0,763.5
3.0,4.0,8.0,3.0,4.0,105.4,2.0,4.0,74.0,2.0,3.0,322.1,2.0,3.0,1226.0,2.0,3.0,763.5
3.0,5.0,19.5,3.0,5.0,273.0,2.0,5.0,168.6,2.0,5.0,660.5,2.0,4.0,1751.0,2.0,4.0,1062.0
3.0,6.0,12.2,3.0,6.0,173.4,2.0,6.0,127.1,2.0,6.0,506.0,2.0,6.0,1652.0,2.0,5.0,1647.0
4.0,2.0,46.1,4.0,1.0,171.2,4.0,1.0,30.8,3.0,1.0,102.6,3.0,1.0,398.9,3.0,1.0,261.8
4.0,3.0,24.6,4.0,3.0,187.4,4.0,2.0,65.8,3.0,2.0,189.9,3.0,2.0,1116.0,3.0,2.0,664.7
4.0,5.0,81.2,4.0,5.0,610.4,4.0,5.0,60.8,3.0,5.0,188.9,3.0,4.0,759.1,3.0,4.0,355.1
4.0,6.0,51.1,4.0,6.0,422.4,4.0,6.0,40.2,3.0,6.0,121.4,3.0,6.0,645.0,3.0,5.0,609.0
5.0,2.0,172.9,5.0,1.0,573.7,5.0,1.0,87.0,5.0,1.0,407.6,4.0,1.0,1201.0,4.0,1.0,728.5
5.0,3.0,82.7,5.0,3.0,817.1,5.0,2.0,225.7,5.0,2.0,682.9,4.0,2.0,1706.0,4.0,2.0,1306.0
5.0,4.0,155.0,5.0,4.0,1174.0,5.0,4.0,112.2,5.0,3.0,386.5,4.0,3.0,925.4,4.0,3.0,557.8
5.0,6.0,156.7,5.0,6.0,1346.0,5.0,6.0,116.6,5.0,6.0,412.4,4.0,6.0,1158.0,4.0,5.0,1374.0
6.0,2.0,129.0,6.0,1.0,466.8,6.0,1.0,67.4,6.0,1.0,298.4,6.0,1.0,1128.0,5.0,1.0,1371.0
6.0,3.0,50.3,6.0,3.0,483.6,6.0,2.0,180.0,6.0,2.0,604.1,6.0,2.0,1870.0,5.0,2.0,2022.0
6.0,4.0,98.7,6.0,4.0,785.2,6.0,4.0,77.0,6.0,3.0,260.9,6.0,3.0,740.8,5.0,3.0,1017.0
6.0,5.0,173.3,6.0,5.0,1505.0,6.0,5.0,127.5,6.0,5.0,466.0,6.0,4.0,1339.0,5.0,4.0,1678.0
