1,三川 昂暁,三川 昂暁.1,2,中辻 崇人,中辻 崇人.1,3,島川 海輝,島川 海輝.1,4,黄金井　力良,黄金井　力良.1,5,木場　雄二郎,木場　雄二郎.1,6,佐藤 航,佐藤 航.1
2.0,3.0,11.0,1.0,3.0,12.7,1.0,2.0,103.6,1.0,2.0,100.1,1.0,2.0,535.9,1.0,2.0,204.8
2.0,4.0,12.6,1.0,4.0,13.2,1.0,4.0,189.6,1.0,3.0,288.9,1.0,3.0,784.8,1.0,3.0,403.4
2.0,5.0,50.3,1.0,5.0,48.3,1.0,5.0,297.6,1.0,5.0,250.1,1.0,4.0,809.3,1.0,4.0,363.1
2.0,6.0,17.0,1.0,6.0,13.7,1.0,6.0,131.1,1.0,6.0,131.8,1.0,6.0,681.5,1.0,5.0,901.7
3.0,2.0,27.1,3.0,1.0,28.5,2.0,1.0,104.3,2.0,1.0,92.6,2.0,1.0,648.1,2.0,1.0,180.0
3.0,4.0,57.4,3.0,4.0,29.5,2.0,4.0,106.4,2.0,3.0,170.5,2.0,3.0,883.3,2.0,3.0,268.6
3.0,5.0,109.8,3.0,5.0,68.9,2.0,5.0,194.6,2.0,5.0,149.5,2.0,4.0,650.7,2.0,4.0,155.2
3.0,6.0,62.0,3.0,6.0,25.2,2.0,6.0,92.0,2.0,6.0,61.1,2.0,6.0,545.4,2.0,5.0,490.5
4.0,2.0,36.2,4.0,1.0,29.9,4.0,1.0,316.7,3.0,1.0,525.1,3.0,1.0,1292.0,3.0,1.0,546.8
4.0,3.0,89.0,4.0,3.0,38.1,4.0,2.0,223.9,3.0,2.0,342.7,3.0,2.0,1240.0,3.0,2.0,455.3
4.0,5.0,138.0,4.0,5.0,63.1,4.0,5.0,586.4,3.0,5.0,777.2,3.0,4.0,1893.0,3.0,4.0,864.4
4.0,6.0,67.2,4.0,6.0,20.4,4.0,6.0,256.6,3.0,6.0,436.3,3.0,6.0,1626.0,3.0,5.0,1571.0
5.0,2.0,159.9,5.0,1.0,167.9,5.0,1.0,602.2,5.0,1.0,289.6,4.0,1.0,827.9,4.0,1.0,511.4
5.0,3.0,236.5,5.0,3.0,171.2,5.0,2.0,565.4,5.0,2.0,214.7,4.0,2.0,612.5,4.0,2.0,209.3
5.0,4.0,280.2,5.0,4.0,150.8,5.0,4.0,860.9,5.0,3.0,601.1,4.0,3.0,1681.0,4.0,3.0,869.0
5.0,6.0,252.6,5.0,6.0,112.1,5.0,6.0,645.5,5.0,6.0,197.3,4.0,6.0,584.3,4.0,5.0,754.6
6.0,2.0,61.7,6.0,1.0,37.3,6.0,1.0,285.3,6.0,1.0,162.0,6.0,1.0,1112.0,5.0,1.0,1340.0
6.0,3.0,124.8,6.0,3.0,42.6,6.0,2.0,234.9,6.0,2.0,90.1,6.0,2.0,793.4,5.0,2.0,954.9
6.0,4.0,103.6,6.0,4.0,32.4,6.0,4.0,417.4,6.0,3.0,313.6,6.0,3.0,1647.0,5.0,3.0,1498.0
6.0,5.0,261.8,6.0,5.0,101.5,6.0,5.0,668.1,6.0,5.0,199.2,6.0,4.0,906.8,5.0,4.0,1000.0
