1,川北 浩貴,川北 浩貴.1,2,羽野 直也,羽野 直也.1,3,奥平 拓也,奥平 拓也.1,4,益田 啓司,益田 啓司.1,5,樫葉 次郎,樫葉 次郎.1,6,山本　景士郎,山本　景士郎.1
2.0,3.0,16.8,1.0,3.0,32.3,1.0,2.0,353.7,1.0,2.0,15.4,1.0,2.0,716.2,1.0,2.0,492.8
2.0,4.0,4.9,1.0,4.0,9.5,1.0,4.0,444.1,1.0,3.0,81.7,1.0,3.0,1681.0,1.0,3.0,1718.0
2.0,5.0,42.6,1.0,5.0,83.5,1.0,5.0,1127.0,1.0,5.0,56.5,1.0,4.0,796.0,1.0,4.0,585.5
2.0,6.0,21.9,1.0,6.0,32.2,1.0,6.0,796.0,1.0,6.0,34.0,1.0,6.0,941.4,1.0,5.0,1699.0
3.0,2.0,48.1,3.0,1.0,157.5,2.0,1.0,522.3,2.0,1.0,19.9,2.0,1.0,849.8,2.0,1.0,509.6
3.0,4.0,57.9,3.0,4.0,153.4,2.0,4.0,415.9,2.0,3.0,87.4,2.0,3.0,1449.0,2.0,3.0,1449.0
3.0,5.0,195.5,3.0,5.0,483.7,2.0,5.0,1088.0,2.0,5.0,65.0,2.0,4.0,776.4,2.0,4.0,408.9
3.0,6.0,154.0,3.0,6.0,304.4,2.0,6.0,738.1,2.0,6.0,34.5,2.0,6.0,895.8,2.0,5.0,1299.0
4.0,2.0,8.1,4.0,1.0,20.7,4.0,1.0,616.5,3.0,1.0,263.3,3.0,1.0,2153.0,3.0,1.0,2577.0
4.0,3.0,34.9,4.0,3.0,86.9,4.0,2.0,514.6,3.0,2.0,220.2,3.0,2.0,1882.0,3.0,2.0,1556.0
4.0,5.0,62.1,4.0,5.0,145.6,4.0,5.0,1860.0,3.0,5.0,683.5,3.0,4.0,2832.0,3.0,4.0,2153.0
4.0,6.0,27.9,4.0,6.0,46.7,4.0,6.0,1037.0,3.0,6.0,414.2,3.0,6.0,2028.0,3.0,5.0,2400.0
5.0,2.0,156.3,5.0,1.0,346.3,5.0,1.0,2015.0,5.0,1.0,82.1,4.0,1.0,607.0,4.0,1.0,531.1
5.0,3.0,243.7,5.0,3.0,901.0,5.0,2.0,1838.0,5.0,2.0,80.8,4.0,2.0,582.3,4.0,2.0,366.4
5.0,4.0,165.4,5.0,4.0,434.3,5.0,4.0,2364.0,5.0,3.0,376.5,4.0,3.0,2153.0,4.0,3.0,1807.0
5.0,6.0,191.3,5.0,6.0,506.3,5.0,6.0,2153.0,5.0,6.0,88.9,4.0,6.0,768.8,4.0,5.0,1218.0
6.0,2.0,103.0,6.0,1.0,152.0,6.0,1.0,2183.0,6.0,1.0,58.4,6.0,1.0,1549.0,5.0,1.0,2278.0
6.0,3.0,187.3,6.0,3.0,523.2,6.0,2.0,1533.0,6.0,2.0,51.4,6.0,2.0,1107.0,5.0,2.0,1223.0
6.0,4.0,103.3,6.0,4.0,152.0,6.0,4.0,2110.0,6.0,3.0,314.1,6.0,3.0,1917.0,5.0,3.0,1929.0
6.0,5.0,264.6,6.0,5.0,409.4,6.0,5.0,1332.0,6.0,5.0,131.1,6.0,4.0,1391.0,5.0,4.0,1663.0
