1,池田　奈津美,池田　奈津美.1,2,数原 魁,数原 魁.1,3,池本 輝明,池本 輝明.1,4,宮本 裕之,宮本 裕之.1,5,若林 麗,若林 麗.1,6,竹上 真司,竹上 真司.1
2.0,3.0,5.1,1.0,3.0,8.9,1.0,2.0,41.4,1.0,2.0,105.7,1.0,2.0,259.4,1.0,2.0,291.9
2.0,4.0,14.5,1.0,4.0,19.5,1.0,4.0,66.2,1.0,3.0,156.9,1.0,3.0,494.0,1.0,3.0,414.3
2.0,5.0,46.5,1.0,5.0,54.6,1.0,5.0,146.7,1.0,5.0,252.6,1.0,4.0,579.4,1.0,4.0,688.0
2.0,6.0,26.1,1.0,6.0,35.4,1.0,6.0,101.5,1.0,6.0,220.1,1.0,6.0,616.5,1.0,5.0,1306.0
3.0,2.0,9.3,3.0,1.0,21.3,2.0,1.0,47.3,2.0,1.0,113.1,2.0,1.0,303.4,2.0,1.0,365.2
3.0,4.0,23.8,3.0,4.0,33.3,2.0,4.0,70.1,2.0,3.0,148.4,2.0,3.0,531.4,2.0,3.0,535.1
3.0,5.0,75.7,3.0,5.0,86.9,2.0,5.0,152.0,2.0,5.0,263.9,2.0,4.0,713.5,2.0,4.0,642.2
3.0,6.0,50.1,3.0,6.0,56.1,2.0,6.0,97.5,2.0,6.0,203.3,2.0,6.0,741.0,2.0,5.0,1328.0
4.0,2.0,32.1,4.0,1.0,51.6,4.0,1.0,116.0,3.0,1.0,176.7,3.0,1.0,517.2,3.0,1.0,606.8
4.0,3.0,50.8,4.0,3.0,62.5,4.0,2.0,96.6,3.0,2.0,169.7,3.0,2.0,562.5,3.0,2.0,647.6
4.0,5.0,145.1,4.0,5.0,163.2,4.0,5.0,251.0,3.0,5.0,469.9,3.0,4.0,951.4,3.0,4.0,786.3
4.0,6.0,84.5,4.0,6.0,113.8,4.0,6.0,243.1,3.0,6.0,345.5,3.0,6.0,794.4,3.0,5.0,1605.0
5.0,2.0,133.7,5.0,1.0,146.5,5.0,1.0,294.1,5.0,1.0,332.1,4.0,1.0,554.4,4.0,1.0,1284.0
5.0,3.0,186.6,5.0,3.0,188.8,5.0,2.0,273.2,5.0,2.0,304.6,4.0,2.0,653.1,4.0,2.0,811.2
5.0,4.0,289.7,5.0,4.0,258.6,5.0,4.0,423.4,5.0,3.0,383.4,4.0,3.0,885.8,4.0,3.0,856.2
5.0,6.0,291.9,5.0,6.0,326.5,5.0,6.0,416.5,5.0,6.0,327.9,4.0,6.0,778.4,4.0,5.0,1150.0
6.0,2.0,100.0,6.0,1.0,124.1,6.0,1.0,266.6,6.0,1.0,418.8,6.0,1.0,1014.0,5.0,1.0,1454.0
6.0,3.0,122.3,6.0,3.0,145.4,6.0,2.0,226.6,6.0,2.0,317.1,6.0,2.0,1000.0,5.0,2.0,1150.0
6.0,4.0,194.1,6.0,4.0,248.6,6.0,4.0,414.3,6.0,3.0,423.4,6.0,3.0,1000.0,5.0,3.0,1605.0
6.0,5.0,342.5,6.0,5.0,430.5,6.0,5.0,688.0,6.0,5.0,494.0,6.0,4.0,778.4,5.0,4.0,1243.0
