1,山本 修一,山本 修一.1,2,鈴木 孝明,鈴木 孝明.1,3,川尻 泰輔,川尻 泰輔.1,4,相原 利章,相原 利章.1,5,本橋 克洋,本橋 克洋.1,6,菊池 峰晴,菊池 峰晴.1
2.0,3.0,11.1,1.0,3.0,54.8,1.0,2.0,135.5,1.0,2.0,46.7,1.0,2.0,177.6,1.0,2.0,774.5
2.0,4.0,6.7,1.0,4.0,36.9,1.0,4.0,102.8,1.0,3.0,101.3,1.0,3.0,310.5,1.0,3.0,1178.0
2.0,5.0,14.6,1.0,5.0,75.3,1.0,5.0,144.3,1.0,5.0,36.8,1.0,4.0,158.0,1.0,4.0,657.9
2.0,6.0,30.6,1.0,6.0,122.6,1.0,6.0,223.8,1.0,6.0,53.3,1.0,6.0,249.8,1.0,5.0,878.3
3.0,2.0,17.7,3.0,1.0,185.6,2.0,1.0,278.2,2.0,1.0,106.4,2.0,1.0,437.3,2.0,1.0,1549.0
3.0,4.0,16.4,3.0,4.0,324.3,2.0,4.0,426.2,2.0,3.0,382.0,2.0,3.0,1285.0,2.0,3.0,3490.0
3.0,5.0,25.6,3.0,5.0,511.9,2.0,5.0,589.3,2.0,5.0,178.2,2.0,4.0,712.9,2.0,4.0,1441.0
3.0,6.0,50.2,3.0,6.0,740.3,2.0,6.0,815.6,2.0,6.0,204.0,2.0,6.0,693.5,2.0,5.0,2728.0
4.0,2.0,8.3,4.0,1.0,94.2,4.0,1.0,230.3,3.0,1.0,272.0,3.0,1.0,639.1,3.0,1.0,2306.0
4.0,3.0,17.2,4.0,3.0,308.9,4.0,2.0,466.6,3.0,2.0,536.9,3.0,2.0,1669.0,3.0,2.0,3952.0
4.0,5.0,13.7,4.0,5.0,256.2,4.0,5.0,430.7,3.0,5.0,476.9,3.0,4.0,1628.0,3.0,4.0,2874.0
4.0,6.0,24.7,4.0,6.0,316.3,4.0,6.0,565.2,3.0,6.0,551.8,3.0,6.0,1809.0,3.0,5.0,3631.0
5.0,2.0,30.9,5.0,1.0,298.6,5.0,1.0,391.7,5.0,1.0,58.3,4.0,1.0,204.1,4.0,1.0,792.8
5.0,3.0,45.7,5.0,3.0,748.6,5.0,2.0,820.6,5.0,2.0,125.5,4.0,2.0,368.6,4.0,2.0,1178.0
5.0,4.0,31.4,5.0,4.0,468.6,5.0,4.0,692.6,5.0,3.0,315.4,4.0,3.0,936.4,4.0,3.0,2584.0
5.0,6.0,57.0,5.0,6.0,837.2,5.0,6.0,1027.0,5.0,6.0,92.4,4.0,6.0,295.3,4.0,5.0,1141.0
6.0,2.0,117.4,6.0,1.0,657.9,6.0,1.0,1124.0,6.0,1.0,149.9,6.0,1.0,761.3,5.0,1.0,1509.0
6.0,3.0,152.3,6.0,3.0,1619.0,6.0,2.0,1797.0,6.0,2.0,234.9,6.0,2.0,1337.0,5.0,2.0,2756.0
6.0,4.0,102.7,6.0,4.0,743.4,6.0,4.0,1464.0,6.0,3.0,569.4,6.0,3.0,1853.0,5.0,3.0,3257.0
6.0,5.0,130.5,6.0,5.0,1258.0,6.0,5.0,1768.0,6.0,5.0,201.7,6.0,4.0,792.8,5.0,4.0,1378.0
