1,丸岡 正典,丸岡 正典.1,2,平石 和男,平石 和男.1,3,岡部 浩,岡部 浩.1,4,長野　壮志郎,長野　壮志郎.1,5,榮田 将彦,榮田 将彦.1,6,黒田 剛,黒田 剛.1
2.0,3.0,15.4,1.0,3.0,153.4,1.0,2.0,302.4,1.0,2.0,18.6,1.0,2.0,280.5,1.0,2.0,2888.0
2.0,4.0,5.5,1.0,4.0,58.4,1.0,4.0,147.8,1.0,3.0,44.6,1.0,3.0,514.9,1.0,3.0,3907.0
2.0,5.0,28.8,1.0,5.0,198.0,1.0,5.0,278.1,1.0,5.0,24.9,1.0,4.0,185.2,1.0,4.0,2185.0
2.0,6.0,140.8,1.0,6.0,643.6,1.0,6.0,927.7,1.0,6.0,104.0,1.0,6.0,620.8,1.0,5.0,3571.0
3.0,2.0,24.2,3.0,1.0,582.6,2.0,1.0,548.0,2.0,1.0,52.6,2.0,1.0,545.3,2.0,1.0,4428.0
3.0,4.0,14.3,3.0,4.0,653.8,2.0,4.0,504.7,2.0,3.0,204.2,2.0,3.0,1173.0,2.0,3.0,5444.0
3.0,5.0,48.0,3.0,5.0,1234.0,2.0,5.0,758.2,2.0,5.0,135.5,2.0,4.0,533.1,2.0,4.0,5032.0
3.0,6.0,227.3,3.0,6.0,1976.0,2.0,6.0,2062.0,2.0,6.0,396.8,2.0,6.0,1431.0,2.0,5.0,6266.0
4.0,2.0,3.8,4.0,1.0,102.7,4.0,1.0,263.3,3.0,1.0,182.9,3.0,1.0,1067.0,3.0,1.0,3817.0
4.0,3.0,8.1,4.0,3.0,424.1,4.0,2.0,548.9,3.0,2.0,294.9,3.0,2.0,1776.0,3.0,2.0,4884.0
4.0,5.0,9.9,4.0,5.0,343.4,4.0,5.0,461.2,3.0,5.0,390.7,3.0,4.0,1328.0,3.0,4.0,4813.0
4.0,6.0,53.0,4.0,6.0,1034.0,4.0,6.0,1496.0,3.0,6.0,853.8,3.0,6.0,2615.0,3.0,5.0,4151.0
5.0,2.0,59.2,5.0,1.0,741.3,5.0,1.0,973.9,5.0,1.0,51.5,4.0,1.0,193.6,4.0,1.0,2744.0
5.0,3.0,97.3,5.0,3.0,1720.0,5.0,2.0,1372.0,5.0,2.0,93.9,4.0,2.0,362.1,4.0,2.0,5189.0
5.0,4.0,44.4,5.0,4.0,668.2,5.0,4.0,948.9,5.0,3.0,224.1,4.0,3.0,680.5,4.0,3.0,5271.0
5.0,6.0,244.3,5.0,6.0,2037.0,5.0,6.0,1668.0,5.0,6.0,168.1,4.0,6.0,541.8,4.0,5.0,2965.0
6.0,2.0,453.7,6.0,1.0,3133.0,6.0,1.0,2424.0,6.0,1.0,432.4,6.0,1.0,1865.0,5.0,1.0,3571.0
6.0,3.0,739.7,6.0,3.0,5356.0,6.0,2.0,3321.0,6.0,2.0,655.0,6.0,2.0,2372.0,5.0,2.0,4488.0
6.0,4.0,374.4,6.0,4.0,3104.0,6.0,4.0,3774.0,6.0,3.0,1277.0,6.0,3.0,3424.0,5.0,3.0,5356.0
6.0,5.0,653.8,6.0,5.0,2594.0,6.0,5.0,2767.0,6.0,5.0,468.4,6.0,4.0,1544.0,5.0,4.0,2722.0
