1,田中 京介,田中 京介.1,2,仲本 舜,仲本 舜.1,3,平池 仁志,平池 仁志.1,4,谷 勝幸,谷 勝幸.1,5,出畑 孝成,出畑 孝成.1,6,小林 基樹,小林 基樹.1
2.0,3.0,15.5,1.0,3.0,102.8,1.0,2.0,124.8,1.0,2.0,39.8,1.0,2.0,866.1,1.0,2.0,218.5
2.0,4.0,11.3,1.0,4.0,77.2,1.0,4.0,53.1,1.0,3.0,37.4,1.0,3.0,695.8,1.0,3.0,237.0
2.0,5.0,121.9,1.0,5.0,333.6,1.0,5.0,270.4,1.0,5.0,127.0,1.0,4.0,711.0,1.0,4.0,121.4
2.0,6.0,20.4,1.0,6.0,120.9,1.0,6.0,103.0,1.0,6.0,29.5,1.0,6.0,1043.0,1.0,5.0,542.7
3.0,2.0,15.6,3.0,1.0,196.4,2.0,1.0,244.1,2.0,1.0,78.0,2.0,1.0,1215.0,2.0,1.0,395.2
3.0,4.0,8.7,3.0,4.0,278.3,2.0,4.0,275.9,2.0,3.0,192.7,2.0,3.0,1550.0,2.0,3.0,969.2
3.0,5.0,120.6,3.0,5.0,884.9,2.0,5.0,717.3,2.0,5.0,258.4,2.0,4.0,1345.0,2.0,4.0,312.5
3.0,6.0,17.8,3.0,6.0,447.3,2.0,6.0,441.2,2.0,6.0,87.8,2.0,6.0,1197.0,2.0,5.0,1163.0
4.0,2.0,11.3,4.0,1.0,108.1,4.0,1.0,100.8,3.0,1.0,85.2,3.0,1.0,899.6,3.0,1.0,462.5
4.0,3.0,9.5,4.0,3.0,214.8,4.0,2.0,239.4,3.0,2.0,239.8,3.0,2.0,1612.0,3.0,2.0,1043.0
4.0,5.0,84.6,4.0,5.0,434.2,4.0,5.0,465.2,3.0,5.0,395.2,3.0,4.0,1644.0,3.0,4.0,413.2
4.0,6.0,11.1,4.0,6.0,147.6,4.0,6.0,149.6,3.0,6.0,125.6,3.0,6.0,1769.0,3.0,5.0,1252.0
5.0,2.0,314.3,5.0,1.0,839.3,5.0,1.0,631.1,5.0,1.0,254.0,4.0,1.0,848.0,4.0,1.0,123.8
5.0,3.0,291.2,5.0,3.0,1215.0,5.0,2.0,1171.0,5.0,2.0,456.1,4.0,2.0,1696.0,4.0,2.0,204.8
5.0,4.0,218.5,5.0,4.0,1292.0,5.0,4.0,969.2,5.0,3.0,441.2,4.0,3.0,1678.0,4.0,3.0,290.2
5.0,6.0,295.5,5.0,6.0,1391.0,5.0,6.0,1085.0,5.0,6.0,217.9,4.0,6.0,1037.0,4.0,5.0,397.1
6.0,2.0,37.8,6.0,1.0,263.0,6.0,1.0,251.2,6.0,1.0,37.8,6.0,1.0,1580.0,5.0,1.0,1030.0
6.0,3.0,33.5,6.0,3.0,567.3,6.0,2.0,505.6,6.0,2.0,65.4,6.0,2.0,1893.0,5.0,2.0,1565.0
6.0,4.0,26.2,6.0,4.0,294.9,6.0,4.0,279.3,6.0,3.0,81.4,6.0,3.0,1871.0,5.0,3.0,1596.0
6.0,5.0,189.1,6.0,5.0,1179.0,6.0,5.0,843.7,6.0,5.0,127.4,6.0,4.0,1188.0,5.0,4.0,852.5
