1,丸岡 正典,丸岡 正典.1,2,中村 真,中村 真.1,3,大石 真央,大石 真央.1,4,高井 雄基,高井 雄基.1,5,三馬 崇史,三馬 崇史.1,6,山川 雄大,山川 雄大.1
2.0,3.0,12.2,1.0,3.0,165.2,1.0,2.0,460.0,1.0,2.0,27.5,1.0,2.0,305.9,1.0,2.0,922.3
2.0,4.0,3.5,1.0,4.0,49.8,1.0,4.0,406.8,1.0,3.0,185.9,1.0,3.0,846.9,1.0,3.0,1546.0
2.0,5.0,14.3,1.0,5.0,157.7,1.0,5.0,713.8,1.0,5.0,39.4,1.0,4.0,248.5,1.0,4.0,962.8
2.0,6.0,21.7,1.0,6.0,232.4,1.0,6.0,765.1,1.0,6.0,58.2,1.0,6.0,443.6,1.0,5.0,1766.0
3.0,2.0,33.3,3.0,1.0,574.1,2.0,1.0,584.0,2.0,1.0,64.5,2.0,1.0,578.6,2.0,1.0,1472.0
3.0,4.0,29.8,3.0,4.0,906.6,2.0,4.0,803.0,2.0,3.0,505.6,2.0,3.0,1546.0,2.0,3.0,3764.0
3.0,5.0,73.4,3.0,5.0,1258.0,2.0,5.0,965.3,2.0,5.0,166.5,2.0,4.0,659.5,2.0,4.0,2105.0
3.0,6.0,102.2,3.0,6.0,1891.0,2.0,6.0,1359.0,2.0,6.0,253.6,2.0,6.0,941.0,2.0,5.0,3802.0
4.0,2.0,5.3,4.0,1.0,133.8,4.0,1.0,745.2,3.0,1.0,630.5,3.0,1.0,1634.0,3.0,1.0,2739.0
4.0,3.0,23.9,4.0,3.0,542.4,4.0,2.0,1058.0,3.0,2.0,996.3,3.0,2.0,2258.0,3.0,2.0,4094.0
4.0,5.0,12.3,4.0,5.0,399.8,4.0,5.0,1472.0,3.0,5.0,1046.0,3.0,4.0,2888.0,3.0,4.0,4383.0
4.0,6.0,17.2,4.0,6.0,545.5,4.0,6.0,1693.0,3.0,6.0,1312.0,3.0,6.0,2534.0,3.0,5.0,5646.0
5.0,2.0,41.0,5.0,1.0,547.9,5.0,1.0,1289.0,5.0,1.0,65.4,4.0,1.0,264.4,4.0,1.0,1153.0
5.0,3.0,112.6,5.0,3.0,1585.0,5.0,2.0,1527.0,5.0,2.0,121.1,4.0,2.0,397.2,4.0,2.0,2036.0
5.0,4.0,40.1,5.0,4.0,715.2,5.0,4.0,2343.0,5.0,3.0,454.4,4.0,3.0,1316.0,4.0,3.0,5104.0
5.0,6.0,79.9,5.0,6.0,1578.0,5.0,6.0,2739.0,5.0,6.0,122.2,4.0,6.0,405.9,4.0,5.0,2467.0
6.0,2.0,76.0,6.0,1.0,876.7,6.0,1.0,2025.0,6.0,1.0,153.6,6.0,1.0,943.3,5.0,1.0,2680.0
6.0,3.0,203.0,6.0,3.0,2244.0,6.0,2.0,2231.0,6.0,2.0,297.3,6.0,2.0,1400.0,5.0,2.0,3802.0
6.0,4.0,70.3,6.0,4.0,1355.0,6.0,4.0,2739.0,6.0,3.0,870.6,6.0,3.0,2569.0,5.0,3.0,6315.0
6.0,5.0,134.3,6.0,5.0,2081.0,6.0,5.0,3515.0,6.0,5.0,244.1,6.0,4.0,972.9,5.0,4.0,2981.0
